Cols;Rows;Ions;Neurons;Epochs;BoolTimeTotal(s);BoolTimeAvg(s);PtrTimeTotal(s);PtrTimeAvg(s)
10;100;10;30;10000;1416;0;1398;0
10;1000;10;30;1000;1657;1;1428;1
10;10000;10;30;100;1211;12;5746;57
10;100000;10;30;10;1530;153;1577;157
50;100;50;150;200;811;4;804;4
50;1000;50;150;20;826;41;812;40
50;10000;50;150;2;847;423;826;413
50;100000;50;150;2;7990;3995;8102;4051
100;100;100;300;10;255;25;243;24
100;100;100;300;100;2962;29;2680;26
100;1000;100;300;10;2695;269;2609;260
100;10000;100;300;1;2244;2244;2262;2262
200;100;200;600;50;6839;136;6306;126
200;1000;200;600;5;6299;1259;6279;1255
200;10000;200;600;1;14079;14079;15420;15420

500;100;500;1500;2;3179;1589;3226;1613
500;1000;500;1500;1;19536;19536;26182;26182
10;10000;10;30;100;1274;12;1199;11
