Epoch;ErrorScore;w1;b1;b2
0;2528.61;-0.971456;-1.5124;1.52405
1;3073.09;-1.28191;-2.9081;2.6093
2;31736.8;-4.92626;-7.57915;3.636
3;1223.4;-2.90013;-7.04984;5.13283
4;926.156;-1.04482;-6.47898;6.41728
5;5912.69;2.29467;-4.10111;7.37889
6;7.96243;2.20247;-4.12869;7.31428
7;11.3963;2.38564;-4.07304;7.44179
8;7.69427;2.57671;-3.98611;7.54593
9;3.9425;2.6775;-3.92196;7.58257
10;3.00632;2.7396;-3.85196;7.57467
11;1.59177;2.74962;-3.80931;7.54204
12;2.67048;2.80061;-3.74006;7.52378
13;1.29783;2.84939;-3.66232;7.49482
14;1.6481;2.89357;-3.59901;7.47569
15;1.08128;2.86271;-3.56972;7.41554
16;1.49277;2.89768;-3.51999;7.40079
17;1.33441;2.9191;-3.47109;7.37331
18;1.45578;2.95921;-3.41204;7.35437
19;1.25179;3.03043;-3.32872;7.34226
20;1.34402;3.07217;-3.27006;7.32535
21;1.48516;3.11218;-3.20429;7.29958
22;2.63888;3.03352;-3.18147;7.1981
23;1.24316;3.06175;-3.13441;7.17927
24;1.37865;3.10617;-3.08014;7.16942
25;1.84326;3.10456;-3.03307;7.12074
26;1.72328;3.171;-2.95777;7.11188
27;2.1785;3.22214;-2.90009;7.10534
28;2.33221;3.25761;-2.83946;7.08019
29;4.85439;3.15072;-2.82434;6.95817
30;1.7156;3.17542;-2.78325;6.94179
31;2.16957;3.23629;-2.72979;6.94919
32;2.92083;3.20524;-2.69521;6.88356
33;2.30883;3.26446;-2.63163;6.8792
34;3.23927;3.32299;-2.5783;6.8844
35;3.28366;3.35472;-2.52533;6.86317
36;6.7575;3.23151;-2.51759;6.73221
37;2.3481;3.25468;-2.48323;6.72102
38;3.11396;3.32766;-2.43301;6.74379
39;4.0428;3.27574;-2.40981;6.66867
40;2.85344;3.32759;-2.35823;6.66893
41;4.20626;3.39202;-2.31015;6.68529
42;4.10826;3.42089;-2.26503;6.66904
43;8.21372;3.28825;-2.26375;6.53512
44;2.95678;3.31097;-2.23572;6.5298
45;4.00714;3.39305;-2.1894;6.56556
46;5.02585;3.32609;-2.17593;6.48513
47;3.32586;3.37132;-2.13518;6.48961
48;5.01659;3.44047;-2.09216;6.51574
49;4.77861;3.46718;-2.05413;6.50442
50;9.30052;3.32901;-2.05825;6.37037
51;3.49053;3.35179;-2.03571;6.37061
52;4.78812;3.44079;-1.99313;6.41704
53;5.84085;3.3628;-1.9877;6.33361
54;3.72579;3.40241;-1.95616;6.34168
55;5.67799;3.47532;-1.91758;6.37602
56;5.31508;3.50041;-1.88558;6.3691
57;10.1152;3.3589;-1.8941;6.23611
58;3.94125;3.38196;-1.87615;6.24122
59;5.44692;3.47627;-1.83685;6.29623
60;6.50247;3.39005;-1.83792;6.21108
61;4.05969;3.42505;-1.81396;6.22212
62;6.21255;3.50093;-1.7791;6.26315
63;5.74314;3.52479;-1.75206;6.25996
64;10.733;3.38119;-1.7641;6.12841
65;4.31433;3.40459;-1.74988;6.13758
66;5.99138;3.50299;-1.71334;6.19944
67;7.03437;3.41055;-1.71959;6.11326
68;4.33527;3.44184;-1.70175;6.12671
69;6.64222;3.52007;-1.66993;6.17311
70;6.08434;3.54298;-1.64688;6.17298
71;11.2069;3.39803;-1.66173;6.04287
72;4.61909;3.42176;-1.65049;6.05536
73;6.4352;3.52332;-1.6162;6.12263
74;7.45947;3.42614;-1.62656;6.03582
75;4.56039;3.45448;-1.6136;6.05119
76;6.98601;3.53453;-1.58421;6.10186
77;6.35589;3.55673;-1.56436;6.1042
78;11.5732;3.41087;-1.58141;5.97539
79;4.86556;3.43488;-1.57254;5.99054
80;6.79334;3.53889;-1.54006;6.06207
81;7.79768;3.43808;-1.55365;5.97485
82;4.7426;3.46408;-1.54455;5.99174
83;7.25991;3.54557;-1.5171;6.04578
84;6.57149;3.5672;-1.49977;6.05008
85;11.8577;3.42072;-1.51855;5.92239
86;5.06332;3.44497;-1.51155;5.93964
87;7.08009;3.55088;-1.48051;6.01451
88;8.06571;3.44727;-1.49664;5.92702
89;4.88895;3.47142;-1.49058;5.94511
90;7.47725;3.55404;-1.46465;6.0018
91;6.74217;3.57524;-1.44931;6.00766
92;12.0794;3.42831;-1.46945;5.88087
93;5.221;3.45276;-1.46392;5.89979
94;7.30825;3.56014;-1.43401;5.97726
95;8.27742;3.45436;-1.45213;5.8896
96;5.00571;3.47707;-1.44845;5.90863
97;7.64908;3.56056;-1.42372;5.9674
98;6.87692;3.58143;-1.40993;5.97447
99;12.2523;3.43417;-1.43114;5.84842
100;5.34605;3.45878;-1.42676;5.86865
101;7.48893;3.5673;-1.39775;5.94816
102;8.44416;3.45985;-1.41741;5.86037
103;5.09838;3.48143;-1.41559;5.88014
104;7.78451;3.5656;-1.39181;5.94052
105;6.98302;3.58621;-1.37924;5.94856
106;12.3872;3.43871;-1.40127;5.82309
107;5.44483;3.46344;-1.39779;5.84434
108;7.63143;3.57286;-1.36948;5.92545
109;8.57515;3.4641;-1.39035;5.83757
110;5.1716;3.4848;-1.38999;5.85791
111;7.89097;3.5695;-1.36694;5.91956
112;7.06636;3.5899;-1.35533;5.92834
113;12.4924;3.44222;-1.37801;5.80334
114;5.52259;3.46706;-1.37522;5.8254
115;7.74349;3.57716;-1.34746;5.90774
116;8.67784;3.4674;-1.36928;5.81979
117;5.22927;3.48742;-1.37005;5.84058
118;7.97446;3.57253;-1.34758;5.90322
119;7.1317;3.59277;-1.3367;5.91259
120;12.5745;3.44495;-1.35989;5.78795
121;5.58365;3.46987;-1.35765;5.81063
122;7.8314;3.58051;-1.33032;5.89394
123;8.75822;3.46996;-1.35287;5.80595
124;5.27456;3.48944;-1.35453;5.82709
125;8.03984;3.57488;-1.33251;5.89049
126;7.18284;3.59499;-1.32221;5.90032
127;12.6385;3.44707;-1.34578;5.77597
128;5.63148;3.47205;-1.34398;5.79914
129;7.90022;3.58311;-1.31698;5.88319
