Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;168.105;-0.925304;-0.724228;1.0747;-0.724228;0.0746957;0.275772;0;0
1;14525;-5.99356;-0.184214;-3.99356;-0.184214;-4.99356;0.815786;0;0
2;4790.42;-8.07387;-0.0684036;-6.07387;-0.0684036;-7.07387;0.931596;0;0
3;5591.65;-7.21888;0.242831;-5.21888;0.242831;-6.21888;1.24283;0;0
4;10618.3;-6.25683;0.139083;-4.25683;0.139083;-5.25683;1.13908;0;0
5;3.42922e+06;-62.9523;-0.0188214;-60.9523;-0.0188214;-61.9523;0.981179;0;0
6;2.61802e+08;-59.8769;-449.8;-57.8769;-449.8;-58.8769;-448.8;0;0
7;8.84171e+12;-55.6392;121317;-53.6392;121317;-54.6392;121318;0;0
8;4.98765e+22;-53.2403;-4.5185e+09;-51.2403;-4.5185e+09;-52.2403;-4.5185e+09;0;0
9;1.178e+29;-50.4747;5.70517e+12;-48.4747;5.70517e+12;-49.4747;5.70517e+12;0;0
10;5.45507e+39;-49.0064;1.45669e+18;-47.0064;1.45669e+18;-48.0064;1.45669e+18;0;0
11;7.08634e+46;-46.9477;-3.95593e+21;-44.9477;-3.95593e+21;-45.9477;-3.95593e+21;0;0
12;7.8442e+53;-44.842;-1.20571e+25;-42.842;-1.20571e+25;-43.842;-1.20571e+25;0;0
13;2.28347e+61;-42.6543;1.25175e+29;-40.6543;1.25175e+29;-41.6543;1.25175e+29;0;0
14;1.0317e+65;-39.5865;-1.32262e+31;-37.5865;-1.32262e+31;-38.5865;-1.32262e+31;0;0
15;1.22069e+73;-37.8202;5.29206e+34;-35.8202;5.29206e+34;-36.8202;5.29206e+34;0;0
16;6.08893e+77;-35.8103;-5.4252e+36;-33.8103;-5.4252e+36;-34.8103;-5.4252e+36;0;0
17;6.18986e+85;-34.7776;-1.16116e+41;-32.7776;-1.16116e+41;-33.7776;-1.16116e+41;0;0
18;1.25219e+91;-33.2796;1.7314e+43;-31.2796;1.7314e+43;-32.2796;1.7314e+43;0;0
19;3.17274e+95;-31.7124;2.035e+45;-29.7124;2.035e+45;-30.7124;2.035e+45;0;0
20;3.29234e+100;-30.1682;-4.32656e+48;-28.1682;-4.32656e+48;-29.1682;-4.32656e+48;0;0
21;2.06097e+103;-27.9487;1.76656e+50;-25.9487;1.76656e+50;-26.9487;1.76656e+50;0;0
22;4.60807e+109;-26.641;-5.62727e+52;-24.641;-5.62727e+52;-25.641;-5.62727e+52;0;0
23;5.39938e+112;-25.1789;-1.74249e+52;-23.1789;-1.74249e+52;-24.1789;-1.74249e+52;0;0
24;8.03447e+114;-24.462;-2.25598e+55;-22.462;-2.25598e+55;-23.462;-2.25598e+55;0;0
25;2.80404e+118;-23.3704;-8.74639e+55;-21.3704;-8.74639e+55;-22.3704;-8.74639e+55;0;0
26;3.23899e+119;-22.1937;3.50028e+56;-20.1937;3.50028e+56;-21.1937;3.50028e+56;0;0
27;5.19934e+121;-21.116;-1.46575e+59;-19.116;-1.46575e+59;-20.116;-1.46575e+59;0;0
28;4.59551e+123;-19.5115;2.21772e+60;-17.5115;2.21772e+60;-18.5115;2.21772e+60;0;0
29;1.68185e+128;-18.5362;-1.22811e+61;-16.5362;-1.22811e+61;-17.5362;-1.22811e+61;0;0
30;2.99634e+128;-17.4714;1.52415e+59;-15.4714;1.52415e+59;-16.4714;1.52415e+59;0;0
31;7.49785e+126;-16.9834;-2.05063e+60;-14.9834;-2.05063e+60;-15.9834;-2.05063e+60;0;0
32;1.9362e+127;-16.1865;1.98693e+60;-14.1865;1.98693e+60;-15.1865;1.98693e+60;0;0
33;8.60698e+126;-15.2929;1.85653e+60;-13.2929;1.85653e+60;-14.2929;1.85653e+60;0;0
34;8.28097e+127;-14.5534;-1.35918e+62;-12.5534;-1.35918e+62;-13.5534;-1.35918e+62;0;0
35;8.85365e+128;-13.3947;6.75958e+62;-11.3947;6.75958e+62;-12.3947;6.75958e+62;0;0
36;4.67279e+131;-12.6604;1.84653e+63;-10.6604;1.84653e+63;-11.6604;1.84653e+63;0;0
37;8.83278e+131;-11.8836;-1.77066e+63;-9.88357;-1.77066e+63;-10.8836;-1.77066e+63;0;0
38;1.32019e+133;-11.5615;2.94548e+64;-9.56151;2.94548e+64;-10.5615;2.94548e+64;0;0
