Epoch;ErrorScore;w1;b1;b2
0;48.108;0.961374;-8.35346;10.2979
1;5.44035;1.10591;-8.1197;10.2087
2;3.94879;0.956811;-8.36115;10.3011
3;2.91143;1.03257;-8.48805;10.5037
4;4.81738;0.914003;-8.77196;10.6691
5;13.2473;1.01163;-7.86683;9.86157
6;2.90927;0.9162;-8.76233;10.6616
7;5.1455;0.922996;-8.68924;10.5954
8;3.19121;1.10507;-8.11376;10.2019
9;3.94806;0.956811;-8.36115;10.3011
10;2.91144;1.03257;-8.48805;10.5037
11;4.81738;0.914003;-8.77196;10.6691
12;13.2473;1.01163;-7.86683;9.86157
13;2.90927;0.9162;-8.76233;10.6616
14;5.1455;0.922996;-8.68924;10.5954
15;3.19121;1.10507;-8.11376;10.2019
16;3.94806;0.956811;-8.36115;10.3011
17;2.91144;1.03257;-8.48805;10.5037
18;4.81738;0.914003;-8.77196;10.6691
19;13.2473;1.01163;-7.86683;9.86157
20;2.90927;0.9162;-8.76233;10.6616
21;5.1455;0.922996;-8.68924;10.5954
22;3.19121;1.10507;-8.11376;10.2019
23;3.94806;0.956811;-8.36115;10.3011
24;2.91144;1.03257;-8.48805;10.5037
25;4.81738;0.914003;-8.77196;10.6691
26;13.2473;1.01163;-7.86683;9.86157
27;2.90927;0.9162;-8.76233;10.6616
28;5.1455;0.922996;-8.68924;10.5954
29;3.19121;1.10507;-8.11376;10.2019
30;3.94806;0.956811;-8.36115;10.3011
31;2.91144;1.03257;-8.48805;10.5037
32;4.81738;0.914003;-8.77196;10.6691
33;13.2473;1.01163;-7.86683;9.86157
34;2.90927;0.9162;-8.76233;10.6616
35;5.1455;0.922996;-8.68924;10.5954
36;3.19121;1.10507;-8.11376;10.2019
37;3.94806;0.956811;-8.36115;10.3011
38;2.91144;1.03257;-8.48805;10.5037
39;4.81738;0.914003;-8.77196;10.6691
40;13.2473;1.01163;-7.86683;9.86157
41;2.90927;0.9162;-8.76233;10.6616
42;5.1455;0.922996;-8.68924;10.5954
43;3.19121;1.10507;-8.11376;10.2019
44;3.94806;0.956811;-8.36115;10.3011
45;2.91144;1.03257;-8.48805;10.5037
46;4.81738;0.914003;-8.77196;10.6691
47;13.2473;1.01163;-7.86683;9.86157
48;2.90927;0.9162;-8.76233;10.6616
49;5.1455;0.922996;-8.68924;10.5954
50;3.19121;1.10507;-8.11376;10.2019
51;3.94806;0.956811;-8.36115;10.3011
52;2.91144;1.03257;-8.48805;10.5037
53;4.81738;0.914003;-8.77196;10.6691
54;13.2473;1.01163;-7.86683;9.86157
55;2.90927;0.9162;-8.76233;10.6616
56;5.1455;0.922996;-8.68924;10.5954
57;3.19121;1.10507;-8.11376;10.2019
58;3.94806;0.956811;-8.36115;10.3011
59;2.91144;1.03257;-8.48805;10.5037
60;4.81738;0.914003;-8.77196;10.6691
61;13.2473;1.01163;-7.86683;9.86157
62;2.90927;0.9162;-8.76233;10.6616
63;5.1455;0.922996;-8.68924;10.5954
64;3.19121;1.10507;-8.11376;10.2019
65;3.94806;0.956811;-8.36115;10.3011
66;2.91144;1.03257;-8.48805;10.5037
67;4.81738;0.914003;-8.77196;10.6691
68;13.2473;1.01163;-7.86683;9.86157
69;2.90927;0.9162;-8.76233;10.6616
70;5.1455;0.922996;-8.68924;10.5954
71;3.19121;1.10507;-8.11376;10.2019
72;3.94806;0.956811;-8.36115;10.3011
73;2.91144;1.03257;-8.48805;10.5037
74;4.81738;0.914003;-8.77196;10.6691
75;13.2473;1.01163;-7.86683;9.86157
76;2.90927;0.9162;-8.76233;10.6616
77;5.1455;0.922996;-8.68924;10.5954
78;3.19121;1.10507;-8.11376;10.2019
79;3.94806;0.956811;-8.36115;10.3011
80;2.91144;1.03257;-8.48805;10.5037
81;4.81738;0.914003;-8.77196;10.6691
82;13.2473;1.01163;-7.86683;9.86157
83;2.90927;0.9162;-8.76233;10.6616
84;5.1455;0.922996;-8.68924;10.5954
85;3.19121;1.10507;-8.11376;10.2019
