Epoch;ErrorScore;w1;b1;b2
0;32.5508;0.743522;1.81686;-0.411479
1;33.9212;0.747305;1.99372;-0.584552
2;36.8081;0.732015;-0.470082;1.86396
3;34.8971;0.786428;-0.118811;1.5671
4;32.7697;1.09423;2.85043;-1.09434
5;21.0126;0.943453;1.3381;0.267212
6;18.6118;0.841453;0.40931;1.094
7;27.2877;0.859252;0.597242;0.923871
8;30.8503;0.750057;1.9655;-0.553578
9;36.7093;0.732014;-0.470093;1.86397
10;34.8972;0.786428;-0.118811;1.5671
11;32.7697;1.09423;2.85043;-1.09434
12;21.0126;0.943453;1.3381;0.267212
13;18.6118;0.841453;0.40931;1.094
14;27.2877;0.859252;0.597242;0.923871
15;30.8503;0.750057;1.9655;-0.553578
16;36.7093;0.732014;-0.470093;1.86397
17;34.8972;0.786428;-0.118811;1.5671
18;32.7697;1.09423;2.85043;-1.09434
19;21.0126;0.943453;1.3381;0.267212
20;18.6118;0.841453;0.40931;1.094
21;27.2877;0.859252;0.597242;0.923871
22;30.8503;0.750057;1.9655;-0.553578
23;36.7093;0.732014;-0.470093;1.86397
24;34.8972;0.786428;-0.118811;1.5671
25;32.7697;1.09423;2.85043;-1.09434
26;21.0126;0.943453;1.3381;0.267212
27;18.6118;0.841453;0.40931;1.094
28;27.2877;0.859252;0.597242;0.923871
29;30.8503;0.750057;1.9655;-0.553578
30;36.7093;0.732014;-0.470093;1.86397
31;34.8972;0.786428;-0.118811;1.5671
32;32.7697;1.09423;2.85043;-1.09434
33;21.0126;0.943453;1.3381;0.267212
34;18.6118;0.841453;0.40931;1.094
35;27.2877;0.859252;0.597242;0.923871
36;30.8503;0.750057;1.9655;-0.553578
37;36.7093;0.732014;-0.470093;1.86397
38;34.8972;0.786428;-0.118811;1.5671
39;32.7697;1.09423;2.85043;-1.09434
40;21.0126;0.943453;1.3381;0.267212
41;18.6118;0.841453;0.40931;1.094
42;27.2877;0.859252;0.597242;0.923871
43;30.8503;0.750057;1.9655;-0.553578
44;36.7093;0.732014;-0.470093;1.86397
45;34.8972;0.786428;-0.118811;1.5671
46;32.7697;1.09423;2.85043;-1.09434
47;21.0126;0.943453;1.3381;0.267212
48;18.6118;0.841453;0.40931;1.094
49;27.2877;0.859252;0.597242;0.923871
50;30.8503;0.750057;1.9655;-0.553578
51;36.7093;0.732014;-0.470093;1.86397
52;34.8972;0.786428;-0.118811;1.5671
53;32.7697;1.09423;2.85043;-1.09434
54;21.0126;0.943453;1.3381;0.267212
55;18.6118;0.841453;0.40931;1.094
56;27.2877;0.859252;0.597242;0.923871
57;30.8503;0.750057;1.9655;-0.553578
58;36.7093;0.732014;-0.470093;1.86397
59;34.8972;0.786428;-0.118811;1.5671
60;32.7697;1.09423;2.85043;-1.09434
61;21.0126;0.943453;1.3381;0.267212
62;18.6118;0.841453;0.40931;1.094
63;27.2877;0.859252;0.597242;0.923871
64;30.8503;0.750057;1.9655;-0.553578
65;36.7093;0.732014;-0.470093;1.86397
66;34.8972;0.786428;-0.118811;1.5671
67;32.7697;1.09423;2.85043;-1.09434
68;21.0126;0.943453;1.3381;0.267212
69;18.6118;0.841453;0.40931;1.094
70;27.2877;0.859252;0.597242;0.923871
