Params;Score;Time;Memory
000000101000;309.164;202543ms;17873884
000000101001;321.844;202000ms;17873884
000000101010;355.64;198255ms;17873884
000000101011;348.502;99760ms;17873884
000000101100;310.967;204626ms;17873884
000000101101;306.87;96033ms;17873884
000000101110;314.819;95720ms;17873884
000001100001;606.672;95523ms;17873884
000001100010;905.321;100096ms;17873884
000001100011;856.675;99414ms;17873884
000001100100;1035.07;99645ms;17873884
000001100101;660.74;111477ms;17873884
000001100110;840.123;112217ms;17873884
000001100111;1017.38;95443ms;17873884
000001101000;965.97;132581ms;17873884
011100010110;328.242;422568ms;17873884
011100010111;328.435;122494ms;17873884
011100011000;304.028;111567ms;17873884
011100011001;326.235;425642ms;17873884
011100011010;357.462;281168ms;17873884
011100011011;344.775;116526ms;17873884
011100011100;310.668;100619ms;17873884
011100011101;303.933;98778ms;17873884
011100011110;324.046;197996ms;17873884
011100011111;327.014;100038ms;17873884
