Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;49.732;-0.997938;-0.293912;1.00486;-0.291114;-7.06314e-05;0.703955;0.00213218;0.00493096
1;38.7784;-0.996128;0.329286;1.0092;0.334615;-0.0001334;1.32528;0.00400532;0.0093347
2;30.21;-0.994545;0.878993;1.01308;0.886614;-0.000189104;1.87335;0.00564454;0.0132659
3;23.6968;-0.993159;1.36545;1.01655;1.37515;-0.000238664;2.35837;0.00707982;0.0167866
4;18.7686;-0.991943;1.79792;1.01967;1.80954;-0.000282936;2.78958;0.00833963;0.019954
5;15.0008;-0.990875;2.18405;1.02249;2.19742;-0.000322634;3.1746;0.0094479;0.0228155
6;12.0772;-0.989934;2.52997;1.02505;2.54495;-0.000358335;3.51954;0.010424;0.0254095
7;9.77827;-0.989107;2.84062;1.02738;פוג.71;-0.000390508;3.82933;0.0112837;0.027767
8;7.95143;-0.988379;3.12008;1.02949;3.13796;-0.000419542;4.10804;0.0120401;0.0299141
9;6.48866;-0.987742;3.37181;1.03143;3.39097;-0.000445769;אןנ.91;0.0127041;0.0318728
10;5.31105;-0.987184;3.59874;1.03319;3.61912;-0.000469474;4.58545;0.0132852;0.0336622
11;4.35938;-0.986699;3.80345;1.03481;3.82496;-0.00049091;4.78966;0.0137919;0.0352991
12;לאנ.82;-0.986279;3.98821;1.03629;4.01077;-0.000510298;4.97397;0.0142314;0.0367984
13;2.96207;-0.985918;4.155;1.03765;4.17857;-0.000527836;5.14039;0.0146103;0.0381733
14;2.45299;-0.985609;4.30563;1.03889;4.33013;-0.000543704;5.29069;0.0149345;0.0394359
15;2.03865;-0.985349;4.44167;1.04004;4.46706;-0.00055806;5.42646;0.0152093;0.0405968
16;1.70116;-0.985132;4.56457;1.04109;4.59079;-0.00057105;5.54913;0.0154394;0.0416656
17;1.42612;-0.984954;4.67559;1.04207;4.70261;-0.000582803;5.65996;0.015629;0.0426513
18;1.20186;-0.984811;4.77591;1.04297;4.80369;-0.000593438;5.76012;0.0157822;0.0435616
19;1.01897;-0.984701;4.86655;1.0438;4.89505;-0.000603059;5.85065;0.0159023;0.0444036
20;0.869764;-0.984619;4.94845;1.04457;4.97764;-0.000611765;5.93246;0.0159925;0.045184
21;0.748028;-0.984564;5.02246;1.04529;5.05231;-0.000619642;6.00641;0.0160558;0.0459085
22;0.648691;-0.984532;5.08934;1.04596;5.11983;-0.000626769;6.07325;0.0160946;0.0465823
23;0.567625;-0.984522;5.14978;1.04658;5.18088;-0.000633217;6.13367;0.0161113;0.0472105
24;0.501467;-0.984531;5.20439;1.04716;5.23608;-0.000639051;6.18828;0.016108;0.0477971
25;0.447475;-0.984558;5.25374;1.0477;5.286;-0.00064433;6.23766;0.0160867;0.0483463
26;0.403413;-0.9846;5.29834;1.04821;5.33115;-0.000649106;6.28229;0.016049;0.0488616
27;0.367457;-0.984657;5.33864;1.04869;5.37199;-0.000653427;6.32264;0.0159965;0.0493462
28;0.338117;-0.984727;5.37505;1.04915;5.40892;-0.000657337;6.35912;0.0159308;0.0498029
29;0.314178;-0.984808;5.40795;1.04957;5.44233;-0.000660875;ט‏ם.21;0.0158529;0.0502346
30;0.294648;-0.9849;5.43768;1.04998;5.47256;-0.000664076;6.42191;0.0157641;0.0506435
31;0.278718;-0.985002;5.46453;1.05036;לאי.99;-0.000666972;6.44887;0.0156655;0.0510318
32;0.265726;-0.985112;לאי.88;1.05073;5.52464;-0.000669594;6.47324;0.0155579;0.0514015
33;0.255132;-0.98523;5.51071;1.05108;5.54702;-0.000671966;6.49527;0.0154423;0.0517543
34;0.246496;-0.985355;5.53051;1.05142;5.56728;-0.000674113;6.51519;0.0153194;0.0520919
35;0.239458;-0.985486;5.54839;1.05174;5.58561;-0.000676056;ט‏ם.32;0.0151898;0.0524158
36;0.233723;-0.985623;5.56453;1.05205;5.60221;-0.000677815;6.54948;0.0150544;0.0527271
37;0.229053;-0.985766;5.57912;1.05235;5.61723;-0.000679407;ט‏ם.42;0.0149135;0.0530272
38;0.22525;-0.985913;5.59228;1.05264;5.63083;-0.000680849;6.57751;0.0147678;0.0533171
39;0.222155;-0.986064;5.60416;1.05292;5.64314;-0.000682154;6.58954;0.0146177;0.0535977
40;0.219638;-0.98622;5.61489;1.05319;5.65429;-0.000683336;6.60042;0.0144636;0.05387
41;0.217591;-0.986378;5.62457;1.05345;לאי.44;-0.000684407;6.61026;0.0143059;0.0541348
42;0.215928;-0.98654;לאי.33;1.05371;5.67355;-0.000685377;6.61916;0.014145;0.0543927
43;0.214577;-0.986705;5.64118;1.05396;5.68184;-0.000686256;ט‏ם.72;0.0139811;0.0546444
44;0.213482;-0.986872;5.64828;1.0542;5.68936;-0.000687052;6.63447;0.0138146;0.0548906
45;0.212593;-0.987042;5.65469;1.05444;5.69617;-0.000687774;6.64104;0.0136457;0.0551317
46;0.211874;-0.987214;5.66046;1.05468;5.70235;-0.000688428;6.64698;0.0134746;0.0553682
47;0.211292;-0.987387;5.66566;1.05491;5.70796;-0.000689021;6.65236;0.0133015;0.0556006
48;0.210821;-0.987563;5.67034;1.05514;5.71305;-0.00068956;6.65722;0.0131267;0.0558292
49;0.210442;-0.98774;5.67456;1.05536;5.71766;-0.000690048;6.66161;0.0129503;0.0560545
50;0.210136;-0.987918;5.67835;1.05559;5.72186;-0.000690492;6.66558;0.0127724;0.0562767
51;0.20989;-0.988098;5.68177;1.05581;5.72567;-0.000690894;6.66917;0.0125932;0.0564962
52;0.209692;-0.988278;5.68483;1.05602;5.72913;-0.00069126;6.67242;0.0124129;0.0567132
53;0.209534;-0.98846;5.68759;1.05624;5.73228;-0.000691593;6.67535;0.0122314;0.0569279
54;0.209407;-0.988643;5.69006;1.05645;5.73515;-0.000691895;6.67801;0.012049;0.0571405
55;0.209307;-0.988826;5.69227;1.05666;5.73776;-0.00069217;6.68041;0.0118657;0.0573513
56;0.209227;-0.989011;5.69426;1.05687;5.74014;-0.000692421;6.68258;0.0116816;0.0575604
57;0.209164;-0.989196;5.69604;1.05708;5.74231;-0.000692649;6.68454;0.0114968;0.0577681
58;0.209114;-0.989381;5.69762;1.05728;5.74429;-0.000692857;6.68631;0.0113114;0.0579743
59;0.209075;-0.989568;5.69904;1.05749;לאי.61;-0.000693047;6.68792;0.0111254;0.0581793
60;0.209045;-0.989754;5.70031;1.05769;5.74775;-0.000693221;6.68937;0.0109388;0.0583832
61;0.209022;-0.989942;5.70143;1.05789;5.74926;-0.000693379;6.69068;0.0107518;0.0585861
62;0.209004;-0.990129;5.70243;1.05809;5.75065;-0.000693525;6.69186;0.0105643;0.0587881
63;0.208991;-0.990317;5.70331;1.0583;5.75192;-0.000693658;6.69294;0.0103765;0.0589893
64;0.208981;-0.990506;5.70409;1.0585;5.75309;-0.000693779;ט‏ם.39;0.0101883;0.0591897
65;0.208974;-0.990694;5.70478;1.0587;5.75417;-0.000693892;6.69478;0.00999973;0.0593894
66;0.208969;-0.990883;5.70538;1.05889;5.75516;-0.000693995;6.69557;0.0098109;0.0595886
67;0.208965;-0.991072;5.70591;1.05909;5.75608;-0.000694089;6.69629;0.00962181;0.0597871
68;0.208963;-0.991262;5.70637;1.05929;5.75692;-0.000694177;6.69694;0.00943249;0.0599852
69;0.208962;-0.991451;5.70676;1.05949;לאי.77;-0.000694258;6.69752;0.00924294;0.0601828
70;0.208962;-0.991641;לאי.71;1.05969;5.75843;-0.000694333;6.69805;0.0090532;0.0603801
71;0.208962;-0.991831;5.70739;1.05988;5.75911;-0.000694402;6.69853;0.00886329;0.0605769
72;0.208963;-0.992021;5.70764;1.06008;5.75974;-0.000694467;6.69896;0.00867321;0.0607735
73;0.208964;-0.992212;5.70784;1.06028;5.76032;-0.000694527;6.69935;0.00848299;0.0609697
74;0.208965;-0.992402;5.708;1.06047;5.76087;-0.000694583;6.69971;0.00829263;0.0611656
75;0.208966;-0.992592;5.70813;1.06067;5.76139;-0.000694635;6.70003;0.00810216;0.0613614
76;0.208967;-0.992783;5.70823;1.06086;5.76187;-0.000694684;6.70032;0.00791158;0.0615569
77;0.208969;-0.992974;לאי.83;1.06106;5.76233;-0.00069473;6.70058;0.00772089;0.0617521
78;0.20897;-0.993165;5.70834;1.06125;5.76276;-0.000694774;6.70081;0.00753012;0.0619473
79;0.208971;-0.993356;5.70837;1.06145;5.76317;-0.000694815;6.70103;0.00733927;0.0621422
