Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;49.7278;-0.99289;-0.289036;1.00711;-0.289036;-7.06416e-05;0.703925;0.00213291;0.00493125
1;38.7663;-0.986615;0.338402;1.01338;0.338402;-0.000133424;1.32515;0.0040072;0.0093352
2;30.1949;-0.98108;0.891808;1.01892;0.891808;-0.000189144;1.87308;0.00564789;0.0132665
3;23.6834;-0.976182;1.38153;1.02382;1.38153;-0.000238725;2.35795;0.00708502;0.0167875
4;18.7588;-0.971826;1.81694;1.02817;1.81694;-0.000283024;2.78905;0.00834703;0.0199554
5;14.9944;-0.967937;2.20573;1.03206;2.20573;-0.000322754;3.17399;0.00945784;0.0228175
6;12.0736;-0.964453;2.55406;1.03555;2.55406;-0.00035849;3.51887;0.0104367;0.0254123
7;9.77651;-0.961323;2.86692;1.03868;2.86692;-0.000390701;3.82864;0.0112994;0.0277707
8;7.9509;-0.958507;3.14841;1.04149;3.14841;-0.000419777;4.10733;0.0120588;0.0299188
9;6.48887;-0.95597;3.40198;1.04403;3.40198;-0.000446045;4.3584;0.0127259;0.0318786
10;5.31169;-0.953683;3.63061;1.04632;3.63061;-0.000469793;4.58476;0.0133102;0.0336691
11;4.36022;-0.951619;3.83688;1.04838;3.83688;-0.000491271;4.78899;0.0138199;0.0353072
12;3.58912;-0.949756;4.02306;1.05024;4.02306;-0.0005107;4.97333;0.0142625;0.0368076
13;2.96299;-0.948074;4.19117;1.05193;4.19117;-0.00052828;5.13978;0.0146444;0.0381836
14;2.45385;-0.946555;4.34301;1.05345;4.34301;-0.000544188;5.29011;0.0149715;0.0394473
15;2.03944;-0.945182;4.48017;1.05482;4.48017;-0.000558583;5.42591;0.0152491;0.0406092
16;1.70187;-0.943942;4.60409;1.05606;4.60409;-0.000571611;5.5486;0.015482;0.0416791
17;1.42674;-0.942822;4.71606;1.05718;4.71606;-0.000583401;5.65947;0.0156744;0.0426657
18;1.2024;-0.941809;4.81725;1.05819;4.81725;-0.000594071;5.75966;0.0158302;0.0435769
19;1.01943;-0.940894;4.90871;1.05911;4.90871;-0.000603727;5.85021;0.0159529;0.0444199
20;0.870159;-0.940067;4.99137;1.05993;4.99137;-0.000612467;5.93205;0.0160456;0.0452011
21;0.748363;-0.939319;5.06608;1.06068;5.06608;-0.000620376;6.00602;0.0161113;0.0459264
22;0.648973;-0.938644;5.13361;1.06136;5.13361;-0.000627535;6.07288;0.0161524;0.046601
23;0.567861;-0.938033;5.19466;1.06197;5.19466;-0.000634013;6.13332;0.0161714;0.0472299
24;0.501663;-0.937481;5.24984;1.06252;5.24984;-0.000639877;6.18796;0.0161704;0.0478173
25;0.447638;-0.936981;5.29973;1.06302;5.29973;-0.000645185;6.23735;0.0161513;0.0483672
26;0.403547;-0.93653;5.34483;1.06347;5.34483;-0.000649989;6.28201;0.0161158;0.0488831
27;0.367566;-0.936122;5.3856;1.06388;5.3856;-0.000654338;6.32237;0.0160654;0.0493683
28;0.338205;-0.935753;5.42245;1.06425;5.42245;-0.000658275;6.35887;0.0160017;0.0498257
29;0.314249;-0.93542;5.45578;1.06458;5.45578;-0.000661839;6.39186;0.0159259;0.050258
30;0.294705;-0.935118;5.4859;1.06488;5.4859;-0.000665065;6.42169;0.0158391;0.0506674
31;0.278762;-0.934845;5.51314;1.06515;5.51314;-0.000667987;6.44865;0.0157425;0.0510563
32;0.26576;-0.934599;5.53776;1.0654;5.53776;-0.000670634;6.47303;0.0156368;0.0514265
33;0.255158;-0.934376;5.56003;1.06562;5.56003;-0.00067303;6.49508;0.0155231;0.0517799
34;0.246515;-0.934175;5.58016;1.06583;5.58016;-0.000675201;6.51501;0.0154021;0.052118
35;0.239471;-0.933993;5.59835;1.06601;5.59835;-0.000677168;6.53302;0.0152745;0.0524423
36;0.233732;-0.933828;5.61481;1.06617;5.61481;-0.00067895;6.54931;0.0151409;0.0527541
37;0.229057;-0.933679;5.62968;1.06632;5.62968;-0.000680566;6.56404;0.0150019;0.0530546
38;0.225251;-0.933544;5.64313;1.06646;5.64313;-0.00068203;6.57736;0.014858;0.053345
39;0.222154;-0.933423;5.65529;1.06658;5.65529;-0.000683358;6.5894;0.0147097;0.053626
40;0.219634;-0.933313;5.66629;1.06669;5.66629;-0.000684562;6.60028;0.0145575;0.0538987
41;0.217586;-0.933213;5.67623;1.06679;5.67623;-0.000685655;6.61013;0.0144016;0.0541639
42;0.215921;-0.933123;5.68522;1.06688;5.68522;-0.000686646;6.61903;0.0142424;0.0544222
43;0.21457;-0.933042;5.69334;1.06696;5.69334;-0.000687547;6.62707;0.0140804;0.0546743
44;0.213473;-0.932968;5.70069;1.06703;5.70069;-0.000688365;6.63435;0.0139156;0.0549208
45;0.212584;-0.932902;5.70733;1.0671;5.70733;-0.000689108;6.64092;0.0137485;0.0551623
46;0.211864;-0.932842;5.71334;1.06716;5.71334;-0.000689784;6.64687;0.0135792;0.0553992
47;0.211281;-0.932787;5.71877;1.06721;5.71877;-0.000690398;6.65225;0.0134079;0.0556319
48;0.210811;-0.932738;5.72368;1.06726;5.72368;-0.000690958;6.65711;0.0132348;0.0558609
49;0.210431;-0.932693;5.72812;1.06731;5.72812;-0.000691467;6.6615;0.0130602;0.0560865
50;0.210125;-0.932653;5.73213;1.06735;5.73213;-0.000691931;6.66548;0.012884;0.0563091
51;0.209879;-0.932617;5.73576;1.06738;5.73576;-0.000692355;6.66907;0.0127066;0.0565289
