Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;49.7374;-0.997925;-0.293861;1.00487;-0.291066;7.08577e-05;0.703994;0.00703994;0.00703994
1;38.777;-0.996075;0.329367;1.00923;0.334671;0.000134234;1.32531;0.0132531;0.0132531
2;30.1878;-0.994434;0.878929;1.01313;0.886492;0.000190771;1.87317;0.0187317;0.0187317
3;23.6603;-0.992981;1.36508;1.01663;1.37468;0.000241296;2.35781;0.0235781;0.0235781
4;18.7297;-0.991692;1.79717;1.01978;1.80864;0.000286606;2.78858;0.0278858;0.0278858
5;14.967;-0.990546;2.18294;1.02263;2.19612;0.000327381;3.17316;0.0317316;0.0317316
6;12.0512;-0.989528;2.52856;1.02522;2.5433;0.000364169;3.51772;0.0351772;0.0351772
7;9.75985;-0.988623;2.83899;1.02757;2.85518;0.000397421;3.82721;0.0382721;0.0382721
8;7.93927;-0.987821;3.11831;1.02972;3.13585;0.000427511;4.1057;0.041057;0.041057
9;6.48125;-0.98711;3.36996;1.03168;3.38874;0.000454758;4.35661;0.0435661;0.0435661
10;5.30705;-0.986482;3.59687;1.03347;3.61682;0.000479439;4.58287;0.0458287;0.0458287
11;4.35771;-0.98593;3.80161;1.03511;3.82264;0.000501802;4.78704;0.0478704;0.0478704
12;3.58807;-0.985447;3.98642;1.03661;4.00848;0.000522064;4.97134;0.0497134;0.0497134
13;2.9629;-0.985027;4.1533;1.03799;4.17631;0.000540423;5.13778;0.0513778;0.0513778
14;2.45438;-0.984663;4.30402;1.03925;4.32794;0.000557057;5.28813;0.0528813;0.0528813
15;2.04033;-0.984351;4.44018;1.04042;4.46495;0.000572127;5.42396;0.0542396;0.0542396
16;1.70294;-0.984086;4.56319;1.04149;4.58877;0.000585778;5.54669;0.0554669;0.0554669
17;1.42789;-0.983863;4.67434;1.04248;4.70069;0.000598142;5.65761;0.0565761;0.0565761
18;1.20355;-0.98368;4.77478;1.04339;4.80186;0.00060934;5.75785;0.0575785;0.0575785
19;1.02054;-0.983531;4.86555;1.04424;4.89332;0.000619481;5.84846;0.0584846;0.0584846
20;0.871192;-0.983415;4.94757;1.04502;4.97601;0.000628663;5.93036;0.0593036;0.0593036
21;0.749309;-0.983327;5.0217;1.04575;5.05078;0.000636978;6.00439;0.0600439;0.0600439
22;0.649827;-0.983266;5.08869;1.04643;5.11839;0.000644505;6.07131;0.0607131;0.0607131
23;0.568624;-0.983229;5.14924;1.04706;5.17952;0.000651319;6.13181;0.0613181;0.0613181
24;0.50234;-0.983213;5.20395;1.04765;5.23481;0.000657488;6.18651;0.0618651;0.0618651
25;0.448234;-0.983217;5.2534;1.0482;5.28482;0.000663072;6.23596;0.0623596;0.0623596
26;0.40407;-0.983238;5.29809;1.04871;5.33004;0.000668126;6.28066;0.0628066;0.0628066
27;0.368023;-0.983276;5.33847;1.0492;5.37095;0.000672701;6.32108;0.0632108;0.0632108
28;0.338604;-0.983328;5.37497;1.04966;5.40796;0.000676842;6.35762;0.0635762;0.0635762
29;0.314596;-0.983394;5.40794;1.05009;5.44143;0.00068059;6.39066;0.0639066;0.0639066
30;0.295007;-0.983472;5.43774;1.0505;5.47172;0.000683983;6.42053;0.0642053;0.0642053
31;0.279026;-0.98356;5.46466;1.05089;5.49912;0.000687054;6.44754;0.0644754;0.0644754
32;0.26599;-0.983658;5.48899;1.05126;5.52391;0.000689833;6.47196;0.0647196;0.0647196
33;0.255359;-0.983765;5.51096;1.05162;5.54634;0.000692349;6.49403;0.0649403;0.0649403
34;0.246691;-0.98388;5.53081;1.05195;5.56665;0.000694626;6.514;0.06514;0.06514
35;0.239625;-0.984003;5.54874;1.05228;5.58502;0.000696688;6.53205;0.0653205;0.0653205
36;0.233868;-0.984132;5.56493;1.05259;5.60166;0.000698555;6.54837;0.0654837;0.0654837
37;0.229178;-0.984266;5.57956;1.05289;5.61671;0.000700245;6.56312;0.0656312;0.0656312
38;0.225359;-0.984407;5.59276;1.05318;5.63035;0.000701775;6.57647;0.0657647;0.0657647
39;0.22225;-0.984552;5.60468;1.05346;5.64269;0.00070316;6.58853;0.0658853;0.0658853
40;0.219721;-0.984702;5.61544;1.05373;5.65388;0.000704415;6.59944;0.0659944;0.0659944
41;0.217664;-0.984855;5.62515;1.054;5.664;0.000705552;6.6093;0.066093;0.066093
42;0.215993;-0.985012;5.63391;1.05426;5.67318;0.000706582;6.61822;0.0661822;0.0661822
43;0.214636;-0.985173;5.64182;1.05451;5.6815;0.000707515;6.62628;0.0662628;0.0662628
44;0.213534;-0.985336;5.64894;1.05476;5.68904;0.000708361;6.63357;0.0663357;0.0663357
45;0.212641;-0.985502;5.65537;1.055;5.69587;0.000709127;6.64016;0.0664016;0.0664016
46;0.211917;-0.985671;5.66116;1.05523;5.70207;0.000709822;6.64613;0.0664613;0.0664613
47;0.211332;-0.985842;5.66638;1.05547;5.70769;0.000710452;6.65152;0.0665152;0.0665152
48;0.210859;-0.986014;5.67109;1.05569;5.71279;0.000711024;6.65639;0.0665639;0.0665639
49;0.210477;-0.986189;5.67532;1.05592;5.71743;0.000711543;6.6608;0.066608;0.066608
50;0.210169;-0.986365;5.67913;1.05614;5.72163;0.000712014;6.66478;0.0666478;0.0666478
51;0.209921;-0.986543;5.68255;1.05636;5.72546;0.000712441;6.66838;0.0666838;0.0666838
52;0.209723;-0.986721;5.68563;1.05658;5.72893;0.00071283;6.67164;0.0667164;0.0667164
53;0.209563;-0.986902;5.6884;1.05679;5.73209;0.000713183;6.67459;0.0667459;0.0667459
54;0.209436;-0.987083;5.69088;1.05701;5.73497;0.000713504;6.67725;0.0667725;0.0667725
55;0.209335;-0.987265;5.69311;1.05722;5.73759;0.000713796;6.67966;0.0667966;0.0667966
56;0.209254;-0.987448;5.6951;1.05743;5.73997;0.000714062;6.68183;0.0668183;0.0668183
57;0.209191;-0.987632;5.69689;1.05763;5.74215;0.000714304;6.6838;0.066838;0.066838
58;0.209141;-0.987817;5.69848;1.05784;5.74414;0.000714525;6.68558;0.0668558;0.0668558
59;0.209101;-0.988002;5.69991;1.05804;5.74595;0.000714726;6.68719;0.0668719;0.0668719
60;0.209071;-0.988188;5.70118;1.05825;5.74761;0.00071491;6.68865;0.0668865;0.0668865
61;0.209048;-0.988374;5.70231;1.05845;5.74913;0.000715079;6.68997;0.0668997;0.0668997
62;0.20903;-0.988561;5.70331;1.05865;5.75052;0.000715232;6.69116;0.0669116;0.0669116
63;0.209016;-0.988748;5.7042;1.05885;5.7518;0.000715373;6.69223;0.0669223;0.0669223
64;0.209007;-0.988936;5.70498;1.05906;5.75298;0.000715503;6.6932;0.066932;0.066932
65;0.208999;-0.989124;5.70568;1.05925;5.75405;0.000715621;6.69408;0.0669408;0.0669408
66;0.208994;-0.989313;5.70628;1.05945;5.75505;0.00071573;6.69488;0.0669488;0.0669488
67;0.208991;-0.989501;5.70681;1.05965;5.75597;0.000715831;6.6956;0.066956;0.066956
68;0.208989;-0.98969;5.70727;1.05985;5.75682;0.000715923;6.69625;0.0669625;0.0669625
69;0.208988;-0.989879;5.70767;1.06005;5.7576;0.000716009;6.69684;0.0669684;0.0669684
70;0.208988;-0.990069;5.70802;1.06025;5.75833;0.000716088;6.69737;0.0669737;0.0669737
71;0.208988;-0.990259;5.70831;1.06044;5.75901;0.000716161;6.69785;0.0669785;0.0669785
72;0.208989;-0.990448;5.70855;1.06064;5.75964;0.000716229;6.69828;0.0669828;0.0669828
73;0.20899;-0.990638;5.70876;1.06084;5.76023;0.000716292;6.69868;0.0669868;0.0669868
74;0.208991;-0.990829;5.70892;1.06103;5.76078;0.000716351;6.69903;0.0669903;0.0669903
75;0.208992;-0.991019;5.70905;1.06123;5.7613;0.000716406;6.69935;0.0669935;0.0669935
76;0.208994;-0.991209;5.70915;1.06142;5.76178;0.000716458;6.69964;0.0669964;0.0669964
77;0.208995;-0.9914;5.70922;1.06162;5.76224;0.000716506;6.69991;0.0669991;0.0669991
78;0.208996;-0.99159;5.70927;1.06181;5.76267;0.000716552;6.70015;0.0670015;0.0670015
79;0.208998;-0.991781;5.7093;1.06201;5.76308;0.000716595;6.70036;0.0670036;0.0670036
80;0.208999;-0.991972;5.7093;1.0622;5.76347;0.000716636;6.70055;0.0670055;0.0670055
81;0.209;-0.992163;5.70928;1.0624;5.76384;0.000716674;6.70073;0.0670073;0.0670073
82;0.209001;-0.992354;5.70925;1.06259;5.7642;0.000716711;6.70089;0.0670089;0.0670089
83;0.209002;-0.992545;5.7092;1.06279;5.76453;0.000716746;6.70103;0.0670103;0.0670103
84;0.209003;-0.992736;5.70914;1.06298;5.76486;0.000716779;6.70116;0.0670116;0.0670116
85;0.209004;-0.992927;5.70907;1.06317;5.76517;0.000716811;6.70128;0.0670128;0.0670128
86;0.209005;-0.993118;5.70898;1.06337;5.76547;0.000716842;6.70139;0.0670139;0.0670139
