Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;49.7332;-0.99289;-0.288997;1.00711;-0.288997;7.08678e-05;0.703963;0.00703963;0.00703963
1;38.7648;-0.986614;0.338428;1.01339;0.338428;0.000134257;1.32518;0.0132518;0.0132518
2;30.1725;-0.98108;0.891628;1.01892;0.891628;0.00019081;1.8729;0.018729;0.018729
3;23.6468;-0.976185;1.38097;1.02382;1.38097;0.000241354;2.3574;0.023574;0.023574
4;18.72;-0.971833;1.81593;1.02817;1.81593;0.00028669;2.78805;0.0278805;0.0278805
5;14.9609;-0.967947;2.20427;1.03205;2.20427;0.000327495;3.17255;0.0317255;0.0317255
6;12.0479;-0.964465;2.55223;1.03553;2.55223;0.000364318;3.51706;0.0351706;0.0351706
7;9.75841;-0.961337;2.86479;1.03866;2.86479;0.000397608;3.82653;0.0382653;0.0382653
8;7.93902;-0.958522;3.14606;1.04148;3.14606;0.000427737;4.10501;0.0410501;0.0410501
9;6.48169;-0.955986;3.39949;1.04401;3.39949;0.000455024;4.35593;0.0435593;0.0435593
10;5.30786;-0.953698;3.62803;1.0463;3.62803;0.000479747;4.58221;0.0458221;0.0458221
11;4.35868;-0.951634;3.83426;1.04837;3.83426;0.000502151;4.7864;0.047864;0.047864
12;3.58909;-0.94977;4.02044;1.05023;4.02044;0.000522453;4.97073;0.0497073;0.0497073
13;2.96389;-0.948087;4.18858;1.05191;4.18858;0.000540852;5.13721;0.0513721;0.0513721
14;2.4553;-0.946567;4.34046;1.05343;4.34046;0.000557525;5.28758;0.0528758;0.0528758
15;2.04115;-0.945193;4.47768;1.05481;4.47768;0.000572632;5.42344;0.0542344;0.0542344
16;1.70368;-0.943952;4.60167;1.05605;4.60167;0.000586319;5.54621;0.0554621;0.0554621
17;1.42853;-0.94283;4.71373;1.05717;4.71373;0.000598719;5.65715;0.0565715;0.0565715
18;1.2041;-0.941816;4.815;1.05818;4.815;0.000609951;5.75743;0.0575743;0.0575743
19;1.02101;-0.940899;4.90654;1.0591;4.90654;0.000620126;5.84806;0.0584806;0.0584806
20;0.871592;-0.940071;4.98928;1.05993;4.98928;0.00062934;5.92998;0.0592998;0.0592998
21;0.749647;-0.939322;5.06408;1.06068;5.06408;0.000637686;6.00404;0.0600404;0.0600404
22;0.650111;-0.938645;5.1317;1.06136;5.1317;0.000645243;6.07099;0.0607099;0.0607099
23;0.568861;-0.938033;5.19282;1.06197;5.19282;0.000652087;6.13151;0.0613151;0.0613151
24;0.502538;-0.937479;5.24809;1.06252;5.24809;0.000658284;6.18622;0.0618622;0.0618622
25;0.448398;-0.936979;5.29805;1.06302;5.29805;0.000663896;6.23569;0.0623569;0.0623569
26;0.404205;-0.936527;5.34322;1.06347;5.34322;0.000668978;6.28041;0.0628041;0.0628041
27;0.368134;-0.936118;5.38405;1.06388;5.38405;0.000673579;6.32084;0.0632084;0.0632084
28;0.338695;-0.935748;5.42097;1.06425;5.42097;0.000677746;6.3574;0.063574;0.063574
29;0.31467;-0.935414;5.45436;1.06459;5.45436;0.00068152;6.39045;0.0639045;0.0639045
30;0.295067;-0.935112;5.48454;1.06489;5.48454;0.000684937;6.42034;0.0642034;0.0642034
31;0.279073;-0.934838;5.51183;1.06516;5.51183;0.000688032;6.44736;0.0644736;0.0644736
32;0.266027;-0.934591;5.5365;1.06541;5.5365;0.000690835;6.47178;0.0647178;0.0647178
