Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;49.732;-0.998009;-0.293912;1.00479;-0.291114;-0.000140791;0.703955;0.00213216;0.00493095
1;38.7784;-0.99626;0.329286;1.00907;0.334615;-0.000265056;1.32528;0.00400529;0.00933466
2;30.2101;-0.99473;0.878993;1.01289;0.886615;-0.00037467;1.87335;0.00564447;0.0132658
3;23.6969;-0.993392;1.36545;1.01631;1.37515;-0.000471674;2.35837;0.00707972;0.0167865
4;18.7687;-0.992218;1.79792;1.0194;1.80954;-0.000557916;2.78958;0.00833949;0.0199539
5;15.0008;-0.991187;2.18405;1.02218;2.19742;-0.000634921;3.17461;0.00944772;0.0228154
6;12.0773;-0.99028;2.52997;1.02471;2.54495;-0.000703909;3.51955;0.0104238;0.0254093
7;9.77828;-0.989482;2.84062;1.027;2.8571;-0.000765867;3.82934;0.0112835;0.0277668
8;7.95144;-0.988782;3.12008;1.02909;3.13796;-0.000821609;4.10805;0.0120398;0.0299138
9;6.48867;-0.988168;3.37181;1.031;3.39098;-0.000871821;4.3591;0.0127037;0.0318725
10;5.31106;-0.987632;3.59874;1.03274;3.61912;-0.000917091;4.58545;0.0132849;0.0336618
11;4.35939;-0.987166;3.80345;1.03434;3.82496;-0.000957932;4.78966;0.0137915;0.0352987
12;3.58821;-0.986764;3.98821;1.0358;4.01077;-0.000994795;4.97398;0.0142309;0.036798
13;2.96208;-0.986418;4.155;1.03714;4.17857;-0.00102808;5.14039;0.0146098;0.0381729
14;2.45299;-0.986124;4.30563;1.03838;4.33013;-0.00105814;5.29069;0.014934;0.0394354
15;2.03865;-0.985877;4.44167;1.03951;4.46706;-0.00108529;5.42646;0.0152087;0.0405963
16;1.70116;-0.985671;4.56457;1.04056;4.59079;-0.00110983;5.54913;0.0154388;0.0416651
17;1.42612;-0.985504;4.67559;1.04152;4.70262;-0.00113199;5.65996;0.0156284;0.0426507
18;1.20186;-0.985371;4.77591;1.04241;4.80369;-0.00115203;5.76013;0.0157815;0.043561
19;1.01897;-0.985269;4.86655;1.04323;4.89505;-0.00117013;5.85065;0.0159016;0.0444031
20;0.869765;-0.985195;4.94845;1.044;4.97764;-0.00118649;5.93246;0.0159918;0.0451834
21;0.748029;-0.985146;5.02246;1.04471;5.05232;-0.00120128;6.00641;0.016055;0.0459078
22;0.648691;-0.985121;5.08934;1.04537;5.11983;-0.00121465;6.07325;0.0160938;0.0465817
23;0.567626;-0.985116;5.14978;1.04598;5.18088;-0.00122673;6.13367;0.0161104;0.0472098
24;0.501468;-0.985131;5.20439;1.04656;5.23608;-0.00123766;6.18829;0.0161071;0.0477964
25;0.447476;-0.985162;5.25374;1.0471;5.286;-0.00124753;6.23766;0.0160858;0.0483456
26;0.403414;-0.985208;5.29834;1.0476;5.33115;-0.00125646;6.28229;0.0160481;0.0488609
27;0.367458;-0.985269;5.33864;1.04808;5.37199;-0.00126453;6.32264;0.0159956;0.0493454
28;0.338118;-0.985342;5.37505;1.04853;5.40892;-0.00127182;6.35912;0.0159298;0.0498021
29;0.314179;-0.985427;5.40795;1.04896;5.44233;-0.00127842;6.3921;0.0158519;0.0502338
30;0.294649;-0.985521;5.43768;1.04936;5.47256;-0.00128438;6.42191;0.0157631;0.0506426
31;0.278719;-0.985625;5.46453;1.04974;5.4999;-0.00128977;6.44887;0.0156644;0.0510309
32;0.265727;-0.985738;5.48879;1.05011;5.52464;-0.00129465;6.47324;0.0155568;0.0514006
33;0.255133;-0.985858;5.51071;1.05045;5.54702;-0.00129905;6.49527;0.0154412;0.0517534
34;0.246497;-0.985985;5.53051;1.05079;5.56728;-0.00130304;6.51519;0.0153183;0.052091
35;0.239459;-0.986118;5.54839;1.05111;5.58561;-0.00130664;6.5332;0.0151887;0.0524148
36;0.233724;-0.986257;5.56453;1.05142;5.60221;-0.0013099;6.54948;0.0150532;0.0527262
37;0.229054;-0.9864;5.57911;1.05171;5.61723;-0.00131284;6.5642;0.0149124;0.0530262
38;0.225251;-0.986549;5.59228;1.052;5.63083;-0.0013155;6.57751;0.0147666;0.0533161
39;0.222156;-0.986701;5.60416;1.05228;5.64314;-0.00131791;6.58955;0.0146165;0.0535967
40;0.219639;-0.986858;5.61489;1.05255;5.65429;-0.00132009;6.60043;0.0144624;0.053869
41;0.217592;-0.987017;5.62457;1.05281;5.6644;-0.00132205;6.61026;0.0143047;0.0541337
42;0.215929;-0.98718;5.6333;1.05307;5.67355;-0.00132383;6.61916;0.0141437;0.0543916
