Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;49.7278;-0.99282;-0.289036;1.00718;-0.289036;-0.000140785;0.703925;0.00213292;0.00493126
1;38.7663;-0.986483;0.338402;1.01352;0.338402;-0.00026503;1.32515;0.00400724;0.00933523
2;30.1949;-0.980895;0.891808;1.01911;0.891808;-0.000374615;1.87308;0.00564796;0.0132666
3;23.6833;-0.975949;1.38153;1.02405;1.38153;-0.000471591;2.35795;0.00708512;0.0167876
4;18.7587;-0.971552;1.81694;1.02845;1.81694;-0.00055781;2.78905;0.00834718;0.0199555
5;14.9944;-0.967625;2.20573;1.03237;2.20573;-0.000634798;3.17399;0.00945803;0.0228177
6;12.0736;-0.964107;2.55406;1.03589;2.55406;-0.000703775;3.51887;0.010437;0.0254124
7;9.7765;-0.960948;2.86692;1.03905;2.86692;-0.000765727;3.82863;0.0112997;0.0277709
8;7.95089;-0.958105;3.14841;1.04189;3.14841;-0.000821467;4.10733;0.0120591;0.0299191
9;6.48887;-0.955544;3.40198;1.04446;3.40198;-0.000871679;4.3584;0.0127263;0.0318789
10;5.31168;-0.953235;3.63061;1.04676;3.63061;-0.000916952;4.58476;0.0133106;0.0336695
11;4.36022;-0.951152;3.83688;1.04885;3.83688;-0.000957798;4.78899;0.0138204;0.0353075
12;3.58912;-0.949272;4.02306;1.05073;4.02306;-0.000994666;4.97333;0.014263;0.036808
13;2.96298;-0.947574;4.19117;1.05243;4.19117;-0.00102796;5.13978;0.0146449;0.038184
14;2.45385;-0.946041;4.34301;1.05396;4.34301;-0.00105802;5.29011;0.0149721;0.0394477
15;2.03944;-0.944656;4.48016;1.05534;4.48016;-0.00108518;5.42591;0.0152498;0.0406097
16;1.70187;-0.943404;4.60409;1.0566;4.60409;-0.00110972;5.5486;0.0154827;0.0416796
17;1.42673;-0.942273;4.71606;1.05773;4.71606;-0.00113189;5.65947;0.0156751;0.0426662
18;1.2024;-0.941251;4.81725;1.05875;4.81725;-0.00115193;5.75966;0.0158309;0.0435775
19;1.01943;-0.940328;4.90871;1.05967;4.90871;-0.00117004;5.85021;0.0159536;0.0444205
20;0.870158;-0.939493;4.99136;1.06051;4.99136;-0.00118641;5.93204;0.0160464;0.0452017
21;0.748362;-0.938739;5.06608;1.06126;5.06608;-0.0012012;6.00602;0.0161121;0.045927
22;0.648972;-0.938057;5.13361;1.06194;5.13361;-0.00121458;6.07288;0.0161533;0.0466017
23;0.56786;-0.93744;5.19466;1.06256;5.19466;-0.00122666;6.13332;0.0161723;0.0472306
24;0.501662;-0.936883;5.24984;1.06312;5.24984;-0.00123759;6.18796;0.0161713;0.047818
25;0.447637;-0.936379;5.29973;1.06362;5.29973;-0.00124747;6.23735;0.0161522;0.0483679
26;0.403546;-0.935924;5.34482;1.06408;5.34482;-0.0012564;6.282;0.0161168;0.0488839
27;0.367565;-0.935512;5.3856;1.06449;5.3856;-0.00126447;6.32237;0.0160665;0.0493691
28;0.338204;-0.93514;5.42245;1.06486;5.42245;-0.00127177;6.35887;0.0160028;0.0498265
29;0.314248;-0.934803;5.45578;1.0652;5.45578;-0.00127837;6.39186;0.015927;0.0502587
30;0.294704;-0.934499;5.4859;1.0655;5.4859;-0.00128434;6.42169;0.0158402;0.0506682
31;0.278761;-0.934224;5.51314;1.06578;5.51314;-0.00128973;6.44865;0.0157436;0.0510571
32;0.265759;-0.933975;5.53776;1.06602;5.53776;-0.00129461;6.47303;0.015638;0.0514273
33;0.255157;-0.93375;5.56003;1.06625;5.56003;-0.00129902;6.49508;0.0155243;0.0517807
34;0.246514;-0.933547;5.58015;1.06645;5.58015;-0.001303;6.515;0.0154033;0.0521189
35;0.23947;-0.933363;5.59835;1.06664;5.59835;-0.0013066;6.53302;0.0152757;0.0524432
36;0.233731;-0.933197;5.61481;1.0668;5.61481;-0.00130986;6.54931;0.0151422;0.052755
37;0.229056;-0.933047;5.62968;1.06695;5.62968;-0.00131281;6.56404;0.0150032;0.0530556
38;0.22525;-0.932911;5.64313;1.06709;5.64313;-0.00131547;6.57736;0.0148593;0.0533459
39;0.222153;-0.932788;5.65529;1.06721;5.65529;-0.00131788;6.5894;0.0147111;0.053627
40;0.219633;-0.932677;5.66629;1.06732;5.66629;-0.00132006;6.60028;0.0145588;0.0538997
41;0.217585;-0.932577;5.67623;1.06742;5.67623;-0.00132203;6.61013;0.0144029;0.0541649
42;0.21592;-0.932486;5.68522;1.06751;5.68522;-0.00132381;6.61903;0.0142438;0.0544232
43;0.214569;-0.932404;5.69334;1.0676;5.69334;-0.00132541;6.62707;0.0140818;0.0546754
44;0.213472;-0.93233;5.70069;1.06767;5.70069;-0.00132687;6.63435;0.0139171;0.0549219
45;0.212583;-0.932263;5.70733;1.06774;5.70733;-0.00132818;6.64092;0.0137499;0.0551634
46;0.211863;-0.932202;5.71334;1.0678;5.71334;-0.00132937;6.64687;0.0135806;0.0554003
47;0.21128;-0.932147;5.71877;1.06785;5.71877;-0.00133045;6.65225;0.0134094;0.055633
48;0.21081;-0.932097;5.72368;1.0679;5.72368;-0.00133142;6.65711;0.0132363;0.0558621
49;0.21043;-0.932053;5.72812;1.06795;5.72812;-0.0013323;6.6615;0.0130617;0.0560877
50;0.210124;-0.932012;5.73213;1.06799;5.73213;-0.0013331;6.66548;0.0128856;0.0563102
51;0.209878;-0.931975;5.73576;1.06802;5.73576;-0.00133381;6.66907;0.0127082;0.05653
52;0.20968;-0.931942;5.73904;1.06806;5.73904;-0.00133446;6.67232;0.0125296;0.0567473
53;0.209522;-0.931912;5.74201;1.06809;5.74201;-0.00133505;6.67526;0.01235;0.0569623
54;0.209396;-0.931885;5.74469;1.06811;5.74469;-0.00133558;6.67791;0.0121693;0.0571753
55;0.209296;-0.931861;5.74712;1.06814;5.74712;-0.00133606;6.68032;0.0119878;0.0573864
56;0.209216;-0.931839;5.74931;1.06816;5.74931;-0.0013365;6.68249;0.0118056;0.0575958
57;0.209153;-0.931819;5.75129;1.06818;5.75129;-0.00133689;6.68445;0.0116226;0.0578038
58;0.209104;-0.931801;5.75309;1.0682;5.75309;-0.00133725;6.68623;0.0114389;0.0580103
59;0.209065;-0.931784;5.75471;1.06822;5.75471;-0.00133757;6.68783;0.0112547;0.0582156
60;0.209035;-0.931769;5.75617;1.06823;5.75617;-0.00133786;6.68928;0.0110699;0.0584198
61;0.209012;-0.931756;5.7575;1.06824;5.7575;-0.00133812;6.69059;0.0108847;0.058623
62;0.208995;-0.931744;5.7587;1.06826;5.7587;-0.00133836;6.69178;0.010699;0.0588252
63;0.208982;-0.931733;5.75978;1.06827;5.75978;-0.00133857;6.69285;0.010513;0.0590266
64;0.208972;-0.931723;5.76076;1.06828;5.76076;-0.00133876;6.69382;0.0103266;0.0592273
65;0.208965;-0.931714;5.76165;1.06829;5.76165;-0.00133894;6.6947;0.0101399;0.0594273
66;0.20896;-0.931706;5.76245;1.06829;5.76245;-0.0013391;6.69549;0.00995287;0.0596266
67;0.208957;-0.931699;5.76317;1.0683;5.76317;-0.00133924;6.69621;0.00976561;0.0598255
68;0.208956;-0.931692;5.76383;1.06831;5.76383;-0.00133937;6.69686;0.00957811;0.0600238
69;0.208955;-0.931686;5.76442;1.06831;5.76442;-0.00133949;6.69744;0.0093904;0.0602216
70;0.208955;-0.931681;5.76495;1.06832;5.76495;-0.00133959;6.69797;0.0092025;0.0604191
71;0.208955;-0.931676;5.76544;1.06832;5.76544;-0.00133969;6.69845;0.00901443;0.0606162
72;0.208956;-0.931671;5.76587;1.06833;5.76587;-0.00133978;6.69888;0.0088262;0.0608129
73;0.208958;-0.931667;5.76627;1.06833;5.76627;-0.00133986;6.69928;0.00863783;0.0610094
74;0.208959;-0.931664;5.76663;1.06834;5.76663;-0.00133993;6.69963;0.00844933;0.0612055
75;0.20896;-0.931661;5.76695;1.06834;5.76695;-0.00133999;6.69995;0.00826072;0.0614014
76;0.208962;-0.931658;5.76724;1.06834;5.76724;-0.00134005;6.70024;0.008072;0.0615971
77;0.208964;-0.931655;5.76751;1.06835;5.76751;-0.0013401;6.7005;0.00788319;0.0617926
78;0.208965;-0.931652;5.76775;1.06835;5.76775;-0.00134015;6.70074;0.00769429;0.0619879
79;0.208967;-0.93165;5.76796;1.06835;5.76796;-0.00134019;6.70095;0.00750532;0.062183
80;0.208968;-0.931648;5.76816;1.06835;5.76816;-0.00134023;6.70115;0.00731628;0.062378
81;0.208969;-0.931647;5.76833;1.06835;5.76833;-0.00134026;6.70132;0.00712717;0.0625729
82;0.208971;-0.931645;5.76849;1.06836;5.76849;-0.0013403;6.70148;0.00693801;0.0627676
83;0.208972;-0.931643;5.76864;1.06836;5.76864;-0.00134032;6.70162;0.00674879;0.0629622
84;0.208973;-0.931642;5.76877;1.06836;5.76877;-0.00134035;6.70175;0.00655953;0.0631567
85;0.208974;-0.931641;5.76889;1.06836;5.76889;-0.00134037;6.70187;0.00637023;0.0633512
86;0.208975;-0.93164;5.76899;1.06836;5.76899;-0.00134039;6.70197;0.00618089;0.0635455
87;0.208976;-0.931639;5.76909;1.06836;5.76909;-0.00134041;6.70207;0.00599152;0.0637398
88;0.208977;-0.931638;5.76918;1.06836;5.76918;-0.00134043;6.70216;0.00580211;0.063934
89;0.208978;-0.931637;5.76926;1.06836;5.76926;-0.00134045;6.70223;0.00561268;0.0641281
90;0.208979;-0.931636;5.76933;1.06836;5.76933;-0.00134046;6.7023;0.00542322;0.0643222
91;0.208979;-0.931636;5.76939;1.06836;5.76939;-0.00134047;6.70237;0.00523374;0.0645162
92;0.20898;-0.931635;5.76945;1.06836;5.76945;-0.00134049;6.70243;0.00504424;0.0647102
93;0.20898;-0.931635;5.7695;1.06837;5.7695;-0.0013405;6.70248;0.00485472;0.0649041
94;0.208981;-0.931634;5.76955;1.06837;5.76955;-0.00134051;6.70253;0.00466518;0.0650981
95;0.208981;-0.931634;5.76959;1.06837;5.76959;-0.00134051;6.70257;0.00447563;0.0652919
96;0.208982;-0.931633;5.76963;1.06837;5.76963;-0.00134052;6.70261;0.00428606;0.0654858
97;0.208982;-0.931633;5.76967;1.06837;5.76967;-0.00134053;6.70264;0.00409649;0.0656796
98;0.208983;-0.931633;5.7697;1.06837;5.7697;-0.00134053;6.70267;0.0039069;0.0658734
99;0.208983;-0.931632;5.76973;1.06837;5.76973;-0.00134054;6.7027;0.0037173;0.0660672
100;0.208983;-0.931632;5.76975;1.06837;5.76975;-0.00134055;6.70273;0.00352769;0.0662609
101;0.208983;-0.931632;5.76978;1.06837;5.76978;-0.00134055;6.70275;0.00333807;0.0664546
102;0.208984;-0.931632;5.7698;1.06837;5.7698;-0.00134055;6.70277;0.00314845;0.0666484
103;0.208984;-0.931632;5.76982;1.06837;5.76982;-0.00134056;6.70279;0.00295881;0.0668421
104;0.208984;-0.931631;5.76984;1.06837;5.76984;-0.00134056;6.70281;0.00276918;0.0670358
105;0.208984;-0.931631;5.76985;1.06837;5.76985;-0.00134056;6.70282;0.00257953;0.0672294
106;0.208984;-0.931631;5.76987;1.06837;5.76987;-0.00134057;6.70284;0.00238989;0.0674231
107;0.208985;-0.931631;5.76988;1.06837;5.76988;-0.00134057;6.70285;0.00220023;0.0676168
108;0.208985;-0.931631;5.76989;1.06837;5.76989;-0.00134057;6.70286;0.00201058;0.0678104
109;0.208985;-0.931631;5.7699;1.06837;5.7699;-0.00134057;6.70287;0.00182092;0.068004
110;0.208985;-0.931631;5.76991;1.06837;5.76991;-0.00134058;6.70288;0.00163125;0.0681977
111;0.208985;-0.931631;5.76992;1.06837;5.76992;-0.00134058;6.70289;0.00144159;0.0683913
112;0.208985;-0.93163;5.76993;1.06837;5.76993;-0.00134058;6.7029;0.00125192;0.0685849
113;0.208985;-0.93163;5.76993;1.06837;5.76993;-0.00134058;6.7029;0.00106225;0.0687785
114;0.208985;-0.93163;5.76994;1.06837;5.76994;-0.00134058;6.70291;0.000872572;0.0689721
115;0.208985;-0.93163;5.76995;1.06837;5.76995;-0.00134058;6.70292;0.000682896;0.0691657
116;0.208985;-0.93163;5.76995;1.06837;5.76995;-0.00134058;6.70292;0.000493218;0.0693593
117;0.208985;-0.93163;5.76996;1.06837;5.76996;-0.00134059;6.70293;0.000303539;0.0695529
118;0.208985;-0.93163;5.76996;1.06837;5.76996;-0.00134059;6.70293;0.000113858;0.0697465
119;0.208986;-0.93163;5.76996;1.06837;5.76996;-0.00134059;6.70293;-7.58244e-05;0.0699401
120;0.208986;-0.93163;5.76997;1.06837;5.76997;-0.00134059;6.70294;-0.000265508;0.0701337
121;0.208986;-0.93163;5.76997;1.06837;5.76997;-0.00134059;6.70294;-0.000455192;0.0703273
122;0.208986;-0.93163;5.76997;1.06837;5.76997;-0.00134059;6.70294;-0.000644878;0.0705209
123;0.208986;-0.93163;5.76998;1.06837;5.76998;-0.00134059;6.70295;-0.000834564;0.0707144
124;0.208986;-0.93163;5.76998;1.06837;5.76998;-0.00134059;6.70295;-0.00102425;0.070908
125;0.208986;-0.93163;5.76998;1.06837;5.76998;-0.00134059;6.70295;-0.00121394;0.0711016
126;0.208986;-0.93163;5.76998;1.06837;5.76998;-0.00134059;6.70295;-0.00140363;0.0712952
127;0.208986;-0.93163;5.76998;1.06837;5.76998;-0.00134059;6.70295;-0.00159332;0.0714888
128;0.208986;-0.93163;5.76998;1.06837;5.76998;-0.00134059;6.70295;-0.00178301;0.0716823
129;0.208986;-0.93163;5.76999;1.06837;5.76999;-0.00134059;6.70296;-0.0019727;0.0718759
130;0.208986;-0.93163;5.76999;1.06837;5.76999;-0.00134059;6.70296;-0.00216239;0.0720695
