Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;49.7374;-0.997995;-0.293861;1.0048;-0.291066;0.000140799;0.703993;0.00703993;0.00703993
1;38.777;-0.996206;0.329366;1.0091;0.334671;0.000265061;1.32531;0.0132531;0.0132531
2;30.1878;-0.994618;0.878929;1.01295;0.886492;0.000374634;1.87317;0.0187317;0.0187317
3;23.6603;-0.993211;1.36508;1.0164;1.37468;0.000471563;2.35781;0.0235781;0.0235781
4;18.7297;-0.991963;1.79717;1.01951;1.80864;0.000557715;2.78858;0.0278858;0.0278858
5;14.967;-0.990854;2.18294;1.02232;2.19612;0.000634632;3.17316;0.0317316;0.0317316
6;12.0513;-0.989868;2.52856;1.02488;2.5433;0.000703544;3.51772;0.0351772;0.0351772
7;9.75986;-0.988992;2.83899;1.0272;2.85518;0.000765443;3.82721;0.0382721;0.0382721
8;7.93928;-0.988214;3.11831;1.02932;3.13585;0.000821141;4.1057;0.041057;0.041057
9;6.48126;-0.987527;3.36996;1.03126;3.38874;0.000871322;4.35661;0.0435661;0.0435661
10;5.30705;-0.98692;3.59687;1.03303;3.61682;0.000916575;4.58287;0.0458287;0.0458287
11;4.35771;-0.986386;3.80161;1.03465;3.82264;0.000957407;4.78704;0.0478704;0.0478704
12;3.58807;-0.98592;3.98642;1.03614;4.00848;0.000994269;4.97134;0.0497134;0.0497134
13;2.9629;-0.985514;4.1533;1.0375;4.17631;0.00102756;5.13779;0.0513779;0.0513779
14;2.45438;-0.985164;4.30402;1.03875;4.32794;0.00105763;5.28813;0.0528813;0.0528813
15;2.04033;-0.984864;4.44018;1.03991;4.46495;0.00108479;5.42396;0.0542396;0.0542396
16;1.70294;-0.98461;4.56319;1.04097;4.58877;0.00110934;5.54669;0.0554669;0.0554669
17;1.42789;-0.984397;4.67434;1.04195;4.70069;0.00113152;5.65761;0.0565761;0.0565761
18;1.20355;-0.984223;4.77478;1.04285;4.80186;0.00115157;5.75785;0.0575785;0.0575785
19;1.02054;-0.984082;4.86555;1.04369;4.89332;0.00116969;5.84846;0.0584846;0.0584846
20;0.871192;-0.983973;4.94757;1.04447;4.97601;0.00118607;5.93036;0.0593036;0.0593036
21;0.749309;-0.983892;5.0217;1.04519;5.05078;0.00120088;6.00439;0.0600439;0.0600439
22;0.649827;-0.983836;5.08869;1.04586;5.11839;0.00121426;6.07131;0.0607131;0.0607131
23;0.568625;-0.983804;5.14924;1.04648;5.17952;0.00122636;6.13181;0.0613181;0.0613181
24;0.502341;-0.983793;5.20395;1.04707;5.23481;0.0012373;6.18651;0.0618651;0.0618651
25;0.448235;-0.983802;5.2534;1.04761;5.28482;0.00124719;6.23596;0.0623596;0.0623596
26;0.404071;-0.983827;5.29809;1.04813;5.33004;0.00125613;6.28066;0.0628066;0.0628066
27;0.368024;-0.983869;5.33847;1.04861;5.37095;0.00126422;6.32108;0.0632108;0.0632108
28;0.338605;-0.983924;5.37497;1.04906;5.40796;0.00127152;6.35762;0.0635762;0.0635762
29;0.314597;-0.983993;5.40794;1.04949;5.44143;0.00127813;6.39066;0.0639066;0.0639066
30;0.295008;-0.984073;5.43774;1.0499;5.47172;0.00128411;6.42053;0.0642053;0.0642053
31;0.279026;-0.984163;5.46466;1.05029;5.49912;0.00128951;6.44754;0.0644754;0.0644754
32;0.26599;-0.984264;5.48899;1.05066;5.52391;0.00129439;6.47196;0.0647196;0.0647196
33;0.255359;-0.984373;5.51096;1.05101;5.54634;0.00129881;6.49404;0.0649404;0.0649404
34;0.246691;-0.984489;5.53081;1.05134;5.56665;0.0013028;6.514;0.06514;0.06514
35;0.239626;-0.984613;5.54874;1.05167;5.58502;0.00130641;6.53205;0.0653205;0.0653205
36;0.233868;-0.984744;5.56493;1.05198;5.60165;0.00130967;6.54837;0.0654837;0.0654837
37;0.229178;-0.98488;5.57956;1.05228;5.61671;0.00131262;6.56312;0.0656312;0.0656312
38;0.225359;-0.985021;5.59276;1.05257;5.63035;0.00131529;6.57647;0.0657647;0.0657647
39;0.22225;-0.985168;5.60468;1.05285;5.64269;0.00131771;6.58853;0.0658853;0.0658853
40;0.219721;-0.985318;5.61544;1.05312;5.65387;0.00131989;6.59944;0.0659944;0.0659944
41;0.217665;-0.985473;5.62515;1.05338;5.664;0.00132186;6.6093;0.066093;0.066093
42;0.215993;-0.985631;5.63391;1.05364;5.67318;0.00132364;6.61822;0.0661822;0.0661822
43;0.214636;-0.985792;5.64181;1.05389;5.6815;0.00132526;6.62628;0.0662628;0.0662628
44;0.213535;-0.985956;5.64894;1.05414;5.68904;0.00132671;6.63357;0.0663357;0.0663357
45;0.212642;-0.986123;5.65537;1.05438;5.69587;0.00132803;6.64016;0.0664016;0.0664016
46;0.211918;-0.986292;5.66116;1.05461;5.70207;0.00132923;6.64613;0.0664613;0.0664613
47;0.211333;-0.986463;5.66638;1.05485;5.70769;0.0013303;6.65152;0.0665152;0.0665152
48;0.210859;-0.986636;5.67108;1.05507;5.71279;0.00133128;6.65639;0.0665639;0.0665639
49;0.210477;-0.986811;5.67532;1.0553;5.71743;0.00133216;6.6608;0.066608;0.066608
50;0.21017;-0.986987;5.67913;1.05552;5.72163;0.00133296;6.66478;0.0666478;0.0666478
51;0.209922;-0.987165;5.68255;1.05574;5.72546;0.00133368;6.66838;0.0666838;0.0666838
52;0.209723;-0.987344;5.68563;1.05596;5.72893;0.00133433;6.67164;0.0667164;0.0667164
53;0.209564;-0.987525;5.6884;1.05617;5.73209;0.00133492;6.67459;0.0667459;0.0667459
54;0.209437;-0.987706;5.69088;1.05638;5.73497;0.00133545;6.67725;0.0667725;0.0667725
55;0.209335;-0.987889;5.6931;1.05659;5.73759;0.00133593;6.67966;0.0667966;0.0667966
56;0.209255;-0.988072;5.6951;1.0568;5.73997;0.00133637;6.68183;0.0668183;0.0668183
57;0.209191;-0.988256;5.69688;1.05701;5.74215;0.00133676;6.6838;0.066838;0.066838
58;0.209141;-0.988441;5.69848;1.05722;5.74414;0.00133712;6.68558;0.0668558;0.0668558
59;0.209102;-0.988626;5.69991;1.05742;5.74595;0.00133744;6.68719;0.0668719;0.0668719
