Epoch;ErrorScore;w1;b1;b2
0;49.9222;-0.274066;0.00702026;0.702026
1;38.1741;0.347965;0.013179;1.3179
2;29.8567;0.899572;0.0186404;1.86404
3;24.2355;1.3966;0.0235615;2.35615
4;19.7947;1.84579;0.0280089;2.80089
5;16.1706;2.25178;0.0320286;3.20286
6;13.2106;2.61873;0.0356618;3.56618
7;10.7943;2.95042;0.0389459;3.89459
8;8.82155;3.25028;0.0419148;4.19148
9;7.21054;3.52137;0.0445989;4.45989
10;5.89451;3.76648;0.0470257;4.70257
11;4.81917;3.98811;0.04922;4.922
12;3.94031;4.18851;0.0512041;5.12041
13;3.22192;4.36972;0.0529983;5.29983
14;2.63463;4.53358;0.0546207;5.46207
15;2.15448;4.68176;0.0560879;5.60879
16;1.76188;4.81576;0.0574146;5.74146
17;1.44087;4.93694;0.0586143;5.86143
18;1.17837;5.04652;0.0596993;5.96993
19;0.963711;5.14562;0.0606805;6.06805
20;0.788173;5.23523;0.0615678;6.15678
21;0.644622;5.31628;0.0623702;6.23702
22;0.527227;5.38957;0.0630959;6.30959
23;0.431221;5.45585;0.0637521;6.37521
24;0.352706;5.51579;0.0643456;6.43456
25;0.288494;5.57;0.0648823;6.48823
26;0.23598;5.61902;0.0653676;6.53676
27;0.193032;5.66335;0.0658065;6.58065
28;0.157907;5.70344;0.0662035;6.62035
29;0.129181;5.7397;0.0665625;6.65625
30;0.105687;5.77249;0.0668871;6.68871
31;0.0864721;5.80214;0.0671807;6.71807
32;0.0707573;5.82896;0.0674462;6.74462
33;0.0579048;5.85321;0.0676864;6.76864
34;0.0473933;5.87514;0.0679035;6.79035
35;0.0387963;5.89498;0.0680999;6.80999
36;0.0317651;5.91292;0.0682775;6.82775
37;0.0260145;5.92914;0.0684381;6.84381
38;0.0213112;5.94381;0.0685834;6.85834
39;0.0174645;5.95708;0.0687147;6.87147
40;0.0143184;5.96907;0.0688335;6.88335
41;0.0117453;5.97993;0.068941;6.8941
42;0.00964074;5.98974;0.0690381;6.90381
43;0.00791949;5.99861;0.069126;6.9126
44;0.0065117;6.00664;0.0692055;6.92055
45;0.00536028;6.0139;0.0692773;6.92773
46;0.00441854;6.02046;0.0693423;6.93423
47;0.00364829;6.0264;0.0694011;6.94011
48;0.00301831;6.03177;0.0694542;6.94542
49;0.00250304;6.03662;0.0695023;6.95023
50;0.0020816;6.04101;0.0695458;6.95458
51;0.0017369;6.04498;0.0695851;6.95851
52;0.00145496;6.04857;0.0696207;6.96207
53;0.00122436;6.05182;0.0696528;6.96528
54;0.00103574;6.05476;0.0696819;6.96819
55;0.000881462;6.05741;0.0697082;6.97082
56;0.000755271;6.05982;0.069732;6.9732
57;0.000652053;6.06199;0.0697535;6.97535
58;0.000567624;6.06395;0.0697729;6.97729
59;0.000498564;6.06573;0.0697905;6.97905
60;0.000442074;6.06734;0.0698064;6.98064
