Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;49.7332;-0.99282;-0.288997;1.00718;-0.288997;0.000140793;0.703963;0.00703963;0.00703963
1;38.7648;-0.986483;0.338428;1.01352;0.338428;0.000265035;1.32518;0.0132518;0.0132518
2;30.1725;-0.980896;0.891627;1.0191;0.891627;0.00037458;1.8729;0.018729;0.018729
3;23.6468;-0.975955;1.38097;1.02405;1.38097;0.00047148;2.3574;0.023574;0.023574
4;18.72;-0.971562;1.81592;1.02844;1.81592;0.000557609;2.78804;0.0278804;0.0278804
5;14.9609;-0.96764;2.20427;1.03236;2.20427;0.000634509;3.17255;0.0317255;0.0317255
6;12.0479;-0.964126;2.55223;1.03587;2.55223;0.000703412;3.51706;0.0351706;0.0351706
7;9.7584;-0.960969;2.86479;1.03903;2.86479;0.000765305;3.82653;0.0382653;0.0382653
8;7.93901;-0.958129;3.14606;1.04187;3.14606;0.000821002;4.10501;0.0410501;0.0410501
9;6.48169;-0.95557;3.39949;1.04443;3.39949;0.000871186;4.35593;0.0435593;0.0435593
10;5.30785;-0.953261;3.62803;1.04674;3.62803;0.000916442;4.58221;0.0458221;0.0458221
11;4.35868;-0.951179;3.83426;1.04882;3.83426;0.000957279;4.7864;0.047864;0.047864
12;3.58908;-0.949299;4.02044;1.0507;4.02044;0.000994147;4.97073;0.0497073;0.0497073
13;2.96389;-0.947601;4.18858;1.0524;4.18858;0.00102744;5.1372;0.051372;0.051372
14;2.45529;-0.946067;4.34046;1.05393;4.34046;0.00105752;5.28758;0.0528758;0.0528758
15;2.04115;-0.944681;4.47768;1.05532;4.47768;0.00108469;5.42344;0.0542344;0.0542344
16;1.70367;-0.943429;4.60167;1.05657;4.60167;0.00110924;5.54621;0.0554621;0.0554621
17;1.42853;-0.942297;4.71372;1.0577;4.71372;0.00113143;5.65715;0.0565715;0.0565715
18;1.2041;-0.941274;4.815;1.05873;4.815;0.00115149;5.75743;0.0575743;0.0575743
19;1.02101;-0.94035;4.90654;1.05965;4.90654;0.00116961;5.84806;0.0584806;0.0584806
20;0.871592;-0.939514;4.98928;1.06049;4.98928;0.001186;5.92998;0.0592998;0.0592998
21;0.749646;-0.938759;5.06408;1.06124;5.06408;0.00120081;6.00404;0.0600404;0.0600404
22;0.65011;-0.938076;5.1317;1.06192;5.1317;0.0012142;6.07099;0.0607099;0.0607099
23;0.568861;-0.937459;5.19282;1.06254;5.19282;0.0012263;6.13151;0.0613151;0.0613151
24;0.502537;-0.936901;5.24808;1.0631;5.24808;0.00123724;6.18622;0.0618622;0.0618622
25;0.448397;-0.936396;5.29805;1.0636;5.29805;0.00124714;6.23569;0.0623569;0.0623569
26;0.404205;-0.93594;5.34321;1.06406;5.34321;0.00125608;6.28041;0.0628041;0.0628041
27;0.368134;-0.935527;5.38405;1.06447;5.38405;0.00126417;6.32084;0.0632084;0.0632084
28;0.338694;-0.935155;5.42097;1.06485;5.42097;0.00127148;6.3574;0.063574;0.063574
29;0.314669;-0.934817;5.45436;1.06518;5.45436;0.00127809;6.39045;0.0639045;0.0639045
30;0.295066;-0.934513;5.48454;1.06549;5.48454;0.00128407;6.42034;0.0642034;0.0642034
31;0.279072;-0.934237;5.51183;1.06576;5.51183;0.00128947;6.44735;0.0644735;0.0644735
32;0.266027;-0.933988;5.5365;1.06601;5.5365;0.00129436;6.47178;0.0647178;0.0647178
33;0.255387;-0.933762;5.55881;1.06624;5.55881;0.00129877;6.49387;0.0649387;0.0649387
34;0.246713;-0.933559;5.57898;1.06644;5.57898;0.00130277;6.51384;0.0651384;0.0651384
35;0.239642;-0.933375;5.59722;1.06663;5.59722;0.00130638;6.5319;0.065319;0.065319
36;0.233879;-0.933208;5.61371;1.06679;5.61371;0.00130965;6.54823;0.0654823;0.0654823
37;0.229186;-0.933057;5.62862;1.06694;5.62862;0.0013126;6.56299;0.0656299;0.0656299
38;0.225363;-0.932921;5.64211;1.06708;5.64211;0.00131527;6.57634;0.0657634;0.0657634
39;0.222252;-0.932798;5.6543;1.0672;5.6543;0.00131768;6.58841;0.0658841;0.0658841
40;0.219721;-0.932687;5.66532;1.06731;5.66532;0.00131986;6.59932;0.0659932;0.0659932
41;0.217663;-0.932586;5.67528;1.06741;5.67528;0.00132184;6.60919;0.0660919;0.0660919
42;0.21599;-0.932495;5.6843;1.0675;5.6843;0.00132362;6.61811;0.0661811;0.0661811
43;0.214631;-0.932413;5.69244;1.06759;5.69244;0.00132524;6.62618;0.0662618;0.0662618
44;0.213529;-0.932339;5.69981;1.06766;5.69981;0.0013267;6.63348;0.0663348;0.0663348
45;0.212635;-0.932271;5.70647;1.06773;5.70647;0.00132801;6.64007;0.0664007;0.0664007
46;0.211911;-0.93221;5.7125;1.06779;5.7125;0.00132921;6.64604;0.0664604;0.0664604
47;0.211325;-0.932155;5.71794;1.06784;5.71794;0.00133029;6.65143;0.0665143;0.0665143
48;0.210852;-0.932106;5.72287;1.06789;5.72287;0.00133126;6.65631;0.0665631;0.0665631
49;0.21047;-0.932061;5.72732;1.06794;5.72732;0.00133214;6.66072;0.0666072;0.0666072
50;0.210162;-0.93202;5.73135;1.06798;5.73135;0.00133294;6.6647;0.066647;0.066647
51;0.209914;-0.931983;5.73499;1.06802;5.73499;0.00133366;6.66831;0.0666831;0.0666831
52;0.209715;-0.93195;5.73828;1.06805;5.73828;0.00133431;6.67157;0.0667157;0.0667157
53;0.209556;-0.93192;5.74126;1.06808;5.74126;0.0013349;6.67451;0.0667451;0.0667451
54;0.209429;-0.931893;5.74395;1.06811;5.74395;0.00133544;6.67718;0.0667718;0.0667718
55;0.209328;-0.931868;5.74638;1.06813;5.74638;0.00133592;6.67959;0.0667959;0.0667959
56;0.209247;-0.931846;5.74859;1.06815;5.74859;0.00133635;6.68177;0.0668177;0.0668177
57;0.209184;-0.931826;5.75057;1.06817;5.75057;0.00133675;6.68374;0.0668374;0.0668374
58;0.209134;-0.931808;5.75237;1.06819;5.75237;0.0013371;6.68552;0.0668552;0.0668552
59;0.209095;-0.931791;5.754;1.06821;5.754;0.00133743;6.68713;0.0668713;0.0668713
60;0.209065;-0.931776;5.75547;1.06822;5.75547;0.00133772;6.68859;0.0668859;0.0668859
61;0.209041;-0.931763;5.7568;1.06824;5.7568;0.00133798;6.6899;0.066899;0.066899
62;0.209024;-0.931751;5.75801;1.06825;5.75801;0.00133822;6.69109;0.0669109;0.0669109
63;0.209011;-0.93174;5.75909;1.06826;5.75909;0.00133843;6.69217;0.0669217;0.0669217
64;0.209001;-0.93173;5.76008;1.06827;5.76008;0.00133863;6.69314;0.0669314;0.0669314
65;0.208994;-0.931721;5.76097;1.06828;5.76097;0.00133881;6.69403;0.0669403;0.0669403
66;0.208989;-0.931713;5.76177;1.06829;5.76177;0.00133896;6.69482;0.0669482;0.0669482
67;0.208986;-0.931705;5.7625;1.06829;5.7625;0.00133911;6.69554;0.0669554;0.0669554
68;0.208984;-0.931699;5.76315;1.0683;5.76315;0.00133924;6.69619;0.0669619;0.0669619
69;0.208984;-0.931693;5.76375;1.06831;5.76375;0.00133936;6.69678;0.0669678;0.0669678
70;0.208983;-0.931687;5.76429;1.06831;5.76429;0.00133946;6.69731;0.0669731;0.0669731
71;0.208984;-0.931683;5.76477;1.06832;5.76477;0.00133956;6.69779;0.0669779;0.0669779
72;0.208985;-0.931678;5.76521;1.06832;5.76521;0.00133965;6.69823;0.0669823;0.0669823
73;0.208986;-0.931674;5.76561;1.06833;5.76561;0.00133972;6.69862;0.0669862;0.0669862
74;0.208987;-0.93167;5.76597;1.06833;5.76597;0.0013398;6.69898;0.0669898;0.0669898
75;0.208989;-0.931667;5.76629;1.06833;5.76629;0.00133986;6.6993;0.066993;0.066993
76;0.20899;-0.931664;5.76659;1.06834;5.76659;0.00133992;6.69959;0.0669959;0.0669959
77;0.208992;-0.931661;5.76685;1.06834;5.76685;0.00133997;6.69985;0.0669985;0.0669985
78;0.208994;-0.931659;5.76709;1.06834;5.76709;0.00134002;6.70009;0.0670009;0.0670009
79;0.208995;-0.931657;5.76731;1.06834;5.76731;0.00134006;6.70031;0.0670031;0.0670031
80;0.208996;-0.931655;5.76751;1.06835;5.76751;0.0013401;6.7005;0.067005;0.067005
81;0.208998;-0.931653;5.76768;1.06835;5.76768;0.00134014;6.70068;0.0670068;0.0670068
82;0.208999;-0.931651;5.76784;1.06835;5.76784;0.00134017;6.70084;0.0670084;0.0670084
83;0.209;-0.93165;5.76799;1.06835;5.76799;0.0013402;6.70098;0.0670098;0.0670098
84;0.209002;-0.931649;5.76812;1.06835;5.76812;0.00134022;6.70111;0.0670111;0.0670111
85;0.209003;-0.931647;5.76824;1.06835;5.76824;0.00134025;6.70123;0.0670123;0.0670123
86;0.209004;-0.931646;5.76835;1.06835;5.76835;0.00134027;6.70133;0.0670133;0.0670133
87;0.209005;-0.931645;5.76844;1.06835;5.76844;0.00134029;6.70143;0.0670143;0.0670143
88;0.209005;-0.931645;5.76853;1.06836;5.76853;0.0013403;6.70152;0.0670152;0.0670152
89;0.209006;-0.931644;5.76861;1.06836;5.76861;0.00134032;6.70159;0.0670159;0.0670159
90;0.209007;-0.931643;5.76868;1.06836;5.76868;0.00134033;6.70167;0.0670167;0.0670167
91;0.209008;-0.931642;5.76875;1.06836;5.76875;0.00134035;6.70173;0.0670173;0.0670173
92;0.209008;-0.931642;5.76881;1.06836;5.76881;0.00134036;6.70179;0.0670179;0.0670179
93;0.209009;-0.931641;5.76886;1.06836;5.76886;0.00134037;6.70184;0.0670184;0.0670184
94;0.209009;-0.931641;5.76891;1.06836;5.76891;0.00134038;6.70189;0.0670189;0.0670189
95;0.20901;-0.93164;5.76895;1.06836;5.76895;0.00134039;6.70193;0.0670193;0.0670193
96;0.20901;-0.93164;5.76899;1.06836;5.76899;0.00134039;6.70197;0.0670197;0.0670197
97;0.209011;-0.93164;5.76903;1.06836;5.76903;0.0013404;6.70201;0.0670201;0.0670201
98;0.209011;-0.931639;5.76906;1.06836;5.76906;0.00134041;6.70204;0.0670204;0.0670204
99;0.209011;-0.931639;5.76909;1.06836;5.76909;0.00134041;6.70207;0.0670207;0.0670207
100;0.209011;-0.931639;5.76911;1.06836;5.76911;0.00134042;6.70209;0.0670209;0.0670209
101;0.209012;-0.931638;5.76914;1.06836;5.76914;0.00134042;6.70211;0.0670211;0.0670211
102;0.209012;-0.931638;5.76916;1.06836;5.76916;0.00134043;6.70214;0.0670214;0.0670214
103;0.209012;-0.931638;5.76918;1.06836;5.76918;0.00134043;6.70216;0.0670216;0.0670216
104;0.209012;-0.931638;5.76919;1.06836;5.76919;0.00134043;6.70217;0.0670217;0.0670217
105;0.209013;-0.931638;5.76921;1.06836;5.76921;0.00134044;6.70219;0.0670219;0.0670219
106;0.209013;-0.931638;5.76922;1.06836;5.76922;0.00134044;6.7022;0.067022;0.067022
107;0.209013;-0.931637;5.76924;1.06836;5.76924;0.00134044;6.70222;0.0670222;0.0670222
108;0.209013;-0.931637;5.76925;1.06836;5.76925;0.00134045;6.70223;0.0670223;0.0670223
109;0.209013;-0.931637;5.76926;1.06836;5.76926;0.00134045;6.70224;0.0670224;0.0670224
110;0.209013;-0.931637;5.76927;1.06836;5.76927;0.00134045;6.70225;0.0670225;0.0670225
111;0.209013;-0.931637;5.76928;1.06836;5.76928;0.00134045;6.70226;0.0670226;0.0670226
112;0.209013;-0.931637;5.76929;1.06836;5.76929;0.00134045;6.70226;0.0670226;0.0670226
113;0.209014;-0.931637;5.76929;1.06836;5.76929;0.00134045;6.70227;0.0670227;0.0670227
114;0.209014;-0.931637;5.7693;1.06836;5.7693;0.00134046;6.70228;0.0670228;0.0670228
115;0.209014;-0.931637;5.76931;1.06836;5.76931;0.00134046;6.70228;0.0670228;0.0670228
116;0.209014;-0.931637;5.76931;1.06836;5.76931;0.00134046;6.70229;0.0670229;0.0670229
117;0.209014;-0.931637;5.76932;1.06836;5.76932;0.00134046;6.70229;0.0670229;0.0670229
118;0.209014;-0.931637;5.76932;1.06836;5.76932;0.00134046;6.7023;0.067023;0.067023
119;0.209014;-0.931637;5.76932;1.06836;5.76932;0.00134046;6.7023;0.067023;0.067023
120;0.209014;-0.931637;5.76933;1.06836;5.76933;0.00134046;6.7023;0.067023;0.067023
121;0.209014;-0.931636;5.76933;1.06836;5.76933;0.00134046;6.70231;0.0670231;0.0670231
122;0.209014;-0.931636;5.76933;1.06836;5.76933;0.00134046;6.70231;0.0670231;0.0670231
123;0.209014;-0.931636;5.76934;1.06836;5.76934;0.00134046;6.70231;0.0670231;0.0670231
124;0.209014;-0.931636;5.76934;1.06836;5.76934;0.00134046;6.70231;0.0670231;0.0670231
125;0.209014;-0.931636;5.76934;1.06836;5.76934;0.00134046;6.70232;0.0670232;0.0670232
126;0.209014;-0.931636;5.76934;1.06836;5.76934;0.00134046;6.70232;0.0670232;0.0670232
127;0.209014;-0.931636;5.76934;1.06836;5.76934;0.00134046;6.70232;0.0670232;0.0670232
128;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134046;6.70232;0.0670232;0.0670232
129;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134046;6.70232;0.0670232;0.0670232
130;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134046;6.70232;0.0670232;0.0670232
131;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134047;6.70233;0.0670233;0.0670233
132;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134047;6.70233;0.0670233;0.0670233
133;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134047;6.70233;0.0670233;0.0670233
134;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134047;6.70233;0.0670233;0.0670233
135;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134047;6.70233;0.0670233;0.0670233
136;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134047;6.70233;0.0670233;0.0670233
137;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134047;6.70233;0.0670233;0.0670233
138;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134047;6.70233;0.0670233;0.0670233
139;0.209014;-0.931636;5.76935;1.06836;5.76935;0.00134047;6.70233;0.0670233;0.0670233
140;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
141;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
142;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
143;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
144;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
145;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
146;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
147;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
148;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
149;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
150;0.209014;-0.931636;5.76936;1.06836;5.76936;0.00134047;6.70233;0.0670233;0.0670233
