Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;39.0166;0.6003;3.08355;0.6003;3.08355;0.391833;2.87509;0.208468;0.208468
1;43.8153;0.240201;4.52011;0.240201;4.52011;0.0188002;4.29871;0.221401;0.221401
2;24.8426;-1.35162;5.68615;-1.35162;5.68615;-1.43161;5.60616;0.0799933;0.0799933
3;10.3147;-1.60798;6.35308;-1.60798;6.35308;-1.66711;6.29396;0.0591226;0.0591226
4;27.3121;-0.108327;6.91239;-0.108327;6.91239;-0.298954;6.72176;0.190628;0.190628
5;19.246;-1.6921;6.81461;-1.6921;6.81461;-1.71325;6.79346;0.0211473;0.0211473
6;27.3998;0.61704;7.26412;0.61704;7.26412;0.379359;7.02644;0.237681;0.237681
7;22.9214;0.8103;7.19143;0.8103;7.19143;0.565394;6.94652;0.244905;0.244905
8;38.7146;0.265815;7.0667;0.265815;7.0667;0.0977657;6.89865;0.168049;0.168049
9;21.9554;-1.37721;6.85526;-1.37721;6.85526;-1.37156;6.86092;-0.00565736;-0.00565736
10;9.66301;-1.67152;7.03742;-1.67152;7.03742;-1.62668;7.08226;-0.0448471;-0.0448471
11;27.2509;-0.219281;7.25232;-0.219281;7.25232;-0.271747;7.19985;0.0524658;0.0524658
12;19.2748;-1.79509;7.08804;-1.79509;7.08804;-1.68959;7.19354;-0.105506;-0.105506
13;27.5446;0.478394;7.36581;0.478394;7.36581;0.401805;7.28922;0.0765894;0.0765894
14;22.7641;0.677388;7.19527;0.677388;7.19527;0.600152;7.11804;0.0772361;0.0772361
15;38.3959;0.145751;7.05677;0.145751;7.05677;0.138947;7.04996;0.00680445;0.00680445
16;22.0304;-1.48399;6.94331;-1.48399;6.94331;-1.33443;7.09287;-0.149557;-0.149557
17;9.76577;-1.79673;7.14659;-1.79673;7.14659;-1.60452;7.33879;-0.192203;-0.192203
18;27.315;-0.379046;7.30054;-0.379046;7.30054;-0.260646;7.41894;-0.1184;-0.1184
19;19.2546;-1.93686;7.18722;-1.93686;7.18722;-1.67945;7.44463;-0.257414;-0.257414
20;27.6736;0.303793;7.36787;0.303793;7.36787;0.413492;7.47757;-0.109698;-0.109698
21;22.5356;0.519423;7.16552;0.519423;7.16552;0.63015;7.27624;-0.110727;-0.110727
22;38.0039;0.00569064;7.01714;0.00569064;7.01714;0.176364;7.18781;-0.170673;-0.170673
23;21.9886;-1.60954;6.98968;-1.60954;6.98968;-1.30291;7.29631;-0.306631;-0.306631
24;9.74213;-1.93978;7.12961;-1.93978;7.12961;-1.59008;7.4793;-0.349692;-0.349692
25;27.3179;-0.556108;7.23174;-0.556108;7.23174;-0.258358;7.52949;-0.29775;-0.29775
26;19.2077;-2.09547;7.14744;-2.09547;7.14744;-1.68021;7.5627;-0.415254;-0.415254
27;27.7397;0.109518;7.31207;0.109518;7.31207;0.411202;7.61375;-0.301684;-0.301684
28;22.386;0.346199;7.07247;0.346199;7.07247;0.646448;7.37272;-0.300248;-0.300248
29;37.5943;-0.147285;7.05499;-0.147285;7.05499;0.200123;7.4024;-0.347407;-0.347407
30;21.8593;-1.7456;7.02848;-1.7456;7.02848;-1.28522;7.48886;-0.46038;-0.46038
31;9.70977;-2.08988;7.08921;-2.08988;7.08921;-1.58973;7.58936;-0.500147;-0.500147
32;27.283;-0.736884;7.10009;-0.736884;7.10009;-0.270485;7.56649;-0.466399;-0.466399
33;19.1681;-2.2589;7.04577;-2.2589;7.04577;-1.69624;7.60842;-0.562658;-0.562658
34;27.7741;-0.0888601;7.16239;-0.0888601;7.16239;0.391358;7.64261;-0.480218;-0.480218
35;22.2074;0.168823;6.99082;0.168823;6.99082;0.642762;7.46476;-0.47394;-0.47394
36;37.2614;-0.308963;7.07725;-0.308963;7.07725;0.204531;7.59075;-0.513494;-0.513494
37;21.7399;-1.88829;7.02208;-1.88829;7.02208;-1.28603;7.62434;-0.602261;-0.602261
38;9.69841;-2.2437;7.02982;-2.2437;7.02982;-1.60693;7.66659;-0.636764;-0.636764
39;27.2374;-0.918327;6.96739;-0.918327;6.96739;-0.300458;7.58525;-0.617869;-0.617869
40;19.1239;-2.42415;6.94611;-2.42415;6.94611;-1.72994;7.64032;-0.694211;-0.694211
41;27.7819;-0.286931;6.99575;-0.286931;6.99575;0.351999;7.63468;-0.63893;-0.63893
42;22.1103;-0.0175809;7.03226;-0.0175809;7.03226;0.617604;7.66745;-0.635185;-0.635185
43;36.9035;-0.476099;7.09224;-0.476099;7.09224;0.188136;7.75648;-0.664236;-0.664236
44;21.6078;-2.03434;7.00982;-2.03434;7.00982;-1.30633;7.73784;-0.728017;-0.728017
45;9.68952;-2.39837;6.97657;-2.39837;6.97657;-1.64232;7.73263;-0.756053;-0.756053
46;27.1684;-1.09789;6.85561;-1.09789;6.85561;-0.349082;7.60442;-0.748805;-0.748805
47;19.0513;-2.58818;6.86538;-2.58818;6.86538;-1.78128;7.67228;-0.806897;-0.806897
48;27.7693;-0.480585;6.85721;-0.480585;6.85721;0.2939;7.6317;-0.774485;-0.774485
49;22.172;-0.207872;6.85995;-0.207872;6.85995;0.57224;7.64006;-0.780111;-0.780111
50;36.638;-0.650883;6.94558;-0.650883;6.94558;0.151691;7.74815;-0.802574;-0.802574
51;21.4723;-2.19197;6.92364;-2.19197;6.92364;-1.34601;7.76959;-0.845957;-0.845957
52;9.65175;-2.56594;6.89102;-2.56594;6.89102;-1.69762;7.75934;-0.868318;-0.868318
53;27.0076;-1.29162;6.74559;-1.29162;6.74559;-0.420117;7.61709;-0.8715;-0.8715
54;18.9307;-2.76589;6.7949;-2.76589;6.7949;-1.85431;7.70647;-0.911574;-0.911574
55;27.7096;-0.687427;6.74323;-0.687427;6.74323;0.212532;7.64319;-0.899959;-0.899959
56;22.0708;-0.404523;6.73798;-0.404523;6.73798;0.505961;7.64847;-0.910484;-0.910484
57;36.3874;-0.830543;6.83412;-0.830543;6.83412;0.0957177;7.76038;-0.926261;-0.926261
58;21.3537;-2.3545;6.85526;-2.3545;6.85526;-1.40397;7.80578;-0.950523;-0.950523
59;9.56592;-2.7364;6.83032;-2.7364;6.83032;-1.77;7.79672;-0.966399;-0.966399
60;26.7721;-1.48526;6.68177;-1.48526;6.68177;-0.507991;7.65904;-0.977273;-0.977273
61;18.7875;-2.94227;6.75585;-2.94227;6.75585;-1.94237;7.75574;-0.999896;-0.999896
62;27.6239;-0.886878;6.67781;-0.886878;6.67781;0.118464;7.68316;-1.00534;-1.00534
63;21.9229;-0.589661;6.67472;-0.589661;6.67472;0.427544;7.69193;-1.01721;-1.01721
64;36.1744;-0.997304;6.76781;-0.997304;6.76781;0.0289749;7.79409;-1.02628;-1.02628
65;21.2605;-2.50481;6.80924;-2.50481;6.80924;-1.4708;7.84324;-1.034;-1.034
66;9.47859;-2.89053;6.79293;-2.89053;6.79293;-1.84677;7.83669;-1.04376;-1.04376
67;26.5879;-1.65599;6.64527;-1.65599;6.64527;-0.595743;7.70552;-1.06024;-1.06024
68;18.6796;-3.09721;6.73112;-3.09721;6.73112;-2.0288;7.79953;-1.0684;-1.0684
69;27.5809;-1.05697;6.63138;-1.05697;6.63138;0.030207;7.71856;-1.08718;-1.08718
70;21.8197;-0.747613;6.62953;-0.747613;6.62953;0.352159;7.7293;-1.09977;-1.09977
71;36.0201;-1.13939;6.71903;-1.13939;6.71903;-0.035989;7.82244;-1.1034;-1.1034
72;21.1927;-2.63294;6.77331;-2.63294;6.77331;-1.53485;7.8714;-1.09809;-1.09809
73;9.42918;-3.0196;6.76193;-3.0196;6.76193;-1.91641;7.86512;-1.10319;-1.10319
74;26.4933;-1.79586;6.60905;-1.79586;6.60905;-0.671523;7.73339;-1.12434;-1.12434
75;18.6138;-3.22469;6.7051;-3.22469;6.7051;-2.10302;7.82677;-1.12168;-1.12168
76;27.5733;-1.1946;6.58395;-1.1946;6.58395;-0.0434977;7.73506;-1.15111;-1.15111
77;21.7655;-0.877429;6.58158;-0.877429;6.58158;0.287362;7.74637;-1.16479;-1.16479
78;35.9181;-1.25776;6.67196;-1.25776;6.67196;-0.0932151;7.8365;-1.16454;-1.16454
79;21.1476;-2.7403;6.73969;-2.7403;6.73969;-1.59116;7.88883;-1.14914;-1.14914
80;9.40531;-3.12657;6.73145;-3.12657;6.73145;-1.97572;7.8823;-1.15085;-1.15085
81;26.4506;-1.90998;6.57025;-1.90998;6.57025;-0.733844;7.74639;-1.17614;-1.17614
