Epoch;ErrorScore;w1;b1;b2
0;20.3901;3.47485;1.70034;2.49326
1;26.5357;5.20623;1.94076;4.14555
2;24.7653;6.41795;2.21182;5.29384
3;26.0185;6.65711;2.13061;5.55972
4;20.3816;6.74144;1.78626;5.79665
5;3.49746;8.28971;2.7776;6.89542
6;28.5782;7.97058;2.28564;6.81183
7;36.8049;6.97928;1.17971;6.29256
8;20.4817;6.81021;0.734195;6.21445
9;35.6686;6.21711;-0.0282698;5.89247
10;10.044;8.4264;1.64884;7.39654
11;33.5343;6.90399;0.151994;6.3347
12;10.4908;8.22397;1.16622;7.22535
13;27.355;8.92729;1.81042;7.65093
14;38.0791;7.79962;0.81556;6.83787
15;25.5622;6.33835;-0.969788;6.03669
16;10.6192;6.20688;-1.66896;6.12044
17;25.7728;7.72516;-0.64616;7.21073
18;19.8255;6.37357;-2.1803;6.39166
19;26.8784;8.36427;-0.254736;7.76535
20;22.0418;8.22929;-0.0125985;7.60817
21;36.272;7.78402;-0.429563;7.14795
22;21.4273;6.44941;-1.93016;6.31502
23;9.56381;6.4779;-2.32906;6.43724
24;26.6735;8.03128;-1.07497;7.52214
25;18.5694;6.61934;-2.49795;6.57887
26;27.7178;8.69404;-0.401918;8.03813
27;22.2807;8.47753;-0.100272;7.8066
28;36.1866;8.00027;-0.475312;7.2977
29;21.258;6.59803;-1.96419;6.38071
30;9.50749;6.60327;-2.35026;6.47683
31;26.6975;8.14207;-1.08702;7.54985
32;18.5354;6.7185;-2.50641;6.59181
33;27.7452;8.79262;-0.40571;8.05269
34;22.2946;8.57051;-0.102599;7.81634
35;36.1851;8.09085;-0.476499;7.30445
36;21.2532;6.68535;-1.96505;6.38355
37;9.50546;6.6894;-2.35076;6.47844
38;26.6979;8.2275;-1.08727;7.5509
39;18.5347;6.80343;-2.50658;6.59226
40;27.7459;8.87747;-0.405784;8.05315
41;22.2951;8.65517;-0.102647;7.81664
42;36.1851;8.17542;-0.476523;7.30465
43;21.2531;6.76982;-1.96507;6.38363
44;9.50541;6.77383;-2.35077;6.47848
45;26.6979;8.31191;-1.08727;7.55093
46;18.5347;6.88782;-2.50658;6.59227
47;27.7459;8.96186;-0.405785;8.05316
48;22.2951;8.73955;-0.102648;7.81664
49;36.1851;8.2598;-0.476523;7.30465
50;21.2531;6.8542;-1.96507;6.38363
51;9.50541;6.85821;-2.35077;6.47848
52;26.6979;8.39629;-1.08727;7.55093
53;18.5347;6.9722;-2.50658;6.59226
54;27.7459;9.04624;-0.405785;8.05315
55;22.2951;8.82394;-0.102648;7.81664
56;36.1851;8.34418;-0.476523;7.30465
57;21.2531;6.93858;-1.96507;6.38363
58;9.50542;6.9426;-2.35077;6.47848
59;26.6979;8.48068;-1.08727;7.55093
60;18.5347;7.05659;-2.50658;6.59225
61;27.7459;9.13062;-0.405785;8.05314
