Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;38.8639;0.73204;3.19066;0.73204;3.19066;0.382057;2.87765;0.199813;0.199813
1;43.8795;0.463512;4.75022;0.463512;4.75022;-0.0247066;4.29658;0.221233;0.221233
2;25.1365;-0.993058;6.224;-0.993058;6.224;-1.49815;5.59297;0.0810854;0.0810854
3;10.4528;-1.18684;6.98784;-1.18684;6.98784;-1.74421;6.27377;0.059402;0.059402
4;27.2912;0.344296;7.40692;0.344296;7.40692;-0.371812;6.69709;0.194584;0.194584
5;19.7566;-1.21098;7.5851;-1.21098;7.5851;-1.81418;6.75897;0.0235503;0.0235503
6;27.1606;1.0583;7.74002;1.0583;7.74002;0.256857;7.00152;0.241666;0.241666
7;22.8677;1.23598;7.66713;1.23598;7.66713;0.425885;6.92941;0.247881;0.247881
8;38.5301;0.716895;7.68975;0.716895;7.68975;-0.0544918;6.87352;0.171386;0.171386
9;22.1717;-0.890829;7.75217;-0.890829;7.75217;-1.53629;6.82076;-0.00104669;-0.00104669
10;9.82132;-1.13553;8.0198;-1.13553;8.0198;-1.77945;7.04903;-0.0385847;-0.0385847
11;27.3304;0.363426;8.09293;0.363426;8.09293;-0.400268;7.14727;0.063042;0.063042
12;19.7382;-1.19781;8.18053;-1.19781;8.18053;-1.83888;7.13974;-0.0949972;-0.0949972
13;27.2744;1.0735;8.24927;1.0735;8.24927;0.241734;7.27468;0.0943153;0.0943153
14;22.8038;1.24902;8.06702;1.24902;8.06702;0.418638;7.1027;0.0924223;0.0924223
15;38.3153;0.72992;8.03087;0.72992;8.03087;-0.0551947;7.00413;0.0214386;0.0214386
16;22.2439;-0.874435;8.15481;-0.874435;8.15481;-1.53763;7.03121;-0.134139;-0.134139
17;9.94023;-1.12774;8.46938;-1.12774;8.46938;-1.79002;7.30816;-0.174978;-0.174978
18;27.4454;0.358251;8.48929;0.358251;8.48929;-0.416626;7.33631;-0.0967246;-0.0967246
19;19.7184;-1.20261;8.57645;-1.20261;8.57645;-1.85395;7.35717;-0.235903;-0.235903
20;27.3162;1.07483;8.64189;1.07483;8.64189;0.23219;7.4523;-0.0769148;-0.0769148
21;22.6516;1.25895;8.43511;1.25895;8.43511;0.419346;7.25708;-0.0821348;-0.0821348
22;38.1054;0.742355;8.37501;0.742355;8.37501;-0.0489366;7.1462;-0.145429;-0.145429
23;22.1335;-0.866162;8.48996;-0.866162;8.48996;-1.53344;7.20159;-0.281335;-0.281335
24;9.88987;-1.13989;8.74634;-1.13989;8.74634;-1.79789;7.43116;-0.323336;-0.323336
25;27.4895;0.333561;8.73996;0.333561;8.73996;-0.433836;7.41189;-0.265297;-0.265297
26;19.4966;-1.22391;8.84424;-1.22391;8.84424;-1.86911;7.48795;-0.38223;-0.38223
27;27.4211;1.05783;8.88746;1.05783;8.88746;0.22195;7.52296;-0.252631;-0.252631
28;22.5276;1.25737;8.66742;1.25737;8.66742;0.424317;7.31425;-0.256584;-0.256584
29;37.8731;0.748039;8.6062;0.748039;8.6062;-0.0369031;7.2175;-0.309886;-0.309886
30;21.9117;-0.864515;8.71393;-0.864515;8.71393;-1.52393;7.3087;-0.424481;-0.424481
31;9.82606;-1.16022;8.91556;-1.16022;8.91556;-1.80312;7.49426;-0.46542;-0.46542
32;27.458;0.297634;8.87796;0.297634;8.87796;-0.451725;7.42353;-0.424211;-0.424211
33;19.2266;-1.25434;9.02318;-1.25434;9.02318;-1.88483;7.57666;-0.520444;-0.520444
34;27.5041;1.03059;9.05703;1.03059;9.05703;0.208832;7.56307;-0.417581;-0.417581
35;22.4018;1.2493;8.82146;1.2493;8.82146;0.429909;7.33814;-0.418873;-0.418873
36;37.5813;0.749224;8.75139;0.749224;8.75139;-0.0221717;7.25113;-0.461535;-0.461535
37;21.7489;-0.864327;8.88161;-0.864327;8.88161;-1.51168;7.39608;-0.555408;-0.555408
38;9.77392;-1.18221;9.03617;-1.18221;9.03617;-1.80701;7.54475;-0.593947;-0.593947
39;27.3969;0.258236;8.97236;0.258236;8.97236;-0.470647;7.42966;-0.566888;-0.566888
40;19.061;-1.29206;9.11882;-1.29206;9.11882;-1.90143;7.61278;-0.645326;-0.645326
41;27.5471;0.998086;9.19922;0.998086;9.19922;0.19216;7.60288;-0.56696;-0.56696
42;22.2763;1.23837;8.95111;1.23837;8.95111;0.433827;7.36368;-0.565662;-0.565662
43;37.2703;0.751053;8.88987;0.751053;8.88987;-0.00742761;7.30059;-0.59837;-0.59837
44;21.632;-0.86107;9.067;-0.86107;9.067;-1.49911;7.5187;-0.67303;-0.67303
45;9.72749;-1.2023;9.15628;-1.2023;9.15628;-1.81092;7.61381;-0.707198;-0.707198
46;27.3066;0.221013;9.08068;0.221013;9.08068;-0.490848;7.47065;-0.691287;-0.691287
47;18.9272;-1.33032;9.1979;-1.33032;9.1979;-1.91961;7.65007;-0.753134;-0.753134
48;27.6002;0.959653;9.29046;0.959653;9.29046;0.172162;7.61881;-0.696697;-0.696697
49;22.1407;1.22505;9.06299;1.22505;9.06299;0.434823;7.39464;-0.693032;-0.693032
50;36.9942;0.753983;9.0371;0.753983;9.0371;0.00555022;7.3769;-0.717606;-0.717606
51;21.5267;-0.862183;9.19318;-0.862183;9.19318;-1.48761;7.59987;-0.775188;-0.775188
52;9.69395;-1.22321;9.23935;-1.22321;9.23935;-1.8146;7.66139;-0.804793;-0.804793
53;27.1924;0.187849;9.20806;0.187849;9.20806;-0.510719;7.54412;-0.798441;-0.798441
54;18.8085;-1.36633;9.27702;-1.36633;9.27702;-1.93806;7.69908;-0.844178;-0.844178
55;27.6226;0.920228;9.36477;0.920228;9.36477;0.150337;7.63645;-0.805934;-0.805934
56;22.0455;1.21078;9.17511;1.21078;9.17511;0.432714;7.44278;-0.80095;-0.80095
57;36.7403;0.754228;9.16027;0.754228;9.16027;0.0159009;7.44587;-0.818721;-0.818721
58;21.4216;-0.866848;9.27599;-0.866848;9.27599;-1.47813;7.65164;-0.861126;-0.861126
59;9.65461;-1.24386;9.29718;-1.24386;9.29718;-1.81832;7.69555;-0.88636;-0.88636
60;27.0221;0.154078;9.28765;0.154078;9.28765;-0.529388;7.5865;-0.887702;-0.887702
61;18.7193;-1.40167;9.32692;-1.40167;9.32692;-1.95566;7.73096;-0.920143;-0.920143
62;27.6098;0.882699;9.43419;0.882699;9.43419;0.128529;7.66337;-0.896997;-0.896997
63;21.9511;1.1953;9.27546;1.1953;9.27546;0.428368;7.49443;-0.891145;-0.891145
64;36.4921;0.753814;9.28309;0.753814;9.28309;0.0234824;7.52675;-0.902962;-0.902962
65;21.3261;-0.872217;9.34861;-0.872217;9.34861;-1.47096;7.70305;-0.931322;-0.931322
66;9.5913;-1.262;9.35119;-1.262;9.35119;-1.82217;7.73443;-0.951801;-0.951801
67;26.8204;0.124928;9.35996;0.124928;9.35996;-0.546055;7.63274;-0.958481;-0.958481
68;18.6488;-1.43256;9.36838;-1.43256;9.36838;-1.97155;7.7623;-0.979547;-0.979547
69;27.6008;0.851235;9.51042;0.851235;9.51042;0.108837;7.70874;-0.968506;-0.968506
70;21.8535;1.18397;9.40055;1.18397;9.40055;0.422867;7.58125;-0.961882;-0.961882
71;36.2904;0.755716;9.42955;0.755716;9.42955;0.0283234;7.63948;-0.968793;-0.968793
72;21.2449;-0.876006;9.42695;-0.876006;9.42695;-1.46615;7.76644;-0.983795;-0.983795
73;9.51977;-1.27553;9.40897;-1.27553;9.40897;-1.82571;7.78252;-0.999198;-0.999198
74;26.6765;0.102752;9.42437;0.102752;9.42437;-0.559132;7.68013;-1.00921;-1.00921
75;18.5985;-1.45652;9.40248;-1.45652;9.40248;-1.98409;7.79158;-1.02128;-1.02128
76;27.6081;0.825718;9.55775;0.825718;9.55775;0.0935283;7.73797;-1.01894;-1.01894
77;21.7933;1.1746;9.50217;1.1746;9.50217;0.417719;7.65749;-1.01227;-1.01227
78;36.1532;0.755679;9.53901;0.755679;9.53901;0.0310897;7.72682;-1.01571;-1.01571
79;21.1922;-0.880125;9.48372;-0.880125;9.48372;-1.46323;7.81498;-1.02049;-1.02049
80;9.46834;-1.28635;9.45086;-1.28635;9.45086;-1.82858;7.81999;-1.03194;-1.03194
81;26.5922;0.0854809;9.4658;0.0854809;9.4658;-0.568617;7.71258;-1.04419;-1.04419
82;18.566;-1.47503;9.4231;-1.47503;9.4231;-1.99327;7.81171;-1.04994;-1.04994
83;27.6129;0.805336;9.5799;0.805336;9.5799;0.0823647;7.75123;-1.0536;-1.0536
84;21.7643;1.16513;9.56035;1.16513;9.56035;0.413505;7.70179;-1.04735;-1.04735
85;36.0622;0.752609;9.59922;0.752609;9.59922;0.032597;7.7753;-1.04854;-1.04854
86;21.159;-0.885363;9.51426;-0.885363;9.51426;-1.46153;7.84298;-1.04648;-1.04648
87;9.43732;-1.29611;9.47351;-1.29611;9.47351;-1.83091;7.8426;-1.05532;-1.05532
88;26.5404;0.071002;9.48747;0.071002;9.48747;-0.575637;7.73105;-1.06933;-1.06933
89;18.5443;-1.49026;9.43259;-1.49026;9.43259;-2.00012;7.82387;-1.0707;-1.0707
90;27.6149;0.788466;9.5887;0.788466;9.5887;0.0739672;7.75681;-1.07875;-1.07875
91;21.7474;1.15565;9.59043;1.15565;9.59043;0.410079;7.72543;-1.07302;-1.07302
92;35.9975;0.747788;9.63004;0.747788;9.63004;0.0334158;7.80113;-1.07269;-1.07269
93;21.1358;-0.891295;9.52888;-0.891295;9.52888;-1.46053;7.85892;-1.06593;-1.06593
94;9.41825;-1.3053;9.484;-1.3053;9.484;-1.83287;7.85614;-1.07304;-1.07304
95;26.5055;0.0582118;9.49734;0.0582118;9.49734;-0.581135;7.74158;-1.0885;-1.0885
96;18.5288;-1.50352;9.43519;-1.50352;9.43519;-2.00553;7.83146;-1.08667;-1.08667
97;27.6158;0.773825;9.59044;0.773825;9.59044;0.0673022;7.75902;-1.09815;-1.09815
98;21.7353;1.14633;9.60526;1.14633;9.60526;0.407187;7.73854;-1.09291;-1.09291
99;35.9482;0.742081;9.64533;0.742081;9.64533;0.0338279;7.81576;-1.09148;-1.09148
100;21.1181;-0.897605;9.5347;-0.897605;9.5347;-1.45996;7.86872;-1.08126;-1.08126
101;9.40576;-1.31412;9.48738;-1.31412;9.48738;-1.83461;7.86482;-1.08713;-1.08713
