Epoch;ErrorScore;w1;b1;b2
0;20.1763;3.61583;1.65592;2.43426
1;26.553;5.72733;1.72234;4.28156
2;24.1883;7.22485;2.00269;5.25129
3;25.9277;7.66069;1.96312;5.70987
4;19.9446;7.6406;1.60849;6.1987
5;3.68277;9.64772;2.55813;6.69422
6;28.1206;9.13859;2.13126;6.77122
7;36.1904;7.4695;1.05208;6.76982
8;20.0739;6.7661;0.604038;6.82408
9;35.1664;5.54286;-0.10681;6.79998
10;9.99344;8.55369;1.59238;7.03696
11;33.2469;5.97223;0.0820191;6.90813
12;10.4872;7.76553;1.10412;7.0375
13;27.3477;8.9086;1.78707;7.10376
14;38.0094;7.23492;0.804772;6.98902
15;25.0118;4.11894;-1.02839;6.8703
16;9.99337;2.97129;-1.70689;6.88096
17;25.4302;4.90102;-0.651238;7.03377
18;19.6115;2.28328;-2.18213;6.92025
19;26.8534;5.72552;-0.257838;7.09475
20;21.7541;6.14592;-0.00171419;7.07121
21;36.2518;5.35937;-0.427945;7.02373
22;21.2271;2.78903;-1.9296;6.90954
23;9.31499;2.16368;-2.3004;6.92445
24;26.3657;4.42609;-1.04248;7.07264
25;18.545;1.96882;-2.4692;6.94802
26;27.584;5.68187;-0.393075;7.12679
27;21.7551;6.18816;-0.0830277;7.09352
28;36.1657;5.4611;-0.471819;7.04129
29;21.1046;2.89991;-1.96241;6.91863
30;9.29887;2.2903;-2.3223;6.93011
31;26.4004;4.56458;-1.0573;7.07542
32;18.5059;2.11161;-2.48019;6.94902
33;27.5702;5.83035;-0.400872;7.12763
34;21.7555;6.34199;-0.0876795;7.09418
35;36.1609;5.61852;-0.474318;7.04183
36;21.0977;3.05806;-1.96427;6.91882
37;9.298;2.44949;-2.32353;6.93025
38;26.401;4.72511;-1.05821;7.07512
39;18.5035;2.27183;-2.48089;6.94828
40;27.5579;5.98966;-0.402055;7.12692
41;21.7554;6.50243;-0.0883538;7.09376
42;36.1602;5.77964;-0.47467;7.04151
43;21.0967;3.21946;-1.96452;6.91857
44;9.29791;2.61115;-2.32368;6.93013
45;26.4008;4.88734;-1.05834;7.07491
46;18.5031;2.43345;-2.48101;6.94765
47;27.5542;6.15093;-0.402351;7.12632
48;21.7554;6.66413;-0.0885081;7.09339
49;36.16;5.94157;-0.474746;7.04123
50;21.0965;3.38154;-1.96457;6.91835
51;9.29791;2.77336;-2.32371;6.93001
52;26.4008;5.0499;-1.05836;7.07482
