Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;38.9253;0.621388;3.10505;0.621388;3.10505;0.419094;2.86686;0.323978;0.323978
1;43.875;0.264654;4.55033;0.264654;4.55033;0.0572627;4.29651;0.429953;0.429953
2;24.4538;-1.33878;5.53899;-1.33878;5.53899;-1.38395;5.62951;0.421966;0.421966
3;9.9541;-1.59391;6.06379;-1.59391;6.06379;-1.61669;6.20936;0.456871;0.456871
4;27.1157;-0.0341769;6.77334;-0.0341769;6.77334;-0.25612;6.46673;0.614594;0.614594
5;19.1939;-1.67204;6.45157;-1.67204;6.45157;-1.67437;6.66079;0.496547;0.496547
6;27.2039;0.717794;7.24251;0.717794;7.24251;0.396542;6.70991;0.702157;0.702157
7;23.3027;0.910657;7.33059;0.910657;7.33059;0.562069;6.74698;0.721841;0.721841
8;39.4691;0.337361;7.17521;0.337361;7.17521;0.0825719;6.81883;0.682892;0.682892
9;21.9121;-1.36804;6.60122;-1.36804;6.60122;-1.37881;6.82502;0.542267;0.542267
10;9.38428;-1.64785;6.51606;-1.64785;6.51606;-1.61469;6.84238;0.521365;0.521365
11;27.0707;-0.101187;6.93151;-0.101187;6.93151;-0.257657;6.80342;0.649531;0.649531
12;18.9844;-1.74463;6.40133;-1.74463;6.40133;-1.67025;6.82133;0.514727;0.514727
13;27.2942;0.654888;7.16657;0.654888;7.16657;0.409588;6.8278;0.716977;0.716977
14;23.2787;0.845817;7.20232;0.845817;7.20232;0.578579;6.81672;0.732311;0.732311
15;39.4213;0.274464;7.01873;0.274464;7.01873;0.102861;6.86466;0.691403;0.691403
16;21.8254;-1.43116;6.4151;-1.43116;6.4151;-1.35653;6.84688;0.548636;0.548636
17;9.36418;-1.71734;6.31668;-1.71734;6.31668;-1.59746;6.85395;0.526231;0.526231
18;27.0479;-0.176509;6.72577;-0.176509;6.72577;-0.24559;6.80962;0.653365;0.653365
19;18.8792;-1.81709;6.1917;-1.81709;6.1917;-1.65496;6.82436;0.518577;0.518577
20;27.3498;0.586983;6.95872;0.586983;6.95872;0.429053;6.8303;0.72119;0.72119
21;23.2289;0.781712;6.99492;0.781712;6.99492;0.601386;6.81828;0.736755;0.736755
22;39.3568;0.2121;6.81086;0.2121;6.81086;0.127436;6.86574;0.695978;0.695978
23;21.7502;-1.49352;6.20506;-1.49352;6.20506;-1.3312;6.84737;0.553246;0.553246
24;9.34912;-1.78732;6.10376;-1.78732;6.10376;-1.57862;6.85415;0.530185;0.530185
25;27.0187;-0.252878;6.51158;-0.252878;6.51158;-0.232557;6.80978;0.656747;0.656747
26;18.7872;-1.89133;5.97708;-1.89133;5.97708;-1.63951;6.82452;0.522207;0.522207
27;27.4051;0.516661;6.74597;0.516661;6.74597;0.448323;6.83069;0.725232;0.725232
28;23.1566;0.716309;6.78399;0.716309;6.78399;0.624857;6.81862;0.741197;0.741197
29;39.2628;0.149089;6.60019;0.149089;6.60019;0.153196;6.86603;0.700644;0.700644
30;21.675;-1.55707;5.99249;-1.55707;5.99249;-1.30515;6.84749;0.557941;0.557941
31;9.33783;-1.8592;5.88827;-1.8592;5.88827;-1.55967;6.85416;0.534185;0.534185
32;26.9881;-0.331315;6.29491;-0.331315;6.29491;-0.219577;6.80985;0.660168;0.660168
33;18.7061;-1.96828;5.75982;-1.96828;5.75982;-1.62467;6.82465;0.525828;0.525828
34;27.4608;0.443475;6.5305;0.443475;6.5305;0.466865;6.83107;0.729256;0.729256
35;23.0628;0.649418;6.57085;0.649418;6.57085;0.648777;6.81897;0.745738;0.745738
36;39.138;0.0853375;6.38761;0.0853375;6.38761;0.180042;6.86635;0.705472;0.705472
37;21.6008;-1.62193;5.77775;-1.62193;5.77775;-1.27848;6.84761;0.562753;0.562753
38;9.33003;-1.93301;5.67041;-1.93301;5.67041;-1.54062;6.85419;0.538249;0.538249
39;26.9565;-0.411831;6.07586;-0.411831;6.07586;-0.206647;6.80996;0.663641;0.663641
40;18.6376;-2.04804;5.53995;-2.04804;5.53995;-1.6105;6.82483;0.529442;0.529442
41;27.5142;0.367361;6.31255;0.367361;6.31255;0.484412;6.83146;0.733233;0.733233
42;22.9504;0.58115;6.35582;0.58115;6.35582;0.67304;6.81937;0.750365;0.750365
43;38.9834;0.0209215;6.17341;0.0209215;6.17341;0.20783;6.86671;0.710444;0.710444
44;21.5295;-1.68804;5.56114;-1.68804;5.56114;-1.25135;6.84777;0.567659;0.567659
45;9.32538;-2.00859;5.45049;-2.00859;5.45049;-1.52156;6.85426;0.542368;0.542368
46;26.9242;-0.494214;5.85476;-0.494214;5.85476;-0.19379;6.81012;0.66716;0.66716
47;18.583;-2.13042;5.31777;-2.13042;5.31777;-1.59707;6.82506;0.533039;0.533039
48;27.5627;0.288333;6.0925;0.288333;6.0925;0.500673;6.83189;0.737127;0.737127
49;22.824;0.51164;6.13929;0.51164;6.13929;0.697471;6.81982;0.755052;0.755052
50;38.8015;-0.0441015;5.95794;-0.0441015;5.95794;0.236316;6.86713;0.715526;0.715526
51;21.4627;-1.75534;5.34302;-1.75534;5.34302;-1.22401;6.84795;0.572628;0.572628
52;9.32351;-2.08573;5.22895;-2.08573;5.22895;-1.50259;6.85438;0.546521;0.546521
53;26.8916;-0.578198;5.63206;-0.578198;5.63206;-0.181072;6.81035;0.67071;0.67071
54;18.5422;-2.21513;5.09376;-2.21513;5.09376;-1.5844;6.82537;0.536606;0.536606
55;27.6043;0.206389;5.87063;0.206389;5.87063;0.515403;6.83235;0.740906;0.740906
56;22.6896;0.440906;5.92153;0.440906;5.92153;0.721866;6.82033;0.759772;0.759772
57;38.5962;-0.109808;5.74147;-0.109808;5.74147;0.265209;6.8676;0.720684;0.720684
58;21.4021;-1.82388;5.12368;-1.82388;5.12368;-1.19672;6.84818;0.577627;0.577627
59;9.32402;-2.16433;5.00614;-2.16433;5.00614;-1.48386;6.85457;0.550689;0.550689
60;26.859;-0.663611;5.4081;-0.663611;5.4081;-0.168573;6.81066;0.674278;0.674278
61;18.5143;-2.30191;4.86831;-2.30191;4.86831;-1.57253;6.82579;0.540138;0.540138
62;27.6377;0.121527;5.64716;0.121527;5.64716;0.528472;6.83286;0.744555;0.744555
63;22.5535;0.368783;5.70265;0.368783;5.70265;0.745997;6.8209;0.7645;0.7645
64;38.3728;-0.176451;5.52407;-0.176451;5.52407;0.294204;6.86813;0.725883;0.725883
65;21.3488;-1.89388;4.90322;-1.89388;4.90322;-1.16977;6.84847;0.582625;0.582625
66;9.32649;-2.24444;4.78221;-2.24444;4.78221;-1.46552;6.85487;0.554856;0.554856
67;26.827;-0.750446;5.18307;-0.750446;5.18307;-0.156375;6.8111;0.677855;0.677855
68;18.4976;-2.39065;4.64164;-2.39065;4.64164;-1.56143;6.82635;0.543636;0.543636
69;27.6625;0.033757;5.42215;0.033757;5.42215;0.539877;6.83346;0.748075;0.748075
70;22.4219;0.294895;5.48254;0.294895;5.48254;0.769594;6.82155;0.769211;0.769211
71;38.1367;-0.244462;5.3056;-0.244462;5.3056;0.322981;6.86873;0.731094;0.731094
72;21.3036;-1.9657;4.68154;-1.9657;4.68154;-1.14343;6.84884;0.587598;0.587598
73;9.33053;-2.32631;4.55713;-2.32631;4.55713;-1.44772;6.85529;0.55901;0.55901
74;26.7958;-0.838862;4.95695;-0.838862;4.95695;-0.144567;6.81168;0.681436;0.681436
75;18.4902;-2.48139;4.41379;-2.48139;4.41379;-1.55109;6.82711;0.547106;0.547106
76;27.6793;-0.0569195;5.1956;-0.0569195;5.1956;0.549715;6.83417;0.751479;0.751479
77;22.3001;0.218605;5.26086;0.218605;5.26086;0.792307;6.82229;0.773876;0.773876
78;37.8935;-0.314467;5.08572;-0.314467;5.08572;0.351201;6.86941;0.736289;0.736289
79;21.2668;-2.0399;4.45835;-2.0399;4.45835;-1.11797;6.8493;0.592526;0.592526
80;9.33577;-2.41032;4.33068;-2.41032;4.33068;-1.4306;6.8559;0.563147;0.563147
81;26.7659;-0.929193;4.72952;-0.929193;4.72952;-0.13324;6.81247;0.68502;0.68502
82;18.49;-2.57432;4.1846;-2.57432;4.1846;-1.54148;6.82813;0.55056;0.55056
83;27.6889;-0.150577;4.96738;-0.150577;4.96738;0.558139;6.83506;0.754794;0.754794
84;22.1924;0.139009;5.03705;0.139009;5.03705;0.813708;6.82314;0.778463;0.778463
85;37.6484;-0.387301;4.8639;-0.387301;4.8639;0.378494;6.87019;0.741442;0.741442
