Epoch;ErrorScore;w1;b1;b2
0;20.1763;3.42833;1.65592;2.43426
1;26.5538;5.3422;1.72235;4.28171
2;24.1885;6.59233;2.0027;5.25149
3;25.9276;7.01132;1.96312;5.71006
4;19.9444;7.14543;1.60849;6.19881
5;3.68272;8.59056;2.55812;6.69429
6;28.1206;8.24066;2.13125;6.77127
7;36.1904;7.16009;1.05208;6.76987
8;20.0739;6.76631;0.604037;6.82413
9;35.1664;6.03135;-0.106811;6.80002
10;9.99345;7.9675;1.59238;7.03698
11;33.2469;6.32831;0.0820181;6.90815
12;10.4872;7.47977;1.10412;7.03751
13;27.3477;8.22898;1.78707;7.10377
14;38.0093;7.13196;0.804772;6.98904
15;25.0118;5.17999;-1.02839;6.87024
16;9.99337;4.51218;-1.70689;6.88093
17;25.4302;5.72075;-0.651236;7.03385
18;19.6112;4.0736;-2.18233;6.91779
19;26.8432;6.17182;-0.258591;7.09227
20;21.7539;6.40575;-0.00206938;7.06968
21;36.2514;5.93253;-0.428111;7.0225
22;21.2267;4.31685;-1.92971;6.90842
23;9.31504;3.96156;-2.30043;6.92385
24;26.3597;5.36639;-1.04283;7.07109
25;18.5438;3.81189;-2.46969;6.94344
26;27.5243;6.06371;-0.396937;7.12251
27;21.7547;6.34402;-0.0851524;7.09103
28;36.1634;5.90478;-0.472898;7.03954
29;21.1018;4.29236;-1.96316;6.91738
30;9.29863;3.94486;-2.32274;6.92946
31;26.399;5.35505;-1.0577;7.07461
32;18.5047;3.80287;-2.48069;6.94542
33;27.5518;6.06028;-0.40226;7.1244
34;21.7551;6.34204;-0.0883771;7.09228
35;36.1601;5.90397;-0.474648;7.04048
36;21.0969;4.29152;-1.96448;6.91786
37;9.29799;3.94426;-2.32363;6.92975
38;26.4006;5.35463;-1.0583;7.07479
39;18.5031;3.80253;-2.48113;6.94552
40;27.5529;6.06016;-0.402473;7.12449
41;21.7552;6.34197;-0.0885066;7.09234
42;36.16;5.90394;-0.474718;7.04052
43;21.0967;4.29149;-1.96453;6.91788
44;9.29796;3.94424;-2.32366;6.92976
45;26.4006;5.35461;-1.05832;7.07479
46;18.5031;3.80251;-2.48115;6.94552
47;27.553;6.06015;-0.402481;7.12449
48;21.7552;6.34197;-0.0885119;7.09234
49;36.16;5.90394;-0.474721;7.04052
50;21.0967;4.29149;-1.96454;6.91789
51;9.29796;3.94424;-2.32367;6.92976
52;26.4006;5.35461;-1.05832;7.07479
