Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;38.7674;0.727675;3.18604;0.727675;3.18604;0.405197;2.86356;0.322478;0.322478
1;43.9286;0.444223;4.71767;0.444223;4.71767;0.0185156;4.29196;0.425707;0.425707
2;24.794;-1.02739;6.04064;-1.02739;6.04064;-1.44306;5.62496;0.415674;0.415674
3;10.1236;-1.22962;6.65623;-1.22962;6.65623;-1.67991;6.20593;0.450294;0.450294
4;27.134;0.300505;7.07358;0.300505;7.07358;-0.308626;6.46445;0.609132;0.609132
5;19.7601;-1.26406;7.14762;-1.26406;7.14762;-1.75266;6.65902;0.488602;0.488602
6;26.9738;0.990312;7.39995;0.990312;7.39995;0.298092;6.70773;0.69222;0.69222
7;23.1324;1.16589;7.45665;1.16589;7.45665;0.45477;6.74553;0.711117;0.711117
8;39.1507;0.641427;7.48935;0.641427;7.48935;-0.0302102;6.81771;0.671637;0.671637
9;22.2381;-0.977032;7.35372;-0.977032;7.35372;-1.50656;6.8242;0.529527;0.529527
10;9.58304;-1.21647;7.35225;-1.21647;7.35225;-1.72667;6.84205;0.510199;0.510199
11;27.1777;0.298129;7.44428;0.298129;7.44428;-0.342849;6.8033;0.640978;0.640978
12;19.5931;-1.2742;7.32463;-1.2742;7.32463;-1.77808;6.82075;0.50388;0.50388
13;27.0484;0.989694;7.5309;0.989694;7.5309;0.285243;6.82644;0.704451;0.704451
14;23.1283;1.16438;7.53473;1.16438;7.53473;0.445411;6.81576;0.718969;0.718969
15;39.1353;0.641872;7.54138;0.641872;7.54138;-0.035654;6.86385;0.677526;0.677526
16;22.2235;-0.977599;7.37937;-0.977599;7.37937;-1.51077;6.8462;0.533171;0.533171
17;9.58244;-1.21644;7.36673;-1.21644;7.36673;-1.72941;6.85376;0.512972;0.512972
18;27.1852;0.298614;7.45289;0.298614;7.45289;-0.344688;6.80959;0.643302;0.643302
19;19.5892;-1.27356;7.32965;-1.27356;7.32965;-1.77949;6.82373;0.505924;0.505924
20;27.0507;0.990816;7.53516;0.990816;7.53516;0.28435;6.82869;0.706466;0.706466
21;23.1279;1.16556;7.538;1.16556;7.538;0.444654;6.81709;0.720907;0.720907
22;39.1343;0.643146;7.54415;0.643146;7.54415;-0.0362868;6.86472;0.679433;0.679433
23;22.2247;-0.976376;7.38161;-0.976376;7.38161;-1.51141;6.84658;0.535034;0.535034
24;9.58333;-1.21507;7.36878;-1.21507;7.36878;-1.72991;6.85395;0.514831;0.514831
25;27.1859;0.300129;7.4549;0.300129;7.4549;-0.345037;6.80973;0.645166;0.645166
26;19.5916;-1.27213;7.33153;-1.27213;7.33153;-1.7799;6.82376;0.507775;0.507775
27;27.0497;0.992192;7.53708;0.992192;7.53708;0.283882;6.82877;0.70831;0.70831
28;23.1274;1.1669;7.53989;1.1669;7.53989;0.444153;6.81714;0.722745;0.722745
29;39.1336;0.644479;7.54602;0.644479;7.54602;-0.03679;6.86475;0.681269;0.681269
30;22.2264;-0.975094;7.38341;-0.975094;7.38341;-1.51196;6.84655;0.536865;0.536865
31;9.58428;-1.21367;7.3706;-1.21367;7.3706;-1.73035;6.85392;0.516674;0.516674
32;27.1864;0.301671;7.45678;0.301671;7.45678;-0.34535;6.80976;0.647021;0.647021
33;19.5942;-1.27068;7.33336;-1.27068;7.33336;-1.7803;6.82373;0.509622;0.509622
34;27.0488;0.993574;7.53896;0.993574;7.53896;0.283424;6.82881;0.71015;0.71015
35;23.1268;1.16824;7.54175;1.16824;7.54175;0.443657;6.81717;0.72458;0.72458
36;39.1328;0.645813;7.54786;0.645813;7.54786;-0.0372902;6.86476;0.683103;0.683103
37;22.228;-0.973812;7.38521;-0.973812;7.38521;-1.51251;6.84651;0.538695;0.538695
38;9.58522;-1.21227;7.37241;-1.21227;7.37241;-1.73079;6.8539;0.518516;0.518516
39;27.1869;0.303213;7.45867;0.303213;7.45867;-0.345663;6.80979;0.648876;0.648876
40;19.5968;-1.26922;7.33518;-1.26922;7.33518;-1.78069;6.82371;0.511469;0.511469
41;27.0478;0.994956;7.54084;0.994956;7.54084;0.282966;6.82885;0.71199;0.71199
42;23.1263;1.16958;7.54361;1.16958;7.54361;0.443163;6.8172;0.726414;0.726414
43;39.132;0.647146;7.5497;0.647146;7.5497;-0.03779;6.86476;0.684936;0.684936
44;22.2296;-0.972529;7.387;-0.972529;7.387;-1.51305;6.84648;0.540525;0.540525
45;9.58617;-1.21087;7.37422;-1.21087;7.37422;-1.73123;6.85387;0.520357;0.520357
46;27.1874;0.304754;7.46055;0.304754;7.46055;-0.345977;6.80982;0.650731;0.650731
47;19.5993;-1.26777;7.337;-1.26777;7.337;-1.78109;6.82368;0.513316;0.513316
48;27.0468;0.996337;7.54272;0.996337;7.54272;0.282507;6.82889;0.713829;0.713829
49;23.1258;1.17092;7.54547;1.17092;7.54547;0.442668;6.81723;0.728248;0.728248
50;39.1312;0.64848;7.55154;0.64848;7.55154;-0.0382896;6.86477;0.68677;0.68677
51;22.2312;-0.971247;7.3888;-0.971247;7.3888;-1.5136;6.84644;0.542354;0.542354
52;9.58713;-1.20948;7.37604;-1.20948;7.37604;-1.73167;6.85384;0.522198;0.522198
53;27.1879;0.306294;7.46243;0.306294;7.46243;-0.346291;6.80985;0.652585;0.652585
54;19.6019;-1.26632;7.33882;-1.26632;7.33882;-1.78148;6.82366;0.515162;0.515162
55;27.0458;0.997717;7.5446;0.997717;7.5446;0.282049;6.82893;0.715668;0.715668
56;23.1252;1.17225;7.54733;1.17225;7.54733;0.442173;6.81725;0.730082;0.730082
57;39.1304;0.649813;7.55338;0.649813;7.55338;-0.0387889;6.86478;0.688602;0.688602
58;22.2329;-0.969966;7.39059;-0.969966;7.39059;-1.51415;6.84641;0.544183;0.544183
59;9.58809;-1.20808;7.37785;-1.20808;7.37785;-1.73212;6.85381;0.524039;0.524039
60;27.1884;0.307833;7.46431;0.307833;7.46431;-0.346605;6.80988;0.654438;0.654438
61;19.6045;-1.26487;7.34064;-1.26487;7.34064;-1.78188;6.82363;0.517007;0.517007
62;27.0448;0.999097;7.54648;0.999097;7.54648;0.28159;6.82897;0.717506;0.717506
63;23.1246;1.17359;7.54919;1.17359;7.54919;0.441679;6.81728;0.731915;0.731915
64;39.1296;0.651146;7.55523;0.651146;7.55523;-0.039288;6.86479;0.690434;0.690434
