Epoch;ErrorScore;w1;b1;b2
0;20.3598;3.47619;1.6316;2.50646
1;26.4462;5.39654;1.89045;4.16795
2;24.6922;6.83801;2.1804;5.31947
3;25.9762;7.03778;2.11295;5.58669
4;20.3315;6.9287;1.77303;5.81753
5;3.5035;9.01181;2.76486;6.9088
6;28.5516;8.44193;2.27853;6.82526
7;36.7796;6.81603;1.17506;6.30283
8;20.471;6.29026;0.730656;6.22146
9;35.6597;5.20701;-0.0299648;5.89884
10;10.0453;8.38737;1.64765;7.40158
11;33.5297;5.82606;0.150768;6.33715
12;10.492;7.73044;1.16526;7.22704
13;27.355;8.80119;1.81001;7.65303
14;38.0784;6.99248;0.815212;6.83913
15;25.5602;4.40539;-0.97011;6.03736
16;10.6182;3.78977;-1.66919;6.12083
17;25.7729;5.90276;-0.646309;7.21093
18;19.8255;3.55109;-2.18036;6.39331
19;26.8788;6.85041;-0.254771;7.76705
20;22.0428;6.93474;-0.0126496;7.60925
21;36.2718;6.05737;-0.429594;7.14882
22;21.4269;3.72364;-1.9302;6.31571
23;9.56338;3.44667;-2.32907;6.4376
24;26.6733;5.78538;-1.07497;7.52221
25;18.5695;3.42093;-2.49793;6.58072
26;27.7182;6.97622;-0.401904;8.03999
27;22.2822;7.04562;-0.100291;7.80777
28;36.1865;6.16142;-0.475324;7.2986
29;21.2576;3.75531;-1.96421;6.38139
30;9.5071;3.46507;-2.35026;6.47718
31;26.6973;5.80106;-1.08701;7.54992
32;18.5355;3.42542;-2.50638;6.59366
33;27.7457;6.98699;-0.405695;8.05454
34;22.2962;7.05303;-0.102618;7.81751
35;36.185;6.16698;-0.47651;7.30535
36;21.2528;3.7573;-1.96508;6.38424
37;9.50508;3.46617;-2.35076;6.47879
38;26.6977;5.80186;-1.08726;7.55098
39;18.5348;3.42571;-2.50655;6.59412
40;27.7463;6.98739;-0.405769;8.05502
41;22.2966;7.05329;-0.102666;7.81782
42;36.185;6.16716;-0.476534;7.30556
43;21.2527;3.75737;-1.9651;6.38432
44;9.50502;3.4662;-2.35077;6.47883
45;26.6977;5.80188;-1.08726;7.55101
46;18.5348;3.42572;-2.50655;6.59413
47;27.7463;6.9874;-0.40577;8.05503
48;22.2966;7.0533;-0.102666;7.81782
49;36.185;6.16717;-0.476534;7.30556
50;21.2527;3.75737;-1.9651;6.38433
51;9.50502;3.4662;-2.35077;6.47883
52;26.6977;5.80188;-1.08726;7.55101
53;18.5348;3.42572;-2.50655;6.59413
54;27.7463;6.9874;-0.40577;8.05503
55;22.2966;7.0533;-0.102666;7.81782
56;36.185;6.16717;-0.476534;7.30556
57;21.2527;3.75737;-1.9651;6.38433
58;9.50502;3.4662;-2.35077;6.47883
59;26.6977;5.80188;-1.08726;7.55101
60;18.5348;3.42572;-2.50655;6.59413
61;27.7463;6.9874;-0.40577;8.05503
62;22.2966;7.0533;-0.102666;7.81782
63;36.185;6.16717;-0.476534;7.30556
64;21.2527;3.75737;-1.9651;6.38433
65;9.50502;3.4662;-2.35077;6.47883
66;26.6977;5.80188;-1.08726;7.55101
67;18.5348;3.42572;-2.50655;6.59413
68;27.7463;6.9874;-0.40577;8.05503
69;22.2966;7.0533;-0.102666;7.81782
70;36.185;6.16717;-0.476534;7.30556
71;21.2527;3.75737;-1.9651;6.38433
