Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;39.021;0.60792;3.08785;0.60792;3.08785;0.395705;2.87563;0.212215;0.212215
1;43.7707;0.24577;4.53975;0.24577;4.53975;0.0205186;4.3145;0.225252;0.225252
2;24.7398;-1.34819;5.71962;-1.34819;5.71962;-1.43138;5.63644;0.0831841;0.0831841
3;10.2645;-1.61505;6.37641;-1.61505;6.37641;-1.6774;6.31406;0.0623479;0.0623479
4;27.351;-0.119059;6.92074;-0.119059;6.92074;-0.313552;6.72625;0.194493;0.194493
5;19.1652;-1.69946;6.83972;-1.69946;6.83972;-1.72432;6.81486;0.0248621;0.0248621
6;27.4329;0.61705;7.26857;0.61705;7.26857;0.374526;7.02604;0.242524;0.242524
7;22.9261;0.80966;7.20401;0.80966;7.20401;0.560404;6.95476;0.249256;0.249256
8;38.7033;0.266858;7.1133;0.266858;7.1133;0.0956204;6.94206;0.171237;0.171237
9;21.9248;-1.37563;6.89786;-1.37563;6.89786;-1.37212;6.90136;-0.00350198;-0.00350198
10;9.64317;-1.67521;7.0635;-1.67521;7.0635;-1.63234;7.10636;-0.0428669;-0.0428669
11;27.2889;-0.225574;7.28162;-0.225574;7.28162;-0.280066;7.22712;0.0544921;0.0544921
12;19.2358;-1.79999;7.10597;-1.79999;7.10597;-1.69637;7.20959;-0.103622;-0.103622
13;27.5789;0.477846;7.39738;0.477846;7.39738;0.399235;7.31877;0.078611;0.078611
14;22.7812;0.674212;7.22358;0.674212;7.22358;0.596358;7.14572;0.0778537;0.0778537
15;38.3824;0.145153;7.10229;0.145153;7.10229;0.138388;7.09552;0.00676494;0.00676494
16;22.021;-1.48271;6.9618;-1.48271;6.9618;-1.33285;7.11165;-0.149858;-0.149858
17;9.75829;-1.80265;7.15637;-1.80265;7.15637;-1.61023;7.34879;-0.192417;-0.192417
18;27.3587;-0.388756;7.34939;-0.388756;7.34939;-0.270152;7.46799;-0.118604;-0.118604
19;19.2302;-1.94423;7.1914;-1.94423;7.1914;-1.68669;7.44894;-0.257537;-0.257537
20;27.7209;0.300922;7.43147;0.300922;7.43147;0.411077;7.54162;-0.110156;-0.110156
21;22.5656;0.514287;7.21447;0.514287;7.21447;0.627161;7.32734;-0.112873;-0.112873
22;37.9926;0.00397603;7.06199;0.00397603;7.06199;0.176924;7.23494;-0.172948;-0.172948
23;22;-1.60966;6.98076;-1.60966;6.98076;-1.30081;7.28962;-0.308853;-0.308853
24;9.74521;-1.94701;7.11753;-1.94701;7.11753;-1.5951;7.46944;-0.351914;-0.351914
25;27.3529;-0.568181;7.29331;-0.568181;7.29331;-0.268049;7.59344;-0.300132;-0.300132
26;19.2038;-2.10495;7.13079;-2.10495;7.13079;-1.68733;7.5484;-0.417612;-0.417612
27;27.784;0.103729;7.40125;0.103729;7.40125;0.408342;7.70586;-0.304613;-0.304613
28;22.4341;0.338549;7.13908;0.338549;7.13908;0.642818;7.44335;-0.304268;-0.304268
29;37.5751;-0.151603;7.10224;-0.151603;7.10224;0.199552;7.4534;-0.351155;-0.351155
30;21.8845;-1.74877;6.99186;-1.74877;6.99186;-1.28451;7.45612;-0.464266;-0.464266
31;9.7162;-2.09914;7.05439;-2.09914;7.05439;-1.59464;7.55889;-0.504501;-0.504501
32;27.309;-0.750855;7.17353;-0.750855;7.17353;-0.279558;7.64482;-0.471297;-0.471297
33;19.1856;-2.27084;7.00877;-2.27084;7.00877;-1.70306;7.57655;-0.567782;-0.567782
34;27.8166;-0.0984808;7.27358;-0.0984808;7.27358;0.38762;7.75968;-0.486101;-0.486101
35;22.2499;0.157565;7.0797;0.157565;7.0797;0.637351;7.55949;-0.479786;-0.479786
36;37.2315;-0.316797;7.12205;-0.316797;7.12205;0.201958;7.64081;-0.518755;-0.518755
37;21.7726;-1.89535;6.9552;-1.89535;6.9552;-1.28704;7.56351;-0.608308;-0.608308
38;9.70297;-2.25663;6.97027;-2.25663;6.97027;-1.61248;7.61442;-0.644151;-0.644151
39;27.2499;-0.936599;7.04839;-0.936599;7.04839;-0.31006;7.67493;-0.626539;-0.626539
40;19.1581;-2.44108;6.8887;-2.44108;6.8887;-1.73772;7.59206;-0.703363;-0.703363
41;27.8233;-0.303006;7.12497;-0.303006;7.12497;0.346171;7.77414;-0.649177;-0.649177
42;22.1204;-0.0321485;7.13168;-0.0321485;7.13168;0.612519;7.77635;-0.644667;-0.644667
43;36.8738;-0.487551;7.14188;-0.487551;7.14188;0.18502;7.81445;-0.672571;-0.672571
44;21.6423;-2.04584;6.91926;-2.04584;6.91926;-1.30826;7.65684;-0.737579;-0.737579
45;9.68743;-2.41668;6.89539;-2.41668;6.89539;-1.64878;7.66329;-0.767906;-0.767906
46;27.156;-1.12345;6.94235;-1.12345;6.94235;-0.360537;7.70526;-0.76291;-0.76291
47;19.0949;-2.61323;6.78996;-2.61323;6.78996;-1.79177;7.61142;-0.821458;-0.821458
48;27.8037;-0.507263;7.00164;-0.507263;7.00164;0.283426;7.79233;-0.790689;-0.790689
49;22.1847;-0.230447;6.96549;-0.230447;6.96549;0.563433;7.75937;-0.79388;-0.79388
50;36.6009;-0.66961;6.9919;-0.66961;6.9919;0.145267;7.80678;-0.814877;-0.814877
51;21.5027;-2.21142;6.80964;-2.21142;6.80964;-1.35139;7.66967;-0.860029;-0.860029
52;9.64195;-2.59416;6.78873;-2.59416;6.78873;-1.70845;7.67444;-0.88571;-0.88571
