Epoch;ErrorScore;w1;b1;b2
0;20.6974;3.5373;1.6279;2.50003
1;26.4648;5.3039;1.88827;4.16504
2;24.6954;6.53625;2.17923;5.31796
3;25.9769;6.78697;2.11245;5.58593
4;20.3318;6.86928;1.77277;5.81722
5;3.50414;8.41012;2.7647;6.90869
6;28.5514;8.09448;2.27845;6.82524
7;36.7794;7.10279;1.17501;6.30282
8;20.471;6.93131;0.730628;6.22145
9;35.6597;6.33893;-0.0299769;5.89883
10;10.0453;8.54609;1.64764;7.40158
11;33.5297;7.02174;0.15076;6.33714
12;10.492;8.34083;1.16526;7.22703
13;27.355;9.04458;1.81001;7.65303
14;38.0784;7.91624;0.815209;6.8391
15;25.5601;6.45443;-0.970121;6.0372
16;10.6184;6.32281;-1.6692;6.12075
17;25.773;7.841;-0.646311;7.21096
18;19.825;6.48932;-2.18042;6.39176
19;26.8787;8.48003;-0.254789;7.76547
20;22.0418;8.34501;-0.0126311;7.60825
21;36.2719;7.89972;-0.42958;7.14801
22;21.4273;6.56508;-1.93017;6.31504
23;9.56379;6.59356;-2.32907;6.43726
24;26.6735;8.14694;-1.07498;7.52215
25;18.5694;6.73498;-2.49796;6.57886
26;27.7178;8.80969;-0.401919;8.03812
27;22.2807;8.59318;-0.100272;7.80659
28;36.1866;8.11592;-0.475312;7.29769
29;21.258;6.71368;-1.96419;6.3807
30;9.50749;6.71893;-2.35026;6.47683
31;26.6975;8.25772;-1.08702;7.54985
32;18.5354;6.83415;-2.50641;6.59179
33;27.7452;8.90827;-0.40571;8.05267
34;22.2946;8.68616;-0.102599;7.81633
35;36.1851;8.2065;-0.476498;7.30444
36;21.2532;6.801;-1.96505;6.38355
37;9.50547;6.80505;-2.35076;6.47843
38;26.6979;8.34316;-1.08727;7.5509
39;18.5347;6.91908;-2.50658;6.59225
40;27.7459;8.99312;-0.405784;8.05314
41;22.2951;8.77082;-0.102647;7.81663
42;36.1851;8.29107;-0.476522;7.30464
43;21.2531;6.88547;-1.96507;6.38363
44;9.50542;6.88949;-2.35077;6.47848
45;26.6979;8.42757;-1.08727;7.55093
46;18.5347;7.00348;-2.50658;6.59226
47;27.7459;9.07751;-0.405785;8.05315
48;22.2951;8.85521;-0.102648;7.81663
49;36.1851;8.37546;-0.476523;7.30464
50;21.2531;6.96986;-1.96507;6.38363
51;9.50542;6.97387;-2.35077;6.47848
52;26.6979;8.51196;-1.08727;7.55093
53;18.5347;7.08786;-2.50658;6.59225
54;27.7459;9.1619;-0.405785;8.05314
55;22.2951;8.9396;-0.102648;7.81663
56;36.1851;8.45984;-0.476523;7.30464
57;21.2531;7.05424;-1.96507;6.38362
58;9.50542;7.05826;-2.35077;6.47847
59;26.6979;8.59634;-1.08727;7.55093
60;18.5347;7.17224;-2.50658;6.59224
61;27.7459;9.24628;-0.405785;8.05314
62;22.2951;9.02398;-0.102648;7.81663
63;36.1851;8.54423;-0.476522;7.30464
64;21.2531;7.13863;-1.96507;6.38362
65;9.50542;7.14265;-2.35077;6.47847
66;26.6979;8.68073;-1.08727;7.55093
67;18.5347;7.25663;-2.50658;6.59224
68;27.7459;9.33067;-0.405785;8.05313
69;22.2951;9.10837;-0.102648;7.81662
70;36.1851;8.62862;-0.476522;7.30463
71;21.2531;7.22302;-1.96507;6.38361
72;9.50542;7.22704;-2.35077;6.47847
73;26.6979;8.76512;-1.08727;7.55092
74;18.5347;7.34102;-2.50658;6.59223
75;27.7459;9.41506;-0.405785;8.05312
76;22.2951;9.19276;-0.102648;7.81662
77;36.1851;8.71301;-0.476522;7.30463
78;21.2531;7.30741;-1.96507;6.38361
79;9.50543;7.31143;-2.35077;6.47847
80;26.6979;8.84951;-1.08727;7.55092
81;18.5347;7.42541;-2.50658;6.59223
82;27.7459;9.49945;-0.405785;8.05312
83;22.2951;9.27715;-0.102647;7.81661
84;36.1851;8.7974;-0.476522;7.30463
85;21.2531;7.3918;-1.96507;6.38361
86;9.50543;7.39582;-2.35077;6.47847
87;26.6979;8.93391;-1.08727;7.55092
88;18.5347;7.5098;-2.50658;6.59222
89;27.7459;9.58384;-0.405786;8.05311
90;22.2951;9.36155;-0.102647;7.81661
91;36.1851;8.88179;-0.476522;7.30462
92;21.2531;7.47619;-1.96507;6.38361
93;9.50543;7.48021;-2.35077;6.47847
94;26.6979;9.0183;-1.08727;7.55092
95;18.5347;7.59419;-2.50658;6.59222
96;27.7459;9.66823;-0.405786;8.05311
97;22.2951;9.44594;-0.102647;7.81661
98;36.1851;8.96618;-0.476522;7.30462
99;21.2531;7.56058;-1.96507;6.3836
100;9.50543;7.56461;-2.35077;6.47846
101;26.6979;9.1027;-1.08727;7.55092
102;18.5347;7.67858;-2.50658;6.59222
103;27.7459;9.75262;-0.405786;8.05311
104;22.295;9.53034;-0.102647;7.81661
105;36.1851;9.05058;-0.476522;7.30462
106;21.2531;7.64498;-1.96507;6.3836
107;9.50543;7.64901;-2.35077;6.47846
108;26.6979;9.18709;-1.08728;7.55092
109;18.5347;7.76298;-2.50658;6.59221
110;27.7459;9.83702;-0.405786;8.0531
111;22.295;9.61473;-0.102647;7.8166
112;36.1851;9.13497;-0.476522;7.30461
113;21.2531;7.72937;-1.96507;6.3836
114;9.50543;7.7334;-2.35077;6.47846
115;26.6979;9.27149;-1.08728;7.55092
116;18.5347;7.84737;-2.50658;6.59221
117;27.7459;9.92142;-0.405786;8.0531
118;22.295;9.69913;-0.102647;7.8166
