Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;38.8515;0.748377;3.19786;0.748377;3.19786;0.383308;2.87651;0.197896;0.197896
1;43.8314;0.483684;4.75654;0.483684;4.75654;-0.0249077;4.31178;0.219251;0.219251
2;25.0781;-0.958484;6.21391;-0.958484;6.21391;-1.49981;5.62679;0.0786095;0.0786095
3;10.4363;-1.1429;6.96243;-1.1429;6.96243;-1.76024;6.30164;0.0562611;0.0562611
4;27.3137;0.396121;7.36414;0.396121;7.36414;-0.39355;6.70644;0.190848;0.190848
5;19.7585;-1.15581;7.52644;-1.15581;7.52644;-1.83656;6.78923;0.0201652;0.0201652
6;27.169;1.11397;7.67156;1.11397;7.67156;0.236832;7.00719;0.237397;0.237397
7;22.8365;1.28996;7.59011;1.28996;7.59011;0.404907;6.94184;0.242768;0.242768
8;38.4447;0.770275;7.59634;0.770275;7.59634;-0.0735986;6.91948;0.165342;0.165342
9;22.1501;-0.838939;7.62196;-0.838939;7.62196;-1.55497;6.86653;-0.00689632;-0.00689632
10;9.82949;-1.0774;7.87234;-1.0774;7.87234;-1.80429;7.08457;-0.0447085;-0.0447085
11;27.3755;0.426987;7.92251;0.426987;7.92251;-0.42591;7.1778;0.0557226;0.0557226
12;19.7457;-1.1314;7.98929;-1.1314;7.98929;-1.86482;7.16102;-0.101211;-0.101211
13;27.2914;1.14003;8.0512;1.14003;8.0512;0.218765;7.30775;0.0864334;0.0864334
14;22.7809;1.31274;7.85019;1.31274;7.85019;0.394652;7.13511;0.082944;0.082944
15;38.2327;0.793254;7.79137;0.793254;7.79137;-0.0767824;7.05012;0.01155;0.01155
16;22.212;-0.809801;7.88154;-0.809801;7.88154;-1.55778;7.04846;-0.142633;-0.142633
17;9.94752;-1.05409;8.18782;-1.05409;8.18782;-1.81917;7.31801;-0.183382;-0.183382
18;27.4926;0.437911;8.19244;0.437911;8.19244;-0.44745;7.37119;-0.105944;-0.105944
19;19.7248;-1.11786;8.26576;-1.11786;8.26576;-1.88422;7.35622;-0.243402;-0.243402
20;27.3462;1.15949;8.32521;1.15949;8.32521;0.205438;7.50533;-0.0863546;-0.0863546
21;22.6456;1.34006;8.08996;1.34006;8.08996;0.392219;7.30285;-0.0933869;-0.0933869
22;38.0118;0.822332;7.99498;0.822332;7.99498;-0.0731997;7.17788;-0.156097;-0.156097
23;22.1023;-0.781284;8.10093;-0.781284;8.10093;-1.55568;7.1932;-0.290118;-0.290118
24;9.90487;-1.04525;8.3625;-1.04525;8.3625;-1.82967;7.4215;-0.332011;-0.332011
25;27.5441;0.434818;8.35875;0.434818;8.35875;-0.46811;7.46866;-0.27484;-0.27484
26;19.4603;-1.11578;8.45328;-1.11578;8.45328;-1.90271;7.48172;-0.389629;-0.389629
27;27.4669;1.16402;8.48653;1.16402;8.48653;0.192097;7.61245;-0.261962;-0.261962
28;22.5492;1.35747;8.21967;1.35747;8.21967;0.39387;7.38255;-0.26795;-0.26795
29;37.7967;0.848639;8.1329;0.848639;8.1329;-0.0633297;7.25708;-0.320245;-0.320245
30;21.9272;-0.757607;8.23394;-0.757607;8.23394;-1.54806;7.27503;-0.433327;-0.433327
31;9.84549;-1.04247;8.45524;-1.04247;8.45524;-1.83634;7.46586;-0.47452;-0.47452
32;27.5158;0.421521;8.4339;0.421521;8.4339;-0.487385;7.49723;-0.434556;-0.434556
33;19.2145;-1.12136;8.56944;-1.12136;8.56944;-1.91999;7.55963;-0.528901;-0.528901
34;27.5646;1.15988;8.58934;1.15988;8.58934;0.177635;7.68144;-0.427936;-0.427936
35;22.4481;1.37029;8.29357;1.37029;8.29357;0.397839;7.42669;-0.430955;-0.430955
36;37.5365;0.87208;8.20573;0.87208;8.20573;-0.0493241;7.2979;-0.47252;-0.47252
37;21.7877;-0.734964;8.31597;-0.734964;8.31597;-1.53628;7.32493;-0.565225;-0.565225
38;9.7969;-1.04011;8.51076;-1.04011;8.51076;-1.83997;7.49085;-0.604905;-0.604905
39;27.4466;0.405837;8.47703;0.405837;8.47703;-0.506044;7.51073;-0.579809;-0.579809
40;19.0677;-1.13369;8.61387;-1.13369;8.61387;-1.93606;7.5762;-0.656619;-0.656619
41;27.5994;1.15233;8.67684;1.15233;8.67684;0.161223;7.73535;-0.580074;-0.580074
42;22.3376;1.38337;8.36127;1.38337;8.36127;0.402419;7.46402;-0.579748;-0.579748
43;37.2392;0.898766;8.28123;0.898766;8.28123;-0.033251;7.34189;-0.611063;-0.611063
44;21.6623;-0.706125;8.42684;-0.706125;8.42684;-1.52273;7.40377;-0.684554;-0.684554
45;9.74743;-1.03314;8.58028;-1.03314;8.58028;-1.84156;7.53108;-0.721268;-0.721268
46;27.3417;0.393178;8.53297;0.393178;8.53297;-0.523899;7.53932;-0.708378;-0.708378
47;18.9408;-1.14529;8.65465;-1.14529;8.65465;-1.95157;7.5906;-0.769154;-0.769154
48;27.6498;1.1412;8.74228;1.1412;8.74228;0.143484;7.77115;-0.715008;-0.715008
49;22.208;1.39696;8.43466;1.39696;8.43466;0.40664;7.50754;-0.71143;-0.71143
50;36.953;0.930021;8.38698;0.930021;8.38698;-0.0165383;7.41429;-0.734044;-0.734044
51;21.5494;-0.675569;8.53818;-0.675569;8.53818;-1.50789;7.48595;-0.789751;-0.789751
52;9.70113;-1.02338;8.6498;-1.02338;8.6498;-1.8409;7.57422;-0.822422;-0.822422
53;27.159;0.386509;8.61903;0.386509;8.61903;-0.539928;7.60083;-0.818761;-0.818761
54;18.8239;-1.1536;8.70623;-1.1536;8.70623;-1.96563;7.61929;-0.864223;-0.864223
55;27.6743;1.12913;8.7945;1.12913;8.7945;0.126024;7.80095;-0.828757;-0.828757
56;22.0956;1.41122;8.52204;1.41122;8.52204;0.40988;7.56876;-0.822802;-0.822802
57;36.6947;0.960417;8.48989;0.960417;8.48989;-0.000368793;7.49033;-0.838312;-0.838312
58;21.4493;-0.648587;8.61708;-0.648587;8.61708;-1.4927;7.54158;-0.878405;-0.878405
59;9.64679;-1.01321;8.70469;-1.01321;8.70469;-1.83839;7.60715;-0.906973;-0.906973
60;26.9219;0.386357;8.73287;0.386357;8.73287;-0.553361;7.69205;-0.910586;-0.910586
61;18.7218;-1.15775;8.76877;-1.15775;8.76877;-1.97741;7.66162;-0.941267;-0.941267
62;27.6726;1.12127;8.8634;1.12127;8.8634;0.110314;7.84913;-0.920483;-0.920483
63;21.9914;1.42649;8.62529;1.42649;8.62529;0.412286;7.64848;-0.912751;-0.912751
64;36.4471;0.990186;8.60471;0.990186;8.60471;0.0139009;7.58444;-0.922198;-0.922198
65;21.3546;-0.624419;8.6842;-0.624419;8.6842;-1.47886;7.59094;-0.948292;-0.948292
66;9.5716;-1.00206;8.75749;-1.00206;8.75749;-1.8349;7.64269;-0.972545;-0.972545
67;26.7323;0.388315;8.82796;0.388315;8.82796;-0.563018;7.76661;-0.982032;-0.982032
68;18.649;-1.15939;8.8219;-1.15939;8.8219;-1.98599;7.69618;-1.00056;-1.00056
69;27.658;1.11743;8.93582;1.11743;8.93582;0.0978143;7.89994;-0.991065;-0.991065
70;21.8841;1.4437;8.75015;1.4437;8.75015;0.414403;7.7475;-0.982084;-0.982084
71;36.2418;1.01966;8.74163;1.01966;8.74163;0.0257748;7.70136;-0.986653;-0.986653
72;21.274;-0.602125;8.75681;-0.602125;8.75681;-1.46714;7.64672;-1.00001;-1.00001
73;9.4994;-0.990166;8.81451;-0.990166;8.81451;-1.83099;7.68354;-1.01988;-1.01988
74;26.61;0.391091;8.89718;0.391091;8.89718;-0.568811;7.81704;-1.03344;-1.03344
75;18.6028;-1.15933;8.86271;-1.15933;8.86271;-1.9913;7.71953;-1.04309;-1.04309
76;27.6515;1.11542;8.99197;1.11542;8.99197;0.0890558;7.93608;-1.04183;-1.04183
77;21.8172;1.4578;8.85286;1.4578;8.85286;0.416246;7.82637;-1.03246;-1.03246
78;36.0987;1.04285;8.85122;1.04285;8.85122;0.0350701;7.79273;-1.0336;-1.0336
79;21.2199;-0.584527;8.81548;-0.584527;8.81548;-1.45786;7.6896;-1.03712;-1.03712
80;9.45153;-0.98025;8.86092;-0.98025;8.86092;-1.82741;7.71469;-1.0536;-1.0536
81;26.5358;0.393425;8.94422;0.393425;8.94422;-0.572212;7.8475;-1.07;-1.07
82;18.5734;-1.15879;8.89257;-1.15879;8.89257;-1.99456;7.7336;-1.07344;-1.07344
83;27.6498;1.11379;9.02968;1.11379;9.02968;0.0830288;7.95668;-1.07815;-1.07815
84;21.7811;1.46702;8.91823;1.46702;8.91823;0.417687;7.87242;-1.06888;-1.06888
85;36.0013;1.05868;8.92029;1.05868;8.92029;0.0421127;7.84599;-1.06773;-1.06773
86;21.1849;-0.571887;8.85478;-0.571887;8.85478;-1.45076;7.71451;-1.06441;-1.06441
87;9.42327;-0.972989;8.89354;-0.972989;8.89354;-1.82452;7.73314;-1.07864;-1.07864
88;26.4874;0.3949;8.97608;0.3949;8.97608;-0.574526;7.86441;-1.09726;-1.09726
89;18.5529;-1.15836;8.91489;-1.15836;8.91489;-1.99683;7.7414;-1.09629;-1.09629
90;27.649;1.1123;9.0561;1.1123;9.0561;0.0785712;7.96786;-1.10553;-1.10553
