Epoch;ErrorScore;w1;b1;b2
0;19.9273;3.39045;1.65689;2.41104
1;26.6265;5.51318;1.72351;4.26782
2;24.2116;7.01565;2.00363;5.24231
3;25.9358;7.4539;1.96373;5.70328
4;19.9512;7.43687;1.60902;6.19477
5;3.6841;9.44606;2.55867;6.69233
6;28.1218;8.93723;2.13156;6.76982
7;36.1914;7.26865;1.05227;6.7689
8;20.0742;6.56561;0.604177;6.82353
9;35.1666;5.34238;-0.106742;6.79953
10;9.99326;8.3533;1.59243;7.03669
11;33.247;5.772;0.0820642;6.90799
12;10.4872;7.56533;1.10415;7.03743
13;27.3477;8.70837;1.78709;7.10369
14;38.0094;7.03473;0.804783;6.98899
15;25.0119;3.91881;-1.02837;6.87033
16;9.99338;2.77113;-1.70688;6.88098
17;25.4303;4.7006;-0.651228;7.0338
18;19.6117;2.08397;-2.18207;6.92096
19;26.8931;5.53064;-0.255315;7.09566
20;21.7544;5.94888;-0.000252117;7.07173
21;36.2534;5.16099;-0.427173;7.02413
22;21.2292;2.59019;-1.92903;6.90991
23;9.31522;1.96435;-2.30004;6.92464
24;26.3885;4.22542;-1.04106;7.07555
25;18.5487;1.76723;-2.46821;6.95042
26;27.7746;5.49962;-0.381206;7.12951
27;21.7551;5.99622;-0.0761034;7.09487
28;36.1729;5.26292;-0.468162;7.04203
29;21.1146;2.69969;-1.95976;6.9191
30;9.30004;2.08829;-2.32058;6.9303
31;26.4062;4.36032;-1.05569;7.07697
32;18.5102;1.90703;-2.47901;6.95066
33;27.6422;5.63271;-0.395821;7.1293
34;21.7555;6.14004;-0.0847506;7.09508
35;36.164;5.41384;-0.472776;7.0424
36;21.1019;2.85242;-1.96316;6.91922
37;9.29848;2.243;-2.32281;6.93044
38;26.4023;4.51723;-1.05759;7.07583
39;18.5052;2.06445;-2.4804;6.94942
40;27.5795;5.78433;-0.400451;7.12802
41;21.7555;6.29552;-0.0874444;7.0944
42;36.1611;5.57179;-0.474197;7.04198
43;21.098;3.01119;-1.96419;6.91892
44;9.29803;2.40253;-2.32348;6.93031
45;26.4012;4.67793;-1.05816;7.07523
46;18.5037;2.22481;-2.48084;6.9485
47;27.5603;5.94289;-0.401884;7.12713
48;21.7554;6.45545;-0.0882606;7.09389
49;36.1603;5.73255;-0.474622;7.04161
50;21.0969;3.1723;-1.96449;6.91865
51;9.29792;2.56394;-2.32367;6.93017
52;26.4009;4.84;-1.05832;7.07496
53;18.5032;2.38629;-2.48099;6.94782
54;27.5549;6.10384;-0.4023;7.12648
55;21.7554;6.61694;-0.0884837;7.09349
56;36.1601;5.89434;-0.474734;7.04131
57;21.0966;3.33427;-1.96457;6.91841
58;9.2979;2.72606;-2.32371;6.93004
59;26.4008;5.00251;-1.05836;7.07484
60;18.5031;2.54817;-2.48105;6.94728
61;27.5534;6.26557;-0.402421;7.12597
62;21.7553;6.77894;-0.0885371;7.09317
63;36.16;6.05647;-0.474757;7.04105
64;21.0965;3.49651;-1.96458;6.91821
65;9.29792;2.8884;-2.32371;6.92994
66;26.4007;5.16511;-1.05836;7.07478
67;18.503;2.71018;-2.48108;6.94684
68;27.553;6.42752;-0.402459;7.12555
69;21.7553;6.94107;-0.0885446;7.09291
70;36.16;6.21868;-0.474757;7.04084
71;21.0965;3.6588;-1.96458;6.91804
72;9.29793;3.05076;-2.3237;6.92985
73;26.4007;5.32764;-1.05835;7.07476
74;18.503;2.87219;-2.4811;6.94647
75;27.553;6.58951;-0.402473;7.1252
76;21.7553;7.1032;-0.0885407;7.09269
77;36.16;6.38086;-0.474752;7.04066
78;21.0966;3.82105;-1.96457;6.9179
79;9.29795;3.21306;-2.32369;6.92977
80;26.4007;5.49008;-1.05834;7.07474
81;18.503;3.03417;-2.48111;6.94615
82;27.553;6.75148;-0.40248;7.1249
83;21.7552;7.26528;-0.0885345;7.0925
84;36.16;6.54299;-0.474745;7.04051
85;21.0966;3.98323;-1.96456;6.91778
86;9.29796;3.37529;-2.32368;6.92971
87;26.4007;5.6524;-1.05833;7.07472
88;18.5031;3.19611;-2.48112;6.94588
89;27.553;6.9134;-0.402485;7.12465
90;21.7552;7.4273;-0.0885284;7.09234
91;36.16;6.70504;-0.474739;7.04038
92;21.0966;4.14533;-1.96456;6.91767
93;9.29797;3.53744;-2.32367;6.92965
94;26.4006;5.81461;-1.05832;7.07471
95;18.5031;3.35799;-2.48113;6.94565
96;27.553;7.07527;-0.402489;7.12443
97;21.7552;7.58925;-0.088523;7.0922
98;36.16;6.86703;-0.474734;7.04027
99;21.0966;4.30736;-1.96455;6.91759
100;9.29798;3.6995;-2.32366;6.92961
101;26.4006;5.97672;-1.05831;7.0747
102;18.5031;3.51982;-2.48114;6.94546
103;27.553;7.23709;-0.402492;7.12425
104;21.7552;7.75114;-0.0885182;7.09208
105;36.16;7.02895;-0.47473;7.04018
106;21.0967;4.46931;-1.96455;6.91751
107;9.29799;3.86149;-2.32366;6.92957
108;26.4006;6.13874;-1.05831;7.07469
109;18.5031;3.6816;-2.48115;6.94529
110;27.5531;7.39887;-0.402495;7.12409
111;21.7552;7.91298;-0.0885141;7.09198
112;36.16;7.19081;-0.474726;7.04009
113;21.0967;4.6312;-1.96454;6.91745
114;9.298;4.0234;-2.32365;6.92953
115;26.4006;6.30068;-1.0583;7.07467
116;18.5031;3.84334;-2.48116;6.94514
117;27.5531;7.5606;-0.402497;7.12395
118;21.7552;8.07476;-0.0885106;7.09189
119;36.16;7.35261;-0.474723;7.04003
120;21.0967;4.79303;-1.96454;6.91739
121;9.29801;4.18525;-2.32365;6.9295
122;26.4006;6.46256;-1.0583;7.07466
123;18.5031;4.00504;-2.48116;6.94502
124;27.5531;7.7223;-0.402499;7.12383
125;21.7551;8.2365;-0.0885075;7.09182
126;36.16;7.51437;-0.47472;7.03997
127;21.0967;4.95481;-1.96453;6.91735
128;9.29801;4.34705;-2.32365;6.92948
129;26.4006;6.62437;-1.0583;7.07465
130;18.5031;4.1667;-2.48117;6.94491
131;27.5531;7.88396;-0.4025;7.12373
132;21.7551;8.3982;-0.0885049;7.09176
133;36.16;7.67608;-0.474718;7.03992
134;21.0967;5.11654;-1.96453;6.91731
135;9.29802;4.5088;-2.32364;6.92946
136;26.4006;6.78613;-1.05829;7.07464
137;18.5031;4.32834;-2.48117;6.94482
138;27.5531;8.04559;-0.402502;7.12365
139;21.7551;8.55987;-0.0885027;7.0917
140;36.16;7.83776;-0.474716;7.03987
141;21.0967;5.27823;-1.96453;6.91727
142;9.29802;4.67051;-2.32364;6.92944
143;26.4006;6.94784;-1.05829;7.07464
144;18.5031;4.48995;-2.48117;6.94475
145;27.5531;8.2072;-0.402503;7.12358
146;21.7551;8.7215;-0.0885008;7.09166
147;36.16;7.99941;-0.474714;7.03984
148;21.0967;5.43989;-1.96453;6.91724
149;9.29802;4.83218;-2.32364;6.92942
150;26.4006;7.10952;-1.05829;7.07463
151;18.5031;4.65153;-2.48118;6.94468
152;27.5531;8.36879;-0.402504;7.12352
153;21.7551;8.88311;-0.0884991;7.09162
154;36.16;8.16102;-0.474712;7.03981
155;21.0967;5.60152;-1.96453;6.91722
156;9.29803;4.99381;-2.32363;6.92941
157;26.4006;7.27117;-1.05829;7.07462
158;18.5032;4.8131;-2.48118;6.94462
159;27.5531;8.53035;-0.402504;7.12346
160;21.7551;9.04469;-0.0884977;7.09159
161;36.16;8.32262;-0.474711;7.03978
162;21.0967;5.76312;-1.96452;6.9172
163;9.29803;5.15542;-2.32363;6.9294
164;26.4006;7.43278;-1.05828;7.07462
165;18.5032;4.97465;-2.48118;6.94458
166;27.5531;8.6919;-0.402505;7.12342
167;21.7551;9.20626;-0.0884965;7.09156
168;36.16;8.48419;-0.47471;7.03976
169;21.0968;5.9247;-1.96452;6.91718
170;9.29803;5.31701;-2.32363;6.92939
171;26.4006;7.59437;-1.05828;7.07461
172;18.5032;5.13619;-2.48118;6.94454
173;27.5531;8.85343;-0.402506;7.12338
174;21.7551;9.36781;-0.0884955;7.09153
175;36.16;8.64574;-0.474709;7.03974
176;21.0968;6.08626;-1.96452;6.91716
177;9.29803;5.47858;-2.32363;6.92938
178;26.4006;7.75594;-1.05828;7.07461
179;18.5032;5.29771;-2.48119;6.9445
180;27.5532;9.01495;-0.402506;7.12335
181;21.7551;9.52934;-0.0884946;7.09151
182;36.16;8.80728;-0.474708;7.03972
183;21.0968;6.24781;-1.96452;6.91715
184;9.29803;5.64013;-2.32363;6.92937
185;26.4006;7.91749;-1.05828;7.07461
186;18.5032;5.45922;-2.48119;6.94447
187;27.5532;9.17646;-0.402506;7.12332
188;21.7551;9.69086;-0.0884939;7.0915
189;36.16;8.9688;-0.474707;7.03971
190;21.0968;6.40934;-1.96452;6.91714
191;9.29803;5.80166;-2.32363;6.92937
192;26.4006;8.07903;-1.05828;7.0746
193;18.5032;5.62072;-2.48119;6.94445
194;27.5532;9.33797;-0.402507;7.1233
195;21.7551;9.85237;-0.0884933;7.09148
196;36.16;9.13032;-0.474707;7.03969
197;21.0968;6.57086;-1.96452;6.91713
198;9.29804;5.96319;-2.32363;6.92936
199;26.4006;8.24055;-1.05828;7.0746
200;18.5032;5.78222;-2.48119;6.94442
201;27.5532;9.49946;-0.402507;7.12328
202;21.7551;10.0139;-0.0884927;7.09147
203;36.16;9.29182;-0.474706;7.03968
204;21.0968;6.73236;-1.96452;6.91712
205;9.29804;6.1247;-2.32363;6.92936
206;26.4006;8.40207;-1.05828;7.0746
207;18.5032;5.9437;-2.48119;6.94441
208;27.5532;9.66095;-0.402507;7.12326
209;21.7551;10.1754;-0.0884923;7.09146
210;36.16;9.45332;-0.474706;7.03968
211;21.0968;6.89386;-1.96452;6.91712
212;9.29804;6.2862;-2.32363;6.92935
213;26.4005;8.56357;-1.05828;7.0746
214;18.5032;6.10519;-2.48119;6.94439
215;27.5532;9.82243;-0.402508;7.12324
216;21.7551;10.3369;-0.0884919;7.09145
217;36.16;9.61481;-0.474706;7.03967
218;21.0968;7.05535;-1.96452;6.91711
219;9.29804;6.44769;-2.32363;6.92935
220;26.4005;8.72506;-1.05828;7.0746
221;18.5032;6.26666;-2.48119;6.94438
222;27.5532;9.9839;-0.402508;7.12323
223;21.7551;10.4983;-0.0884915;7.09144
224;36.16;9.77629;-0.474705;7.03966
225;21.0968;7.21684;-1.96452;6.91711
226;9.29804;6.60918;-2.32363;6.92935
227;26.4005;8.88655;-1.05828;7.07459
228;18.5032;6.42814;-2.48119;6.94437
229;27.5532;10.1454;-0.402508;7.12322
230;21.7551;10.6598;-0.0884912;7.09143
231;36.16;9.93777;-0.474705;7.03966
232;21.0968;7.37832;-1.96452;6.9171
233;9.29804;6.77066;-2.32363;6.92935
234;26.4005;9.04803;-1.05828;7.07459
235;18.5032;6.5896;-2.48119;6.94436
236;27.5532;10.3068;-0.402508;7.12321
237;21.7551;10.8213;-0.088491;7.09143
238;36.16;10.0992;-0.474705;7.03965
239;21.0968;7.53979;-1.96452;6.9171
240;9.29804;6.93214;-2.32362;6.92934
241;26.4005;9.20951;-1.05828;7.07459
242;18.5032;6.75107;-2.48119;6.94435
243;27.5532;10.4683;-0.402508;7.1232
244;21.7551;10.9828;-0.0884908;7.09142
245;36.16;10.2607;-0.474705;7.03965
246;21.0968;7.70127;-1.96452;6.9171
247;9.29804;7.09361;-2.32362;6.92934
248;26.4005;9.37098;-1.05828;7.07459
249;18.5032;6.91253;-2.48119;6.94434
250;27.5532;10.6298;-0.402508;7.1232
251;21.7551;11.1442;-0.0884906;7.09142
252;36.16;10.4222;-0.474704;7.03964
253;21.0968;7.86273;-1.96452;6.91709
254;9.29804;7.25508;-2.32362;6.92934
255;26.4005;9.53245;-1.05828;7.07459
256;18.5032;7.07399;-2.48119;6.94433
257;27.5532;10.7912;-0.402508;7.12319
258;21.7551;11.3057;-0.0884905;7.09142
259;36.16;10.5836;-0.474704;7.03964
260;21.0968;8.0242;-1.96452;6.91709
261;9.29804;7.41654;-2.32362;6.92934
262;26.4005;9.69392;-1.05828;7.07459
263;18.5032;7.23545;-2.48119;6.94433
