Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;38.8457;0.608606;3.09471;0.608606;3.09471;0.427939;2.86995;0.323323;0.323323
1;43.8258;0.250186;4.55275;0.250186;4.55275;0.0694985;4.30173;0.428552;0.428552
2;24.4327;-1.3553;5.61279;-1.3553;5.61279;-1.3624;5.64113;0.419484;0.419484
3;9.93577;-1.62537;6.14954;-1.62537;6.14954;-1.59655;6.21765;0.45305;0.45305
4;27.0731;-0.0796616;6.7644;-0.0796616;6.7644;-0.240008;6.46007;0.60981;0.60981
5;19.1465;-1.71823;6.56972;-1.71823;6.56972;-1.65608;6.66817;0.491382;0.491382
6;27.2233;0.669318;7.19196;0.669318;7.19196;0.413545;6.6973;0.697142;0.697142
7;23.28;0.862374;7.28543;0.862374;7.28543;0.578396;6.73921;0.717412;0.717412
8;39.4343;0.290951;7.21126;0.290951;7.21126;0.0998487;6.8201;0.678426;0.678426
9;21.8528;-1.41333;6.78544;-1.41333;6.78544;-1.35992;6.83851;0.537117;0.537117
10;9.36983;-1.70144;6.71771;-1.70144;6.71771;-1.59901;6.85201;0.515;0.515
11;27.0431;-0.165138;7.02516;-0.165138;7.02516;-0.244874;6.79653;0.642319;0.642319
12;18.902;-1.80664;6.63369;-1.80664;6.63369;-1.65423;6.82901;0.507331;0.507331
13;27.3357;0.593478;7.22021;0.593478;7.22021;0.427883;6.81479;0.710066;0.710066
14;23.2283;0.786971;7.26133;0.786971;7.26133;0.598405;6.80866;0.726183;0.726183
15;39.3513;0.218405;7.16069;0.218405;7.16069;0.124585;6.86576;0.685328;0.685328
16;21.7546;-1.48631;6.70759;-1.48631;6.70759;-1.3335;6.86038;0.541851;0.541851
17;9.3514;-1.78238;6.62677;-1.78238;6.62677;-1.57917;6.86355;0.518077;0.518077
18;27.0151;-0.253249;6.92678;-0.253249;6.92678;-0.231095;6.8026;0.644266;0.644266
19;18.7924;-1.89193;6.53218;-1.89193;6.53218;-1.63731;6.83197;0.509281;0.509281
20;27.4006;0.512511;7.11797;0.512511;7.11797;0.449907;6.81706;0.712448;0.712448
21;23.1455;0.711597;7.15959;0.711597;7.15959;0.625332;6.81006;0.72896;0.72896
22;39.2419;0.145831;7.05895;0.145831;7.05895;0.154221;6.86673;0.688328;0.688328
23;21.6688;-1.55931;6.60463;-1.55931;6.60463;-1.30351;6.86086;0.544838;0.544838
24;9.33856;-1.86489;6.52107;-1.86489;6.52107;-1.55736;6.86372;0.520232;0.520232
25;26.9798;-0.343637;6.81896;-0.343637;6.81896;-0.216127;6.80264;0.645736;0.645736
26;18.7015;-1.98055;6.42449;-1.98055;6.42449;-1.62027;6.83204;0.510958;0.510958
27;27.4632;0.427466;7.01;0.427466;7.01;0.471434;6.81721;0.714573;0.714573
28;23.0348;0.633946;7.05354;0.633946;7.05354;0.653213;6.81023;0.73171;0.73171
29;39.0923;0.0718729;6.95362;0.0718729;6.95362;0.185542;6.8669;0.691416;0.691416
30;21.5846;-1.63444;6.49834;-1.63444;6.49834;-1.27247;6.86095;0.547889;0.547889
31;9.33016;-1.9504;6.41199;-1.9504;6.41199;-1.53526;6.86368;0.522394;0.522394
32;26.9428;-0.437263;6.70785;-0.437263;6.70785;-0.20111;6.80256;0.647201;0.647201
33;18.6272;-2.07333;6.31333;-2.07333;6.31333;-1.60401;6.83205;0.512553;0.512553
34;27.5223;0.338033;6.89886;0.338033;6.89886;0.491606;6.81732;0.716561;0.716561
35;22.9005;0.554084;6.9449;0.554084;6.9449;0.68162;6.8104;0.734511;0.734511
36;38.9033;-0.00336259;6.84596;-0.00336259;6.84596;0.218177;6.86708;0.694633;0.694633
37;21.5045;-1.71162;6.3895;-1.71162;6.3895;-1.24077;6.86103;0.551006;0.551006
38;9.32577;-2.03862;6.30019;-2.03862;6.30019;-1.51308;6.86363;0.524564;0.524564
39;26.9048;-0.533748;6.59402;-0.533748;6.59402;-0.186149;6.80248;0.648659;0.648659
40;18.571;-2.16995;6.1992;-2.16995;6.1992;-1.58867;6.83206;0.514058;0.514058
