Epoch;ErrorScore;w1;w2;w3;w4;b1;b2;b3;b4
0;38.7042;0.73742;3.18935;0.73742;3.18935;0.415553;2.86749;0.321867;0.321867
1;43.9051;0.449152;4.7216;0.449152;4.7216;0.0253197;4.29777;0.423832;0.423832
2;24.8028;-1.01639;6.04971;-1.01639;6.04971;-1.42896;5.63714;0.412567;0.412567
3;10.121;-1.22116;6.66056;-1.22116;6.66056;-1.66701;6.2147;0.445852;0.445852
4;27.0958;0.305;7.06209;0.305;7.06209;-0.298859;6.45823;0.60386;0.60386
5;19.7901;-1.26138;7.14932;-1.26138;7.14932;-1.744;6.66671;0.482618;0.482618
6;26.9552;0.98762;7.3818;0.98762;7.3818;0.301602;6.69578;0.686018;0.686018
7;23.1345;1.16097;7.44349;1.16097;7.44349;0.455688;6.7382;0.705283;0.705283
8;39.1513;0.636408;7.48495;0.636408;7.48495;-0.0292778;6.81927;0.665685;0.665685
9;22.2257;-0.981903;7.36064;-0.981903;7.36064;-1.50475;6.83779;0.522847;0.522847
10;9.58003;-1.22115;7.35446;-1.22115;7.35446;-1.72388;6.85173;0.50273;0.50273
11;27.169;0.293579;7.42966;0.293579;7.42966;-0.339474;6.7966;0.633052;0.633052
12;19.5892;-1.27863;7.32414;-1.27863;7.32414;-1.77416;6.8286;0.495533;0.495533
13;27.0462;0.983637;7.51029;0.983637;7.51029;0.287414;6.81406;0.696223;0.696223
14;23.1301;1.1576;7.51934;1.1576;7.51934;0.446379;6.80812;0.711225;0.711225
15;39.1367;0.6354;7.53491;0.6354;7.53491;-0.0342979;6.86521;0.669698;0.669698
16;22.2095;-0.983915;7.38441;-0.983915;7.38441;-1.50855;6.85978;0.524631;0.524631
17;9.57861;-1.22266;7.36707;-1.22266;7.36707;-1.7263;6.86343;0.50364;0.50364
18;27.1763;0.292432;7.43634;0.292432;7.43634;-0.341073;6.80283;0.633506;0.633506
19;19.5824;-1.27952;7.32731;-1.27952;7.32731;-1.77524;6.83159;0.495721;0.495721
20;27.0496;0.983352;7.51264;0.983352;7.51264;0.286959;6.81625;0.696393;0.696393
21;23.1301;1.15744;7.52074;1.15744;7.52074;0.446116;6.80941;0.711326;0.711326
22;39.1364;0.63534;7.53583;0.63534;7.53583;-0.0344283;6.86606;0.669768;0.669768
23;22.2091;-0.983977;7.38485;-0.983977;7.38485;-1.50864;6.86019;0.524662;0.524662
24;9.57857;-1.2227;7.36731;-1.2227;7.36731;-1.72636;6.86365;0.503656;0.503656
25;27.1765;0.292403;7.43646;0.292403;7.43646;-0.341111;6.80295;0.633513;0.633513
26;19.5823;-1.27954;7.32737;-1.27954;7.32737;-1.77526;6.83164;0.495724;0.495724
27;27.0497;0.983345;7.51268;0.983345;7.51268;0.286949;6.81629;0.696396;0.696396
28;23.1301;1.15744;7.52076;1.15744;7.52076;0.44611;6.80944;0.711328;0.711328
29;39.1364;0.635338;7.53585;0.635338;7.53585;-0.0344311;6.86608;0.669769;0.669769
30;22.2091;-0.983978;7.38486;-0.983978;7.38486;-1.50864;6.8602;0.524663;0.524663
31;9.57857;-1.2227;7.36731;-1.2227;7.36731;-1.72636;6.86365;0.503656;0.503656
32;27.1765;0.292402;7.43646;0.292402;7.43646;-0.341112;6.80295;0.633514;0.633514
33;19.5822;-1.27954;7.32737;-1.27954;7.32737;-1.77526;6.83164;0.495724;0.495724
34;27.0497;0.983345;7.51269;0.983345;7.51269;0.286949;6.81629;0.696396;0.696396
35;23.1301;1.15744;7.52076;1.15744;7.52076;0.44611;6.80944;0.711328;0.711328
36;39.1364;0.635338;7.53585;0.635338;7.53585;-0.0344311;6.86608;0.669769;0.669769
37;22.2091;-0.983978;7.38486;-0.983978;7.38486;-1.50864;6.8602;0.524663;0.524663
38;9.57857;-1.2227;7.36731;-1.2227;7.36731;-1.72636;6.86365;0.503656;0.503656
39;27.1765;0.292402;7.43646;0.292402;7.43646;-0.341112;6.80295;0.633514;0.633514
40;19.5822;-1.27954;7.32737;-1.27954;7.32737;-1.77526;6.83164;0.495724;0.495724
41;27.0497;0.983345;7.51269;0.983345;7.51269;0.286949;6.81629;0.696396;0.696396
42;23.1301;1.15744;7.52076;1.15744;7.52076;0.44611;6.80944;0.711328;0.711328
43;39.1364;0.635338;7.53585;0.635338;7.53585;-0.0344311;6.86608;0.669769;0.669769
44;22.2091;-0.983978;7.38486;-0.983978;7.38486;-1.50864;6.8602;0.524663;0.524663
45;9.57857;-1.2227;7.36731;-1.2227;7.36731;-1.72636;6.86365;0.503656;0.503656
46;27.1765;0.292402;7.43646;0.292402;7.43646;-0.341112;6.80295;0.633514;0.633514
47;19.5822;-1.27954;7.32737;-1.27954;7.32737;-1.77526;6.83164;0.495724;0.495724
48;27.0497;0.983345;7.51269;0.983345;7.51269;0.286949;6.81629;0.696396;0.696396
49;23.1301;1.15744;7.52076;1.15744;7.52076;0.44611;6.80944;0.711328;0.711328
50;39.1364;0.635338;7.53585;0.635338;7.53585;-0.0344311;6.86608;0.669769;0.669769
51;22.2091;-0.983978;7.38486;-0.983978;7.38486;-1.50864;6.8602;0.524663;0.524663
52;9.57857;-1.2227;7.36731;-1.2227;7.36731;-1.72636;6.86365;0.503656;0.503656
53;27.1765;0.292402;7.43646;0.292402;7.43646;-0.341112;6.80295;0.633514;0.633514
54;19.5822;-1.27954;7.32737;-1.27954;7.32737;-1.77526;6.83164;0.495724;0.495724
55;27.0497;0.983345;7.51269;0.983345;7.51269;0.286949;6.81629;0.696396;0.696396
56;23.1301;1.15744;7.52076;1.15744;7.52076;0.44611;6.80944;0.711328;0.711328
57;39.1364;0.635338;7.53585;0.635338;7.53585;-0.0344311;6.86608;0.669769;0.669769
58;22.2091;-0.983978;7.38486;-0.983978;7.38486;-1.50864;6.8602;0.524663;0.524663
59;9.57857;-1.2227;7.36731;-1.2227;7.36731;-1.72636;6.86365;0.503656;0.503656
60;27.1765;0.292402;7.43646;0.292402;7.43646;-0.341112;6.80295;0.633514;0.633514
61;19.5822;-1.27954;7.32737;-1.27954;7.32737;-1.77526;6.83164;0.495724;0.495724
62;27.0497;0.983345;7.51269;0.983345;7.51269;0.286949;6.81629;0.696396;0.696396
63;23.1301;1.15744;7.52076;1.15744;7.52076;0.44611;6.80944;0.711328;0.711328
64;39.1364;0.635338;7.53585;0.635338;7.53585;-0.0344311;6.86608;0.669769;0.669769
65;22.2091;-0.983978;7.38486;-0.983978;7.38486;-1.50864;6.8602;0.524663;0.524663
66;9.57857;-1.2227;7.36731;-1.2227;7.36731;-1.72636;6.86365;0.503656;0.503656
67;27.1765;0.292402;7.43646;0.292402;7.43646;-0.341112;6.80295;0.633514;0.633514
68;19.5822;-1.27954;7.32737;-1.27954;7.32737;-1.77526;6.83164;0.495724;0.495724
69;27.0497;0.983345;7.51269;0.983345;7.51269;0.286949;6.81629;0.696396;0.696396
70;23.1301;1.15744;7.52076;1.15744;7.52076;0.44611;6.80944;0.711328;0.711328
71;39.1364;0.635338;7.53585;0.635338;7.53585;-0.0344311;6.86608;0.669769;0.669769
72;22.2091;-0.983978;7.38486;-0.983978;7.38486;-1.50864;6.8602;0.524663;0.524663
73;9.57857;-1.2227;7.36731;-1.2227;7.36731;-1.72636;6.86365;0.503656;0.503656
74;27.1765;0.292402;7.43646;0.292402;7.43646;-0.341112;6.80295;0.633514;0.633514
75;19.5822;-1.27954;7.32737;-1.27954;7.32737;-1.77526;6.83164;0.495724;0.495724
76;27.0497;0.983345;7.51269;0.983345;7.51269;0.286949;6.81629;0.696396;0.696396
